gene,mean_diff,direction,p_paired
PAEP,2.1617316737446703,UP,0.03125
CST1,1.9783384406795224,UP,0.03125
LY6D,1.7473377136594053,UP,0.0625
ANXA8L1,1.7369740070178998,UP,0.0625
ANXA8,1.4697000037832773,UP,0.125
NPBWR1,1.44708857770018,UP,0.03125
LOC101927797,1.3893228419935817,UP,0.09375
HOXC13,1.3565057070244926,UP,0.0625
LINC00462,1.3249809782133388,UP,0.03125
MAGEB2,1.3056675071869506,UP,0.125
S100A7,1.2935841870544744,UP,0.03125
THEG,1.1680959442024073,UP,0.0625
MIR205,1.0869098670574253,UP,0.0625
SPRR1A,1.0272975950733576,UP,0.125
DSCAM-AS1,1.0208884451152949,UP,0.3125
BARX1,0.948041897817542,UP,0.0625
DCAF8L2,0.9393272908495574,UP,0.03125
OR13H1,0.8786000537316533,UP,0.0625
FLJ46066,0.8578837917923662,UP,0.0625
C7orf72,0.8389088206200747,UP,0.0625
ECEL1P2,0.8271922536458506,UP,0.25
LOC100506271,0.8261006462846613,UP,0.0625
LINC01441,0.8144885550996097,UP,0.0625
ISL2,0.8051931882030076,UP,0.03125
LOC349160,0.7955307351475076,UP,0.0625
LOC338797,0.783753508532839,UP,0.0625
LOC100996671,0.7685563289150505,UP,0.0625
SSX6,0.7674885117909082,UP,0.03125
GABRR3,0.7662838428182832,UP,0.125
CHRNB3,0.7578611069277063,UP,0.0625
PDHA2,0.7574191886403961,UP,0.125
LOC101928012,0.750960556299575,UP,0.0625
LOC101929470,0.7315936160832369,UP,0.03125
GJA10,0.7225326173488903,UP,0.0625
CSN1S2AP,0.7210749182945814,UP,0.125
WFDC9,0.7178738283264073,UP,0.0625
NPBWR2,0.7087044674360761,UP,0.0625
OR5B12,0.671767641456114,UP,0.125
ZSCAN10,0.6545878313794985,UP,0.0625
LCE1B,0.6468151502265712,UP,0.25
C9orf62,0.6375741967911775,UP,0.125
LINC01242,0.6237545398764712,UP,0.25
LINC00269,0.6220963362099937,UP,0.0625
MAGEB3,0.6200319598666125,UP,0.0625
IL25,0.6063606491249368,UP,0.125
NF1P2,0.5926425933197068,UP,0.125
LOC100506122,0.5847701461612033,UP,0.125
SPP2,0.5816035458292834,UP,0.125
OR5M1,0.5807109144348416,UP,0.25
OR52A5,0.5691727086445344,UP,0.0625
