gene,normal_mean,tumor_mean,change_pct,direction,p_value,abs_change
ANXA8L1,0.005571198762059707,1.754666291159763,17490.950923977034,UP,0.0020814254195766118,17490.950923977034
LY6D,0.0,1.6567849377651327,16567.849377651328,UP,0.0032860111818802987,16567.849377651328
PAEP,0.012803553312561868,1.9885692585842658,15431.385780486684,UP,0.0012955201931211715,15431.385780486684
HOXC13,0.0,1.4237752922265052,14237.75292226505,UP,0.0032860111818802987,14237.75292226505
NPBWR1,0.003980635549303662,1.362122604499545,13581.41968950241,UP,0.0012955201931211715,13581.41968950241
MAGEB2,0.0,1.283422303187045,12834.223031870451,UP,0.009093422700677012,12834.223031870451
ANXA8,0.012058186573171389,1.5405691566532833,12676.126387701948,UP,0.01655306500019038,12676.126387701948
THEG,0.009399506812001156,1.2235798012890982,12141.80294477097,UP,0.00810344935239536,12141.80294477097
LOC101927797,0.012803553312561868,1.4120430691011714,10928.524930776699,UP,0.00810344935239536,10928.524930776699
SPRR1A,0.009399506812001156,1.0904125785619658,10810.130717499647,UP,0.026112398757264062,10810.130717499647
FLJ46066,0.009399506812001156,1.060451409966163,10510.519031541618,UP,0.00810344935239536,10510.519031541618
LINC01441,0.009399506812001156,0.9886235310328381,9792.240242208369,UP,0.00810344935239536,9792.240242208369
LINC00462,0.018859143787157685,1.837294314207947,9642.19368038898,UP,0.001490708861080587,9642.19368038898
DCAF8L2,0.0,0.9588575238933983,9588.575238933983,UP,0.0010335781246328202,9588.575238933983
DSCAM-AS1,0.012058186573171389,1.1619315604163496,9536.038996125379,UP,0.023636697995405118,9536.038996125379
MIR205,0.00648698781111168,0.9483124860642066,9418.254982530949,UP,0.005317226563963545,9418.254982530949
C7orf72,0.0,0.9412834571363987,9412.834571363986,UP,0.0032860111818802987,9412.834571363986
ECEL1P2,0.005571198762059707,0.9436435894599363,9380.723906978765,UP,0.026112398757264062,9380.723906978765
LOC338797,0.0,0.9296014933045965,9296.014933045964,UP,0.0032860111818802987,9296.014933045964
LOC100506271,0.0,0.9263826870170473,9263.826870170473,UP,0.0032860111818802987,9263.826870170473
GABRR3,0.00945963697515653,0.9227357543851115,9132.761174099549,UP,0.026112398757264062,9132.761174099549
GJA10,0.009399506812001156,0.9155257977095238,9061.262908975226,UP,0.012099381863321806,9061.262908975226
BARX1,0.0,0.8801626111644509,8801.62611164451,UP,0.0032860111818802987,8801.62611164451
WFDC9,0.0,0.8795696320459612,8795.696320459612,UP,0.0032860111818802987,8795.696320459612
LOC349160,0.009399506812001156,0.887420433727055,8780.209269150539,UP,0.00810344935239536,8780.209269150539
LOC101928012,0.009399506812001156,0.8815835414916501,8721.840346796489,UP,0.01770253810686064,8721.840346796489
CHRNB3,0.009399506812001156,0.8759483734070869,8665.488665950856,UP,0.00810344935239536,8665.488665950856
CSN1S2AP,0.009399506812001156,0.870424489818863,8610.249830068618,UP,0.026112398757264062,8610.249830068618
OR13H1,0.009399506812001156,0.8662101247058258,8568.106178938246,UP,0.012099381863321806,8568.106178938246
CST1,0.021457693385172543,1.7974994297941023,8276.946196072455,UP,0.0016158366104007831,8276.946196072455
ISL2,0.01101623080965653,0.9179044922124783,8232.291761787235,UP,0.0012955201931211715,8232.291761787235
NPBWR2,0.009399506812001156,0.812997918545828,8035.984117338267,UP,0.012099381863321806,8035.984117338267
LOC101929470,0.00648698781111168,0.8069634318192683,8004.764440081567,UP,0.0012955201931211715,8004.764440081567
LOC100996671,0.009399506812001156,0.8094099525012687,8000.1044568926745,UP,0.005317226563963545,8000.1044568926745
SSX6,0.0,0.7946395812146856,7946.395812146855,UP,0.0010335781246328202,7946.395812146855
LINC01242,0.009399506812001156,0.8005162402951395,7911.1673348313825,UP,0.05167534920644772,7911.1673348313825
S100A7,0.015886494623112837,1.264994106173156,7862.701251494145,UP,0.001490708861080587,7862.701251494145
