gene,r,p_value
LOC101927630,0.9785747442329773,0.00012757507052239917
CDS2,-0.9743920710363283,0.0001987952114246593
USP45,-0.9682706552485232,0.00033859791258072664
IL1RAP,0.9682265423635348,0.0003397678930451477
MYC,-0.9668304041616753,0.00037804468038922365
PRKCI,0.9650911658140477,0.0004291623797314548
CD48,-0.963354629262702,0.0004840854965890371
PRKAR2B,-0.9596031583545732,0.0006163939583806929
INPP4B,0.9571122516557553,0.0007148831829840801
CHPT1,-0.9558610715557498,0.0007676459248593283
GPRC5A,0.9556084705867547,0.0007785689581504821
ADPRM,-0.9522772267422754,0.000931265664939218
KLF5,0.9496565397894006,0.0010629111729174375
MPP6,-0.9483385322525024,0.0011330370114300376
TMPRSS4,0.9464011257410977,0.0012409589803056903
RHBDL2,0.9456036205562321,0.0012870760706565993
NOMO1,0.9455117099648422,0.0012924548746867087
IKZF2,0.9416571998977078,0.001530069802646414
CST6,0.939979135260889,0.0016409684759764334
B4GALT5,0.9388396044136569,0.0017188960730402838
FAM49A,-0.9355175203990196,0.0019583413977723703
RNF135,-0.9347789963296265,0.002014081626732888
KLF10,0.9324316183692696,0.002197396270220553
BHLHE40,0.9308837912600251,0.0023234356891562538
CELSR1,0.9302756028299631,0.002374093822922664
PCBD1,-0.9291392897684201,0.00247046581167047
CYP24A1,0.9270406831554822,0.002654400603506603
AGR2,0.9266964878862318,0.0026853098266200253
TSPAN15,0.9264177482294664,0.0027104950128788784
ZNF185,0.9253472087196492,0.0028085071237180996
ACSL5,0.9251045955223167,0.0028310035070506744
HK1,0.9250647217085746,0.002834710890680913
PPARG,0.9248778088755374,0.002852127589843715
ZBED6CL,-0.9243586324978955,0.002900833396306509
PCSK6,0.9231399654560191,0.003017065217340734
PPL,0.9231095744736222,0.003019998030733354
POGK,-0.921546661111136,0.003173080321747402
NET1,0.918279011538617,0.0035075586218529333
SEMA4B,0.9164430022108907,0.0037041489192565598
NT5DC3,-0.9156535817593108,0.0037906082951777126
GRB14,-0.914965914175254,0.0038668753074627086
CCDC186,0.9147275627105877,0.003893517485004496
RSAD1,-0.9138537925703687,0.003992100252918709
SIX4,0.9127563704049094,0.004117961193322947
TMEM121,-0.9127455121652709,0.004119217909019575
NAT9,-0.9123832270814423,0.004161276647054493
SERPINA1,0.9121564447938935,0.0041877314923979584
PDXDC1,0.911091916049714,0.004313222217765003
CORO2A,0.9098847224416824,0.004458154025915426
OGDHL,-0.9093691215869366,0.004520908429345074
DDIT4,0.9090629551992488,0.004558414604960187
S100A2,0.9059029172181909,0.004956133454818597
ALPK2,-0.9047458864538801,0.005106622771553815
GRHL1,0.9042814267352297,0.005167771181150847
S100A1,-0.9041425181051443,0.00518614155042881
ARHGEF6,-0.9026712230509997,0.0053830514869616
ESRP1,0.9026036362347971,0.005392199630047031
ATP8B1,0.9023038050613299,0.005432891996200533
HLA-DOA,-0.8989213375030143,0.0059043368553956576
NLK,-0.8983456475844065,0.005986853433484745
S100A11,0.897915011252742,0.006049014160228647
HK2,0.895985483190239,0.0063321256648168145
TPM4,0.8957144677274406,0.00637249373639553
NUP50-AS1,0.8943434326516533,0.006578997065853419
SH3RF1,0.8936911379719148,0.006678588388748217
SMIM1,-0.8936513457139311,0.006684691909539735
HLA-DQB2,-0.8931769665458353,0.006757703593451948
CD99L2,-0.8920229486041519,0.006937242002745305
GPC3,-0.8914309431864408,0.007030404915867974
S100P,0.8888736970967153,0.007441136151816422
VCL,0.8887165710056113,0.007466814089975102
F11R,0.8886426428999117,0.007478913326604173
IFT20,-0.8860476386685935,0.007910823524360858
WNT7A,0.8854504390722572,0.00801221098224983
TRIB2,0.8854323814652947,0.008015288284124816
ANXA11,0.8853837120222624,0.008023585730431475
GIMAP7,-0.884052501934935,0.008252465738882104
TMEM9,-0.8840492546983687,0.00825302860216426
EGLN3,0.8840161373191862,0.008258770306311301
CLEC10A,-0.8840147149119373,0.008259016966943734
MIR31HG,0.8839276081464752,0.008274130327398925
DLG3,0.883731201448025,0.00830826626643026
KCNK1,0.8833562785207507,0.008373654373686729
MIR4435-1HG,0.8831602085055614,0.008407967810007988
SNORD10,-0.8827090835260589,0.00848722548012973
CREB5,-0.8826532343512247,0.008497067459011498
TMEM243,-0.8817752766052855,0.008652651708283358
ITGA2,0.8806318758423962,0.008857723942366086
ZG16B,0.8801988516016732,0.008936112909404237
GABPB1,0.880176948928062,0.00894008847465811
RPL13AP20,-0.8801465621462776,0.008945605685004906
GNE,0.8801014657467485,0.008953797285421485
RUNX2,0.879613755267032,0.009042664775025239
MIR614,0.8793491828727888,0.009091085494598215
ADH1B,-0.8791136268061172,0.009134321403683525
PTK6,0.8788041089433896,0.009191312892602237
CRTAP,-0.8783125611514775,0.009282242086203825
LY6D,0.877981660795308,0.009343744803888946
IL33,-0.877681193878896,0.009399794042858395
CD52,-0.8774301214403302,0.009446777529788095
NAA38,-0.8772197162015402,0.00948625498294858
TRIB3,-0.8763803948350413,0.009644678736332358
SLPI,0.8744554316081263,0.010013744489367649
APOL4,0.8741811683351056,0.010066978555117331
SCARNA17,-0.8740537714046286,0.010091761404428098
KLHDC7B,0.8731374591751617,0.010271048803270861
PNPO,-0.8723731060349328,0.010421995769946806
IL1RN,0.8723071293909521,0.010435084510275324
C15orf48,0.8722837855736436,0.010439717825254062
KLRB1,-0.8720573290723407,0.010484726697739316
MALL,0.8716424700346193,0.010567470305408206
LAMTOR4,-0.871466811020832,0.010602618312443962
SNORD15A,-0.8706334490905265,0.010770283286235315
HRH1,0.8704638042659774,0.010804599785759745
RCSD1,-0.8703323952566979,0.010831224940305193
GACAT2,-0.8693486227648906,0.011031748125224854
IMMP2L,-0.8679406929607087,0.011322412939469383
ST14,0.8674327488785147,0.011428344671080296
SAA2,0.8664901807246727,0.01162642038215916
ZDHHC13,0.8664802897293093,0.011628509291703408
TJP2,0.8662785095774023,0.011671170911809891
LST1,-0.8652691564893789,0.011885922651619973
MORC4,-0.8637965845145568,0.012203268088482733
C10orf11,-0.8637944658961587,0.01220372811837809
OAZ2,-0.8635479389346208,0.012257326126672635
