gene,mean_diff,direction,p_paired
UMOD,-8.07794469932414,DOWN,0.03125
LRP2,-7.015929676757275,DOWN,0.03125
CALB1,-6.9756058500141505,DOWN,0.03125
AQP2,-6.949731622581279,DOWN,0.03125
CUBN,-6.151396770019268,DOWN,0.03125
ATP6V0A4,-5.250702872444486,DOWN,0.03125
HNF4A,-4.966067780553561,DOWN,0.03125
SCNN1G,-4.347932852511637,DOWN,0.03125
MKI67,4.16897452921823,UP,0.03125
TFCP2L1,-4.029148637323668,DOWN,0.03125
CASR,-3.8806699918779333,DOWN,0.03125
ATP6V1G3,-3.7352656356206118,DOWN,0.03125
FOXI1,-3.6894728009089346,DOWN,0.0625
SCNN1B,-3.200898579420073,DOWN,0.03125
AVPR1A,-3.0529376948394407,DOWN,0.0625
MYC,2.6480401957540565,UP,0.03125
IL1RN,2.646194950570255,UP,0.03125
SCNN1A,-2.4548379483036546,DOWN,0.03125
KRT19,2.448125916018192,UP,0.03125
GPRC5A,2.3710417300604463,UP,0.0625
SCD,2.3313567236137622,UP,0.0625
IL1RAP,2.284892988148392,UP,0.03125
IL1A,2.188002524595003,UP,0.03125
PAEP,2.1617316737446703,UP,0.03125
IL6,2.1314712862357266,UP,0.03125
CYP27B1,-2.0949237017413584,DOWN,0.0625
AQP3,-2.0487806130303876,DOWN,0.0625
MYCN,-2.0250511930276134,DOWN,0.0625
EZH2,1.9911908924433404,UP,0.03125
CEBPB,1.985957179089769,UP,0.03125
CST1,1.9783384406795224,UP,0.03125
MIR31HG,1.9390745572209587,UP,0.15625
LLGL2,-1.9093771516265843,DOWN,0.03125
RHBDL2,1.8496274107735386,UP,0.03125
LY6D,1.7473377136594053,UP,0.0625
ANXA8L1,1.7369740070178998,UP,0.0625
IL1B,1.7227229867865637,UP,0.03125
CYP24A1,-1.7210286713583753,DOWN,0.03125
AGR2,1.7080577566784834,UP,0.3125
ADCY3,1.685467347298515,UP,0.03125
HNF1B,-1.615121950438423,DOWN,0.03125
DNMT3B,1.5695445476443093,UP,0.03125
NLRP3,1.4962065288963045,UP,0.03125
ANXA8,1.4697000037832773,UP,0.125
NPBWR1,1.44708857770018,UP,0.03125
KLF5,1.4449516914205087,UP,0.09375
KRT7,1.4373847792762682,UP,0.4375
HOXC13,1.3565057070244926,UP,0.0625
SERPINA1,1.3470058268012284,UP,0.15625
S100A7,1.2935841870544744,UP,0.03125
AQP4,-1.2913737159213003,DOWN,0.21875
PAX8,-1.2834755516970449,DOWN,0.0625
AVPR2,-1.2509098527822855,DOWN,0.09375
PTHLH,1.2239261235668193,UP,0.4375
CDKN2A,1.1911876241255006,UP,0.0625
FASN,1.1484475131691332,UP,0.03125
GC,-1.1441939797098015,DOWN,0.09375
TP53,1.127454693113915,UP,0.03125
PARD6B,-1.1025727838249957,DOWN,0.03125
IL1R2,1.014478365081238,UP,0.15625
CDKN1A,0.9922654914401693,UP,0.0625
BARX1,0.948041897817542,UP,0.0625
CEBPA,0.9135006504271059,UP,0.03125
PARD6A,-0.8718430699268028,DOWN,0.0625
ESRP2,-0.8645959253292187,DOWN,0.5625
PRKCZ,-0.8467505960913307,DOWN,0.03125
ACACA,0.8063010722306309,UP,0.03125
ISL2,0.8051931882030076,UP,0.03125
KLF2,-0.8002311205238127,DOWN,0.15625
VDR,-0.7787207114578875,DOWN,0.03125
ADIPOQ,0.7153977772668844,UP,0.5625
B4GALT5,0.6793655121446585,UP,0.15625
ZBED6CL,0.6753243941755139,UP,0.15625
KRT18,0.6685431299297614,UP,0.5625
LLGL1,0.6443626926826739,UP,0.03125
PRKAR1A,-0.643164356911372,DOWN,0.0625
VHL,0.6333484071407888,UP,0.0625
KRT8,0.5896538316120771,UP,0.5625
RAC1,0.5682301549358574,UP,0.21875
CDS2,-0.5609272695431544,DOWN,0.03125
PRKACB,-0.5468696337602666,DOWN,0.0625
RXRA,-0.5459325828836015,DOWN,0.21875
MTOR,-0.5377599720284629,DOWN,0.03125
IL18,0.536761720327111,UP,0.3125
NFKBIA,0.5258803423807771,UP,0.21875
SETD2,-0.5055148299350797,DOWN,0.0625
EED,0.4948035101932506,UP,0.09375
ADCY6,-0.4907776487838397,DOWN,0.15625
NFKB1,0.473484041717356,UP,0.03125
PRKCI,0.4451841993201057,UP,0.0625
PTEN,-0.43265108791464124,DOWN,0.15625
CYP2R1,-0.41664202042975423,DOWN,0.21875
SCRIB,0.40290882009413664,UP,0.15625
PRKAR2A,-0.3930692325646629,DOWN,0.15625
INPP4B,0.385230912458505,UP,0.5625
ADPRM,0.3790116370106625,UP,0.4375
IL1R1,0.3655305217976972,UP,0.5625
CCND1,0.3358408554844072,UP,0.15625
ESRP1,-0.29545501347914155,DOWN,0.84375
DLG1,-0.2910254342724496,DOWN,0.4375
HDAC2,0.2651145007542752,UP,0.15625
BMI1,-0.25491161363123394,DOWN,0.21875
DNMT3A,0.24971367154293947,UP,0.5625
KLF4,0.23175198721783272,UP,0.5625
SUZ12,0.2044693134340513,UP,0.4375
PRKAR2B,0.2032931318664156,UP,1.0
KDM6A,0.12966404504301451,UP,1.0
HIF1A,0.12540873453117754,UP,1.0
PRKACA,-0.107863065880298,DOWN,0.15625
TET2,-0.10062665407897227,DOWN,0.84375
RHOA,0.08498761800212022,UP,0.84375
CDC42,-0.07440576089983238,DOWN,1.0
HDAC1,0.0681255949218477,UP,0.84375
FABP4,0.06451293361630106,UP,1.0
PARD3,-0.06316955350865013,DOWN,0.84375
AKT1,0.05489305236960126,UP,1.0
KDM6B,0.05400038399642856,UP,0.84375
ASXL1,-0.03603821925536721,DOWN,0.84375
PPARG,-0.0207681501488796,DOWN,1.0
