gene,mean_diff,direction,p_wilcoxon
UMOD,-8.07794469932414,DOWN,0.03125
CALB1,-6.9756058500141505,DOWN,0.03125
AQP2,-6.949731622581279,DOWN,0.03125
ATP6V0A4,-5.250702872444486,DOWN,0.03125
HNF4A,-4.966067780553561,DOWN,0.03125
HK2,4.396146188146026,UP,0.03125
SCNN1G,-4.347932852511637,DOWN,0.03125
MKI67,4.16897452921823,UP,0.03125
TOP2A,4.074168750096671,UP,0.03125
TFCP2L1,-4.029148637323668,DOWN,0.03125
ATP6V1G3,-3.7352656356206118,DOWN,0.03125
FOXI1,-3.6894728009089346,DOWN,0.0625
SCNN1B,-3.200898579420073,DOWN,0.03125
AVPR1A,-3.0529376948394407,DOWN,0.0625
MYC,2.6480401957540565,UP,0.03125
PLK1,2.6420278547381795,UP,0.03125
SLC2A1,2.628664451924306,UP,0.03125
SCNN1A,-2.4548379483036546,DOWN,0.03125
GPRC5A,2.3710417300604463,UP,0.0625
SCD,2.3313567236137622,UP,0.0625
IL1RAP,2.284892988148392,UP,0.03125
CST6,2.2271142879624097,UP,0.03125
PAEP,2.1617316737446703,UP,0.03125
AURKA,2.1603707382487753,UP,0.03125
SLC2A3,2.0795316817881377,UP,0.03125
AQP3,-2.0487806130303876,DOWN,0.0625
MYCN,-2.0250511930276134,DOWN,0.0625
EZH2,1.9911908924433404,UP,0.03125
CEBPB,1.985957179089769,UP,0.03125
CST1,1.9783384406795224,UP,0.03125
CELSR3,1.9688661433135302,UP,0.03125
MCM2,1.9475419768867672,UP,0.03125
LY6D,1.7473377136594053,UP,0.0625
ANXA8L1,1.7369740070178998,UP,0.0625
IL1B,1.7227229867865637,UP,0.03125
AGR2,1.7080577566784834,UP,0.3125
ADCY3,1.685467347298515,UP,0.03125
EPAS1,-1.5047160036809828,DOWN,0.03125
FABP7,1.4874994180168652,UP,0.0625
ANXA8,1.4697000037832773,UP,0.125
KLF5,1.4449516914205087,UP,0.09375
LDHA,1.4197288396882295,UP,0.0625
SERPINA1,1.3470058268012284,UP,0.15625
S100A7,1.2935841870544744,UP,0.03125
NFKB2,1.2827886058532838,UP,0.03125
AVPR2,-1.2509098527822855,DOWN,0.09375
FASN,1.1484475131691332,UP,0.03125
BHLHE40,1.0975886351675037,UP,0.15625
MCM7,0.9854158778035816,UP,0.03125
CEBPA,0.9135006504271059,UP,0.03125
HK1,0.8719752467046589,UP,0.0625
VANGL2,0.8229577577584198,UP,0.21875
ACACA,0.8063010722306309,UP,0.03125
KLF2,-0.8002311205238127,DOWN,0.15625
PKM,0.7658070458622855,UP,0.03125
RELA,0.6698181535059141,UP,0.03125
PRKAR1A,-0.643164356911372,DOWN,0.0625
CDK4,0.6430124465947354,UP,0.03125
FZD3,-0.610233273746783,DOWN,0.3125
PRICKLE1,0.5983488243347579,UP,0.21875
PRKACB,-0.5468696337602666,DOWN,0.0625
RXRA,-0.5459325828836015,DOWN,0.21875
FZD6,0.5360413681040338,UP,0.0625
ADCY6,-0.4907776487838397,DOWN,0.15625
NFKB1,0.473484041717356,UP,0.03125
PCNA,0.47016626625161,UP,0.5625
PRICKLE2,-0.46867792563851296,DOWN,0.15625
CELSR1,-0.46223704536675614,DOWN,0.4375
PRKCI,0.4451841993201057,UP,0.0625
DVL1,0.4389883253961299,UP,0.84375
PRKAR2A,-0.3930692325646629,DOWN,0.15625
RXRB,-0.34325340602217985,DOWN,0.21875
CCND1,0.3358408554844072,UP,0.15625
VANGL1,0.33155328508566334,UP,0.3125
ESRP1,-0.29545501347914155,DOWN,0.84375
KLF4,0.23175198721783272,UP,0.5625
PRKAR2B,0.2032931318664156,UP,1.0
CELSR2,-0.19373374068794572,DOWN,1.0
HIF1A,0.12540873453117754,UP,1.0
ENO1,0.1139302441743159,UP,0.84375
PRKACA,-0.107863065880298,DOWN,0.15625
TMPRSS4,0.08564637917279083,UP,1.0
KLF10,-0.07529875761047784,DOWN,0.84375
FABP4,0.06451293361630106,UP,1.0
PPARG,-0.0207681501488796,DOWN,1.0
DVL2,0.011554751246304859,UP,0.84375
