gene,r_depth,p_depth,n_mean,t_mean
DNAJC5B,0.968475040233945,3.1749546385556894e-09,0.1876794925452056,0.6031759906759908
ZNF574,0.959444058445138,1.597179446630545e-08,0.19701551329382125,0.8282124125874126
NFATC1,0.9592047089946358,1.658490380194181e-08,0.48573050990600825,0.7084629953379954
INSM2,0.9576023374116311,2.12218747282798e-08,0.09190232394343577,0.513017191142191
IL17C,0.9557930756228643,2.77231632959129e-08,0.3331542198878007,0.8539393939393938
NSL1,0.9538604057665879,3.644167731967644e-08,0.8831113504047713,0.6819055944055943
METTL6,0.9514279971293481,5.0589684979660304e-08,0.4251368237620031,0.7204909673659673
SIX3,0.9512802510115881,5.157980926105217e-08,0.14046365406414468,0.30048513986013986
CCDC155,0.9485537336084876,7.29991306464297e-08,0.1996401318303503,0.41251748251748244
SRRM4,0.947880131062901,7.930987684888219e-08,0.12158716634322768,0.6060984848484847
FEZ1,0.94534754608421,1.0729770195996557e-07,0.6603602321053357,0.5808712121212122
MAEL,0.9448763076581022,1.1332557028273472e-07,0.33150741090800884,0.2592730186480186
WDR89,0.9445677256557172,1.1742482740424843e-07,0.4506931369222387,0.8828933566433566
CYP4F2,0.9439376431785406,1.261825345053456e-07,0.5029757094337483,0.478490675990676
SLAMF1,0.9430647806723852,1.392155536369918e-07,0.09638890167421114,0.548467365967366
ZBTB9,0.9429060365550879,1.4170311910912666e-07,0.6617271317265215,0.6684877622377623
LINC00599,0.940962953669715,1.7530509748137105e-07,0.4301131090704548,0.727817599067599
ANKRD34A,0.9408995303074856,1.765055411484878e-07,0.36576446296472714,0.6290981934731934
CACNB4,0.940843017705478,1.7758098484727928e-07,0.30913821099920674,0.5837237762237762
AKR1E2,0.9407704688735093,1.7896965482834272e-07,0.2063397596525913,0.8521794871794871
SEMA6A,0.9403479722577917,1.8723907326067312e-07,0.6954463082471039,0.6676048951048951
FAM135B,0.9403030370357355,1.8813712971249675e-07,0.22742715666682006,0.6237674825174825
AFF2,0.9397013766729434,2.0051418775082875e-07,0.1550264335052037,0.37420600233100226
ZKSCAN3,0.9395417381140146,2.0391046232353838e-07,0.5348596867370062,0.7266375291375291
GJA8,0.9389742971714099,2.1637596972936657e-07,0.13491738124725036,0.6166826923076922
RAB3IL1,0.9387316796422747,2.2189747427655077e-07,0.7378110981117088,0.7578044871794872
FOXN3-AS1,0.938136751628701,2.3593914535053114e-07,0.21000908768816273,0.642830710955711
C6orf52,0.9365627436716275,2.7672929565203e-07,0.5917332008892875,0.6452840909090907
SOX10,0.9362235986077533,2.862506866572246e-07,0.1493051504392382,0.6399533799533799
FLYWCH1,0.9358217212720663,2.9788737130276597e-07,0.389240455519031,0.7888315850815851
OR1D2,0.9357072835510872,3.0127261927127566e-07,0.15436760287337925,0.5955390442890443
