gene,r_chRCC,p_chRCC,r_PRCC,delta,pattern
ACADM,0.17263430544111694,0.5383877362330678,-0.412,0.5846343054411169,PRCC_SPECIFIC
ACSL4,-0.12720964856561068,0.6514261383451768,0.171,-0.2982096485656107,WEAK_BOTH
ARG1,0.24824791469849158,0.37232228487880936,0.076,0.1722479146984916,chRCC_SPECIFIC
ATP6V1B1,0.5465732218330439,0.0350086527208516,-0.06,0.606573221833044,chRCC_SPECIFIC
B2M,-0.3972015988487049,0.14264436348852094,-0.222,-0.17520159884870487,SHARED_NORMAL
CA9,0.6309848729964391,0.011656419908640064,0.125,0.5059848729964391,chRCC_SPECIFIC
CCND1,0.34828909970734767,0.20330734936449174,0.08,0.26828909970734766,chRCC_SPECIFIC
CCNE1,-0.3416944700443133,0.2125772635826455,0.15,-0.4916944700443133,chRCC_SPECIFIC
CDK2,-0.13326226638934602,0.6358792594202916,0.289,-0.422262266389346,PRCC_SPECIFIC
CDK4,-0.03814058816560327,0.8926510079015252,0.118,-0.15614058816560328,WEAK_BOTH
CDK6,0.2762602199907549,0.31890823286914466,0.09,0.1862602199907549,chRCC_SPECIFIC
CDKN2A,0.7208075770560437,0.002429801486456673,0.036,0.6848075770560437,chRCC_SPECIFIC
CUBN,0.5363501406278541,0.03928848116458985,-0.397,0.9333501406278542,DIVERGENT(+/-)
EPAS1,0.25478529156156454,0.3594436038797153,-0.082,0.33678529156156456,chRCC_SPECIFIC
ERBB2,0.5673627660192181,0.027392699931508946,0.36,0.2073627660192181,SHARED_ATTRACTOR
ESRRA,0.2944392253542948,0.286752712248327,-0.12,0.4144392253542948,chRCC_SPECIFIC
EZH2,-0.12177641881400064,0.6654966895674854,0.308,-0.42977641881400064,PRCC_SPECIFIC
FABP1,0.3008169371227057,0.27594640183891017,-0.671,0.9718169371227057,DIVERGENT(+/-)
FH,0.5411686817346675,0.0372252806197241,-0.451,0.9921686817346675,DIVERGENT(+/-)
FOXI1,0.3162797777632559,0.2507761054289557,-0.05,0.3662797777632559,chRCC_SPECIFIC
GOT1,0.6513483797388602,0.008527383449149427,-0.519,1.17034837973886,DIVERGENT(+/-)
GPX3,-0.19957322671282196,0.47577661656747394,-0.412,0.21242677328717802,PRCC_SPECIFIC
GPX4,-0.36812861538702235,0.17699801419309455,-0.319,-0.049128615387022345,SHARED_NORMAL
HAVCR2,,,-0.396,,
HDC,-0.11997734266585819,0.670178986477205,0.627,-0.7469773426658581,PRCC_SPECIFIC
HIF1A,-0.49594985641539097,0.06008287171030702,-0.019,-0.47694985641539095,chRCC_SPECIFIC
HRH1,0.6585102982348423,0.007599525181070656,0.63,0.028510298234842302,SHARED_ATTRACTOR
KDM1A,0.3287371138839097,0.23156033977715546,0.443,-0.11426288611609031,SHARED_ATTRACTOR
