drug,gene,r_depth,p_depth,n_mean,t_mean
EZH2_inhibitor,EZH2,-0.12177641881400064,0.6654966895674854,0.3090086927109034,0.10960664335664332
KDM1A_inhibitor,KDM1A,0.3287371138839097,0.23156033977715546,0.8473578804385639,0.8391520979020978
MET_inhibitor,MET,-0.05290914645094087,0.8514499918491508,0.8507092999482998,0.9662558275058274
ERBB2_TDXd,ERBB2,0.5673627660192181,0.027392699931508946,0.9569956466869542,0.9118822843822844
CDK4_inhibitor,CDK4,-0.03814058816560327,0.8926510079015252,0.8901631395233084,0.9173776223776222
CDK2_inhibitor,CDK2,-0.13326226638934602,0.6358792594202916,0.6624223559269603,0.6135810023310023
CDK6_inhibitor,CDK6,0.2762602199907549,0.31890823286914466,0.6807368841325112,0.4321008158508157
mTOR_inhibitor,MTOR,-0.05231845405785904,0.8530917456690114,0.8370895420939788,0.4698324592074592
PTEN_loss,PTEN,0.7557960128211878,0.0011167091961708983,0.9456098117060983,0.9363374125874125
CA9_targeted,CA9,0.6309848729964391,0.011656419908640064,0.20412349836389498,0.636474358974359
PDL1_checkpoint,CD274,0.2402976019906013,0.3883175064127545,0.10816115072182356,0.4419478438228438
ARG1_inhibitor,ARG1,0.24824791469849158,0.37232228487880936,0.176782294742949,0.28462412587412583
PDK1_DCA,PDK1,0.013969073053889919,0.9605923684785682,0.2652170608768067,0.525625
SLC16A1_MCT4,SLC16A1,-0.0957345433682065,0.7343140575788403,0.14172190817902636,0.7316666666666667
Ferroptosis_GPX4,GPX4,-0.36812861538702235,0.17699801419309455,0.992174312348873,0.986861888111888
Ferroptosis_SLC7A9,SLC7A9,0.010773283821954027,0.9696034849179388,0.825249322704984,0.3407080419580419
HRH1_antihistamine,HRH1,0.6585102982348423,0.007599525181070656,0.5085112782598736,0.37358974358974356
KIT_imatinib,KIT,-0.24685482100224224,0.3750987509626428,0.7649387571168158,0.9834819347319347
CDKN2A_proxy,CDKN2A,0.7208075770560437,0.002429801486456673,0.20962642001817533,0.6685445804195803
RB1_proxy,RB1,-0.11191809380002259,0.6912905820488102,0.5436423111628709,0.5730171911421912
SDHA_SDHi,SDHA,0.5212077351832481,0.04632815432375873,0.8940893633373331,0.972937062937063
PPARGC1A_mito,PPARGC1A,-0.5611556320180572,0.029520586465718954,0.921784869052729,0.9133668414918416
SETD2_proxy,SETD2,-0.4273654540800934,0.112078798961957,0.8245369721193152,0.8320643939393939
BAP1_proxy,BAP1,0.056872751195339744,0.8404486015104174,0.6579545101800304,0.8828175990675988
