gene,r,p,n_mean,t_mean,absent
MKI67,0.4881768313553977,0.06485783917028423,0.12984957681772488,0.37563082750582755,False
TOP2A,-0.10383869215478801,0.7126689413663622,0.22148858258824636,0.14534527972027966,False
PCNA,-0.35926695918671225,0.1884581120995194,0.8373978170281225,0.7701806526806527,False
MCM2,-0.09252552483189025,0.742937483296851,0.46077843702467586,0.6789117132867133,False
MCM7,0.08712037734200868,0.7575263070963222,0.86271275519652,0.7808770396270395,False
CDK1,0.002298037311843526,0.9935148358871657,0.4684911975731911,0.38761655011655016,False
CDK2,-0.13326226638934707,0.6358792594202888,0.6624223559269603,0.6135810023310023,False
CDK4,-0.03814058816560391,0.892651007901522,0.8901631395233084,0.9173776223776222,False
CDK6,0.2762602199907541,0.31890823286914594,0.6807368841325112,0.4321008158508157,False
CCNA2,0.09866325809135522,0.726469480561828,0.31841535979859376,0.18140151515151512,False
CCNB1,-0.1456095950664382,0.6046027814998232,0.44840676449400624,0.3206643356643356,False
CCND1,0.34828909970734845,0.20330734936449052,0.9650289917589974,0.8999475524475523,False
CCNE1,-0.34169447004431375,0.21257726358264492,0.47393631767731964,0.4071794871794872,False
CDKN1A,0.4256022931074869,0.11372821257048603,0.17860678996950433,0.9128438228438228,False
CDKN1B,-0.5575529918370494,0.03081147710820234,0.8516844335073445,0.7661596736596736,False
CDKN2A,0.7208075770560436,0.002429801486456673,0.20962642001817533,0.6685445804195803,False
CDKN2B,0.45806109896320435,0.08596643932563162,0.3713867341160805,0.37667832167832166,False
RB1,-0.11191809380002248,0.691290582048811,0.5436423111628709,0.5730171911421912,False
E2F1,0.4572525028945439,0.08659292638223351,0.48139004164922805,0.485588578088578,False
E2F3,,,,,True
CDKN2A,0.7208075770560436,0.002429801486456673,0.20962642001817533,0.6685445804195803,False
CDKN1A,0.4256022931074869,0.11372821257048603,0.17860678996950433,0.9128438228438228,False
TP53,,,,,True
MDM2,0.07124405610383658,0.8008022946247765,0.4260402405828965,0.7165151515151514,False
LMNB1,,,,,True
HMGA1,0.024065455536785588,0.93215760324392,0.6394387469480247,0.879577505827506,False
HMGA2,-0.6566514453204326,0.00783233447478662,0.2767308085473507,0.2696095571095571,False
IL6,-0.4902609697072884,0.06355148722412023,0.3820093745551153,0.29445367132867134,False
IL8,,,,,True
CXCL1,0.10054928644525463,0.721431008573964,0.5100285689513621,0.060553613053613,False
CXCL8,-0.2783008074595794,0.3151994503155195,0.7162907246708791,0.3878030303030303,False
MMP3,-0.6214766180925969,0.013392751928851941,0.22865651000662573,0.03704254079254075,False
SERPINE1,0.06949378981301688,0.8056086328540435,0.5556928639704741,0.509870337995338,False
GLB1,-0.16002243719815828,0.5688884879264722,0.9382101428875725,0.8946445221445223,False
SMPD1,-0.1969312603568195,0.4817568411173761,0.7446932289765593,0.786416083916084,False
IL6,-0.4902609697072884,0.06355148722412023,0.3820093745551153,0.29445367132867134,False
IL8,,,,,True
CXCL1,0.10054928644525463,0.721431008573964,0.5100285689513621,0.060553613053613,False
CXCL2,-0.3643979512055985,0.18176554476577841,0.48018637788726765,0.2821984265734265,False
CXCL5,-0.024848195678758372,0.9299559118874926,0.16580374661084893,0.02279137529137525,False
CXCL8,-0.2783008074595794,0.3151994503155195,0.7162907246708791,0.3878030303030303,False
CCL2,0.05728251596301756,0.8393127849450425,0.8524567264413192,0.7217307692307693,False
CCL7,0.6427756902947832,0.009752194121785804,0.11860717531317194,0.13783508158508154,False
MMP1,-0.14843627250100253,0.5975291072407551,0.34782832083285603,0.038321678321678286,False
MMP3,-0.6214766180925969,0.013392751928851941,0.22865651000662573,0.03704254079254075,False
MMP10,-0.46305028917700114,0.08217186420529421,0.1601606026774962,0.030314685314685272,False
SERPINE1,0.06949378981301688,0.8056086328540435,0.5556928639704741,0.509870337995338,False
IGFBP3,-0.04850169611672879,0.8637131575295489,0.9229334072622297,0.8368924825174826,False
IGFBP7,0.31053060111969755,0.25996407299173996,0.9955289430558395,0.9892628205128204,False
GDF15,0.5164012367460826,0.04874606578999661,0.9170258747568856,0.9032284382284383,False
