gene,r,p,n_mean,t_mean,absent
EZH2,-0.12177641881400164,0.6654966895674832,0.3090086927109034,0.10960664335664332,False
EED,-0.785293184288693,0.0005225144150134104,0.5618289266787334,0.6217453379953379,False
SUZ12,0.47961486282136745,0.0704290469114719,0.9437194869363145,0.9049796037296037,False
JARID2,-0.5497735900653633,0.03374354046549931,0.6084485528739678,0.6745265151515151,False
AEBP2,-0.5401266281445862,0.037664447865358,0.7101964075266182,0.6879953379953379,False
BMI1,,,,,True
RING1,0.5283654876524493,0.04289323611947809,0.9548205957627182,0.8995483682983684,False
CBX8,-0.13758483389366355,0.6248614849246128,0.31152948253697427,0.3918385780885781,False
PBRM1,,,,,True
ARID2,0.022358753018853622,0.9369597785730186,0.5499603417142013,0.6054283216783216,False
BAP1,0.05687275119533969,0.8404486015104174,0.6579545101800304,0.8828175990675988,False
SMARCA4,0.37814349179442813,0.16460713825470163,0.9280402812580614,0.8701573426573427,False
SMARCA2,-0.5327792123204408,0.04087156323134606,0.9503752283964031,0.8467963286713288,False
SETD2,-0.4273654540800937,0.11207879896195679,0.8245369721193152,0.8320643939393939,False
NSD1,-0.3702164637761623,0.17436595459790324,0.5044571417561609,0.5622727272727274,False
NSD2,,,,,True
DNMT1,-0.5271185527917461,0.043477587718687254,0.8366752976512233,0.437747668997669,False
DNMT3A,0.40959854760910075,0.12947192815591343,0.3900614516110042,0.5480929487179488,False
DNMT3B,-0.0258536952277178,0.9271283365117474,0.4278791861969897,0.2163053613053613,False
TET1,0.3135132684348633,0.2551721576217541,0.32032227575406935,0.19272144522144516,False
TET2,-0.7199580645575103,0.0024726346038800033,0.1761347033014318,0.6478918997668998,False
TET3,,,,,True
KDM1A,0.32873711388390986,0.23156033977715526,0.8473578804385639,0.8391520979020978,False
KDM1B,-0.4013393071664259,0.13815148729508814,0.24526589248269431,0.11457022144522142,False
KDM5C,0.673343758477114,0.0059302376100797876,0.3288421172065581,0.9061829836829837,False
KDM6A,-0.5095793910678776,0.05233572676048325,0.5965039695749766,0.5312470862470863,False
KDM2B,-0.11358433348276781,0.6869078564912289,0.7905619702193568,0.7708551864801866,False
ARID1A,0.1291362225455208,0.6464626582696836,0.85464729815217,0.8980215617715618,False
ARID1B,-0.24984179404236118,0.36915942829277765,0.1745681742524065,0.792064393939394,False
RUNX1,,,,,True
RUNX2,0.8492232783080667,6.188403470461156e-05,0.3221553341732398,0.47775203962703966,False
RUNX3,0.350532222379697,0.200214189630597,0.5244463093175028,0.5246911421911422,False
