tier,drug,gene,category,r_depth,p_depth,rationale
T1,TET2_activator,TET2,epigenetic,-0.7199580645575103,0.0024726346038800033,TET2 lost at depth — re-activation may restore IC identity
T1,SETD2_H3K36me3,SETD2,epigenetic,-0.4273654540800937,0.11207879896195679,SETD2 lost — H3K36me3 deficiency
T1,ERBB2_TDXd,ERBB2,targeted,0.5673627660192189,0.02739269993150866,ERBB2 rises with depth ★ SHARED with PRCC
T1,CDKN2A_CDK46i,CDKN2A,cell_cycle,0.7208075770560436,0.002429801486456673,CDKN2A rises ★★ — CDK4/6 context
T1,KDM1A_LSD1i,KDM1A,epigenetic,0.32873711388390986,0.23156033977715526,KDM1A rises — shared PRCC/chRCC
T2,HRH1_antihistamine,HRH1,immune_metabolic,0.658510298234842,0.007599525181070709,HRH1 rises ★★ both chRCC+PRCC
T2,CA9_targeted,CA9,metabolic,0.6309848729964382,0.011656419908640227,CA9 rises ★ chRCC-specific
T2,PTEN_PI3K,PTEN,signalling,0.755796012821188,0.0011167091961708925,PTEN rises ★★ chRCC-specific
T2,SLC2A1_GLUT1,SLC2A1,metabolic,0.7771583373642071,0.0006514263889328962,GLUT1 rises ★★★ chRCC-specific
T2,KHK_fructose,KHK,metabolic,0.8356591905251458,0.00010466006647760149,KHK rises ★★★ fructose axis
T2,PPARGC1A_mito,PPARGC1A,mito,-0.5611556320180573,0.029520586465718954,PGC1a falls — mito programme
T2,SDHA_complex2,SDHA,mito,0.5212077351832486,0.04632815432375852,SDHA rises ★ — complex II
T3,EZH2_PRC2i,EZH2,epigenetic,-0.12177641881400164,0.6654966895674832,EZH2 falls in chRCC (PRCC-specific)
T3,mTOR_rapalogue,MTOR,signalling,-0.05231845405785843,0.8530917456690122,MTOR neutral — context-dependent
T3,PDL1_checkpoint,CD274,immune,0.2402976019906008,0.3883175064127555,CD274 rises but immune cold
T3,HIF_pathway,HIF1A,HIF,-0.4959498564153906,0.060082871710307295,HIF1A falls — not VHL-driven
T3,GPX4_ferroptosis,GPX4,ferroptosis,-0.3681286153870223,0.17699801419309455,GPX4 falls ~ — context
T3,BAP1_HDAC,BAP1,epigenetic,0.05687275119533969,0.8404486015104174,BAP1 absent — check PBAF
