gene,r,p,n_mean,t_mean,absent
CD8A,0.48713791662902867,0.06551625044991634,0.44420009612183714,0.5655244755244754,False
CD8B,-0.5724114400958269,0.02574927328795451,0.13225476354349186,0.3369172494172494,False
CD4,0.15456048110357656,0.582318376063115,0.33186331860107393,0.5850437062937064,False
FOXP3,0.7019438288156454,0.003532872975900745,0.24946453286178685,0.5600203962703962,False
CD163,-0.5838945529993176,0.022290366675797483,0.4787472263283921,0.3865107808857808,False
CD68,-0.4130498109713242,0.12595782126563204,0.39738886849183985,0.4376733682983682,False
ARG1,0.2482479146984924,0.37232228487880736,0.176782294742949,0.28462412587412583,False
IDO1,0.18093363419737152,0.5187197852044131,0.2907953172181184,0.48208624708624703,False
IDO2,0.6012762547044228,0.01774273583620799,0.44037716581873226,0.291580710955711,False
PDCD1,,,,,True
CD274,0.2402976019906008,0.3883175064127555,0.10816115072182356,0.4419478438228438,False
CTLA4,0.32491885454011477,0.2373493923194734,0.22774399479357893,0.5583289627039627,False
HAVCR2,,,,,True
LAG3,,,,,True
TIGIT,-0.5144560714449379,0.0497505420118628,0.400869806289879,0.10711392773892771,False
B2M,-0.39720159884870526,0.14264436348852053,0.9959314131087493,0.998382867132867,False
HLA-A,0.2533621161691735,0.36222607552188263,0.9939062180552776,0.9966491841491842,False
HLA-B,,,,,True
HLA-C,,,,,True
STING1,,,,,True
CGAS,,,,,True
IFNG,-0.22242254580166113,0.4255889798745568,0.18914058728515748,0.15796911421911417,False
GZMB,0.3535180205227094,0.19614399467304172,0.33193931693553314,0.0805288461538461,False
PRF1,-0.09260336378825543,0.7427279703786661,0.3639586997220173,0.4092671911421911,False
CD19,,,,,True
MS4A1,0.19146138991117065,0.4942513298920951,0.2782079592734559,0.23963578088578086,False
