gene,r,p,n_mean,t_mean,absent,axis
KHK,0.8356591905251458,0.00010466006647760149,0.7408017931325337,0.4734382284382284,False,FRUCTOSE
ALDOB,0.0007908664513523178,0.9977681204401562,0.9329833841951296,0.4390938228438228,False,FRUCTOSE
ALDOC,-0.11164909992047925,0.6919989766919001,0.7799778641470902,0.7166783216783216,False,FRUCTOSE
TKT,-0.2709324109360838,0.32870920534034126,0.9009238614432619,0.8632750582750585,False,FRUCTOSE
TALDO1,-0.4517688490407793,0.09092719370082596,0.9687668253354897,0.948892773892774,False,FRUCTOSE
RPE,,,,,True,FRUCTOSE
G6PD,-0.4832381475311578,0.06803091129538734,0.7706707441735502,0.6105652680652681,False,FRUCTOSE
PGD,0.12959350870827352,0.6452865598562955,0.8532397233660626,0.8177972027972028,False,FRUCTOSE
PFKM,0.440904331127166,0.09996261670580273,0.8712984261922373,0.975568181818182,False,FRUCTOSE
PFKL,0.5415154438831697,0.03707999134078663,0.8484753770748347,0.8395687645687645,False,FRUCTOSE
PFKP,0.895472059943559,6.424374403331053e-06,0.879088790673827,0.753314393939394,False,FRUCTOSE
IDH1,-0.8454130449746018,7.208295118694264e-05,0.9058905131600214,0.6999198717948718,False,TCA
IDH2,0.6758514773687005,0.005679231956758818,0.9186865989246772,0.9875087412587412,False,TCA
IDH3A,,,,,True,TCA
OGDHL,0.5335249484384619,0.04053710851069597,0.9170863523047297,0.9925844988344987,False,TCA
OGDH,0.10208081295237335,0.7173473734956904,0.8552595664241498,0.9618618881118882,False,TCA
DLST,0.21993162189829873,0.430923844267725,0.8322133390992162,0.9302622377622377,False,TCA
FH,0.5411686817346674,0.03722528061972418,0.959909272974243,0.9457284382284382,False,TCA
MDH1,0.4589674002076334,0.0852680809218432,0.9898654615400257,0.972074592074592,False,TCA
MDH2,-0.05487311120647735,0.8459955063820869,0.9938377125143567,0.9628234265734267,False,TCA
CS,0.6608930266449556,0.007309090330157142,0.9659238453872755,0.9855769230769231,False,TCA
ACO1,-0.2946960237730821,0.2863128150931348,0.9690387067010193,0.8629428904428903,False,TCA
ACO2,,,,,True,TCA
GOT1,0.6513483797388594,0.008527383449149517,0.973373822962415,0.977782634032634,False,TCA
GOT2,0.6555568851232039,0.007972016424784801,0.9643257395654821,0.9591520979020981,False,TCA
SUCLG1,0.6178029018262367,0.014114803626576385,0.9824112023685794,0.981593822843823,False,TCA
SUCLA2,-0.20993255551788484,0.4526779653735051,0.8390697803862215,0.7891200466200468,False,TCA
PCK1,-0.06788224361112632,0.810039758680866,0.8202468126191488,0.46881410256410255,False,GLUCONEOGENESIS
PCK2,0.18558099123678706,0.5078511361246157,0.9006075585160414,0.45521853146853153,False,GLUCONEOGENESIS
G6PC,,,,,True,GLUCONEOGENESIS
G6PC3,0.8685305847426458,2.6664286672108714e-05,0.7904522543139758,0.8957488344988345,False,GLUCONEOGENESIS
FBP1,-0.7104519630899446,0.002994485844269719,0.9564476023595879,0.6642162004662004,False,GLUCONEOGENESIS
FBP2,-0.0488914737176907,0.8626274472473793,0.17988217046961616,0.34776078088578083,False,GLUCONEOGENESIS
PFKFB1,0.7566640816305715,0.0010936568685349691,0.15802033972325896,0.5053205128205128,False,GLUCONEOGENESIS
PFKFB3,0.0655178460784852,0.816550599762495,0.9467529979202146,0.5347523310023309,False,GLUCONEOGENESIS
ACOX1,-0.13468586002676403,0.6322426981737577,0.8071387055235805,0.636993006993007,False,FATTY_ACID_OX
ACOX2,,,,,True,FATTY_ACID_OX
ACOX3,,,,,True,FATTY_ACID_OX
HADHA,0.18595492250763662,0.5069812281461156,0.8094914426945798,0.9388694638694639,False,FATTY_ACID_OX
HADHB,0.33482677058680926,0.2225114736552537,0.9175963974648669,0.9798106060606061,False,FATTY_ACID_OX
ACADM,0.17263430544111677,0.5383877362330686,0.9799674812760442,0.85006993006993,False,FATTY_ACID_OX
ACADL,,,,,True,FATTY_ACID_OX
ACADVL,0.23225745684150323,0.40486030975570775,0.9859585049093853,0.9491695804195802,False,FATTY_ACID_OX
CPT1A,0.32765176625355086,0.23319683924783088,0.5587279805529896,0.9699096736596737,False,FATTY_ACID_OX
CPT1B,,,,,True,FATTY_ACID_OX
CPT2,-0.168851897577538,0.547458903383267,0.9075121677615064,0.6766273310023311,False,FATTY_ACID_OX
ACSL1,-0.05727047373779809,0.8393461602978414,0.9511427045345315,0.9838272144522144,False,FATTY_ACID_OX
ACSL3,-0.20353197009816193,0.46688330553039775,0.8800756986227176,0.8858712121212119,False,FATTY_ACID_OX
ACSL5,-0.2678234066533069,0.3345068200618549,0.7245140655790697,0.6151442307692307,False,FATTY_ACID_OX
