gene,chRCC_mean,onco_mean,norm_mean,diff_ch_oc,p_mwu
VRK2,0.6663024475524476,0.7863068181818182,0.4909727893850664,-0.12000437062937064,3.3918213908250945e-06
CC2D1A,0.75884324009324,0.6127651515151515,0.49371782781774515,0.14607808857808846,3.3918213908250945e-06
MRPS26,0.8867016317016319,0.8157153263403264,0.8746027481425902,0.07098630536130546,3.3918213908250945e-06
LRPPRC,0.9275058275058276,0.965719696969697,0.857815679419758,-0.0382138694638694,3.3918213908250945e-06
CEP170B,0.8917890442890443,0.8357400932400932,0.3119635293626523,0.05604895104895102,3.3918213908250945e-06
SAT2,0.7636494755244756,0.903948135198135,0.9272610307300871,-0.1402986596736594,3.3918213908250945e-06
MRPL45,0.6788461538461539,0.8349096736596737,0.9118119608533648,-0.15606351981351985,3.3918213908250945e-06
SF3B6,0.8503277972027973,0.9161290792540794,0.8642166658995476,-0.0658012820512821,3.3918213908250945e-06
NOL7,0.8614364801864801,0.9305128205128206,0.9583229415422952,-0.06907634032634047,3.3918213908250945e-06
MTO1,0.46953234265734267,0.6831541375291376,0.7948730025015226,-0.2136217948717949,3.3918213908250945e-06
PCMT1,0.7361305361305361,0.8971620046620046,0.9613296925492733,-0.16103146853146844,4.143220097537536e-06
FASTKD2,0.5808129370629371,0.7431046037296037,0.6051035557586936,-0.1622916666666666,4.143220097537536e-06
SMG8,0.541284965034965,0.6521284965034966,0.6989095844603743,-0.11084353146853154,4.143220097537536e-06
CRIPT,0.42101398601398604,0.6651573426573427,0.8049518802094985,-0.24414335664335668,4.143220097537536e-06
NFU1,0.6101427738927739,0.8384411421911421,0.8692143591895368,-0.22829836829836814,4.143220097537536e-06
ASXL2,0.8930434149184148,0.9593822843822845,0.8279151516059732,-0.06633886946386969,4.143220097537536e-06
TRIP12,0.8203234265734267,0.908444055944056,0.8410328922932339,-0.08812062937062926,5.040497839291583e-06
VEZF1,0.8496503496503496,0.9080186480186482,0.9307419685281265,-0.0583682983682986,5.040497839291583e-06
ORC4,0.7408479020979021,0.8861756993006992,0.5540192950137599,-0.1453277972027971,5.052703540469847e-06
TIAL1,0.8013869463869463,0.8800655594405595,0.7934076261652632,-0.07867861305361323,5.052703540469847e-06
ZMIZ2,0.952724358974359,0.9227855477855478,0.6374039183028609,0.029938811188811254,5.052703540469847e-06
DNAJB1,0.9601952214452213,0.9275553613053613,0.8454343732973965,0.03263986013985998,5.052703540469847e-06
UBXN8,0.3709586247086247,0.5508129370629372,0.5759276881199618,-0.17985431235431254,5.052703540469847e-06
ECHDC1,0.7359935897435897,0.916238344988345,0.7805826396255314,-0.18024475524475525,5.052703540469847e-06
TMEM17,0.14502331002330998,0.3565224358974358,0.5571544939099644,-0.21149912587412584,6.151638741096578e-06
PRKAR1A,0.940626456876457,0.9844493006993005,0.9765197258493884,-0.043822843822843516,6.151638741096578e-06
RARS2,0.7256264568764569,0.8603613053613053,0.7446846657839442,-0.1347348484848484,6.151638741096578e-06
NPEPPS,0.8090617715617714,0.9178438228438229,0.8668873115963823,-0.10878205128205154,6.151638741096578e-06
PRPSAP2,0.6858362470862471,0.7931060606060607,0.8716291795069957,-0.10726981351981357,6.151638741096578e-06
CLUHP3,0.714338578088578,0.6003496503496504,0.4084418093597836,0.11398892773892766,6.151638741096578e-06
NDUFAF7,0.5371284965034965,0.7248703379953381,0.7213130371396368,-0.1877418414918416,6.151638741096578e-06
RNF5,0.7237878787878789,0.8377534965034966,0.8008629557357869,-0.11396561771561775,6.151638741096578e-06
UBL4A,0.7722843822843823,0.6703175990675991,0.7445877946674859,0.10196678321678321,6.151638741096578e-06
PNPT1,0.564941724941725,0.7553744172494172,0.5889485576907638,-0.19043269230769222,6.151638741096578e-06
ARHGAP21,0.8042322261072261,0.9071153846153845,0.9023057466515243,-0.10288315850815843,7.459769679184183e-06
ITPK1,0.9439335664335664,0.8745949883449882,0.7133481976085142,0.06933857808857824,7.459769679184183e-06
ESD,0.9584906759906758,0.9793793706293706,0.9763099276303185,-0.020888694638694805,7.459769679184183e-06
TUBB4B,0.9771153846153847,0.9497465034965036,0.8710950503676285,0.02736888111888114,7.459769679184183e-06
RASSF7,0.8591258741258743,0.8071736596736597,0.9390750253416981,0.05195221445221454,7.477207640048687e-06
QRSL1,0.558419289044289,0.7571139277389276,0.35898616081033485,-0.19869463869463866,7.477207640048687e-06
ZNF569,0.21363927738927735,0.28235722610722613,0.19495178387358159,-0.06871794871794878,7.477207640048687e-06
GLOD4,0.6462194055944057,0.8126923076923078,0.9180181347011609,-0.1664729020979021,7.477207640048687e-06
WDR63,0.08934586247086244,0.19642628205128204,0.3750143165876533,-0.1070804195804196,7.477207640048687e-06
SYNGR3,0.950034965034965,0.7469434731934733,0.12169527664999336,0.20309149184149167,7.477207640048687e-06
SNORA29,0.9451660839160837,0.9705856643356643,0.3466203754745881,-0.02541958041958059,7.477207640048687e-06
LSR,0.8751937645687646,0.700166083916084,0.3212347909671162,0.1750276806526806,7.477207640048687e-06
PSMB6,0.8843735431235432,0.9390938228438228,0.9827440964814912,-0.054720279720279597,7.477207640048687e-06
FGFR1OP,0.526013986013986,0.6730448717948718,0.5143208692496823,-0.14703088578088586,7.477207640048687e-06
FAM83H,0.7399970862470864,0.47222027972027975,0.738468323144918,0.26777680652680663,7.477207640048687e-06
FBXL3,0.8684251165501167,0.9363403263403264,0.1832009428075069,-0.06791520979020971,7.477207640048687e-06
SMARCAL1,0.4900145687645688,0.578548951048951,0.6526126835868217,-0.08853438228438221,7.477207640048687e-06
NCOA4,0.9759294871794874,0.9867307692307692,0.9897091832748003,-0.010801282051281835,8.20038003890165e-06
HSPB1,0.992263986013986,0.9738111888111888,0.9945473871023333,0.018452797202797244,8.219387447824533e-06
GABARAP,0.9834411421911422,0.9898805361305362,0.6518543058408466,-0.006439393939393967,9.011156440106716e-06
RNF181,0.9249125874125874,0.9588578088578087,0.945433195858412,-0.033945221445221274,9.052614145040952e-06
IARS2,0.8208682983682986,0.917937062937063,0.9310299058798093,-0.09706876456876445,9.052614145040952e-06
PRRG4,0.8141244172494172,0.4744318181818181,0.6337383366640585,0.3396925990675991,9.073400856319232e-06
FEZ2,0.8866579254079254,0.9502097902097901,0.9509842854711521,-0.0635518648018647,9.073400856319232e-06
MTIF2,0.7121940559440559,0.8457619463869465,0.0989867602338179,-0.13356789044289052,9.073400856319232e-06
AMZ2,0.8769274475524474,0.935684731934732,0.4104739620072551,-0.05875728438228456,9.073400856319232e-06
DTNBP1,0.5835912004662005,0.7208420745920746,0.580134356492131,-0.1372508741258741,9.073400856319232e-06
YIPF2,0.8110285547785546,0.716685606060606,0.5300172013131655,0.09434294871794857,9.073400856319232e-06
PPIL1,0.48253350815850815,0.6590034965034964,0.7057141113921502,-0.17646998834498828,9.073400856319232e-06
