gene,r,p,n_mean,t_mean,absent
HNF4A,0.3044028923199987,0.2699792304374161,0.3618928295036238,0.6393662587412586,False
HNF1A,0.32289646756580337,0.24045168533260483,0.583898414846007,0.46442453379953375,False
HNF1B,0.8470221285646462,6.761890531438036e-05,0.8716934034516088,0.9161713286713286,False
PPARA,0.09279904979353693,0.7422013319843023,0.6104807055214395,0.7294172494172493,False
NR1H4,0.024713800376483422,0.9303339058714258,0.7959883583396395,0.23419580419580419,False
RXRA,0.0325124854795838,0.9084249810432091,0.8900357620331588,0.8177899184149184,False
FOXA1,-0.16699072403176485,0.5519467018775255,0.2022160472088809,0.07579982517482511,False
FOXA2,0.8992407118663922,5.107864279492969e-06,0.35707496325855165,0.5324606643356644,False
FOXA3,-0.10998773767482684,0.6963794028054434,0.46958889182653973,0.18826194638694635,False
NR3C1,-0.6629995734200508,0.0070596518722078165,0.49210527160841366,0.8079953379953381,False
NR3C2,-0.10041037040726677,0.7218017592461664,0.8601780501824494,0.923208041958042,False
PPARGC1A,-0.5611556320180573,0.029520586465718954,0.921784869052729,0.9133668414918416,False
PPARGC1B,,,,,True
ESRRA,0.2944392253542948,0.286752712248327,0.7732263219696198,0.9188053613053613,False
ESRRB,0.21953818322231544,0.4317695847275238,0.5399719127282224,0.3152549533799533,False
ESRRG,0.5174327216029498,0.04821951370346774,0.9210270265062924,0.8695847902097903,False
NRF1,-0.31178317841446146,0.2579450790552916,0.2664603294046119,0.4363432400932401,False
TFAM,,,,,True
GABPA,-0.3112654243670277,0.2587784701714441,0.5919702942848182,0.4805463286713287,False
MLXIPL,0.703413779689697,0.003434732122193691,0.6810269622823476,0.7299519230769231,False
MYC,-0.1351959874292296,0.6309414763555314,0.6745976102270208,0.6151602564102564,False
MYCN,-0.30919632991471035,0.2621252879200253,0.6454212073887509,0.379763986013986,False
SP1,-0.3020299532235966,0.27391912008971875,0.7657544012134044,0.8615792540792542,False
SP3,-0.4773873098066899,0.0719332660133868,0.7787212156308235,0.718784965034965,False
KLF15,0.6449686475657448,0.009426572059897859,0.7004493535324775,0.8369959207459207,False
KLF9,-0.37703400632372897,0.165950749036882,0.9772690052032099,0.7785489510489509,False
