gene,r_chRCC,r_PRCC,r_ccRCC,pattern,label
ACADM,0.1726343054411169,-0.412,,~/-/?,
ACOX1,-0.13468586002676403,-0.3,,~/-/?,
ALDOB,0.0007908664513523178,-0.58,-0.54,~/-/-,PRCC_ccRCC_shared
ARG1,0.2482479146984915,0.076,0.35,+/~/+,chRCC_ccRCC_shared
B2M,-0.3972015988487049,-0.222,,-/-/?,RCC_shared
BAP1,0.05687275119533969,,0.15,~/?/~,chRCC_ccRCC_shared
CA9,0.6309848729964391,0.125,0.71,+/~/+,chRCC_ccRCC_shared
CD274,0.2402976019906008,0.18,0.42,+/~/+,chRCC_ccRCC_shared
CD8A,0.48713791662902867,-0.15,0.25,+/~/+,chRCC_ccRCC_shared
CDK4,-0.0381405881656032,0.118,,~/~/?,RCC_shared
CDKN2A,0.7208075770560437,0.036,0.2,+/~/~,PRCC_ccRCC_shared
CUBN,0.5363501406278541,-0.397,-0.65,+/-/-,chRCC_UNIQUE(+)
DNMT3A,0.40959854760910075,0.15,0.1,+/~/~,PRCC_ccRCC_shared
DNMT3B,-0.0258536952277178,0.2,0.05,~/~/~,
EPAS1,0.2547852915615645,-0.082,0.62,+/~/+,chRCC_ccRCC_shared
ERBB2,0.5673627660192181,0.36,0.15,+/+/~,RCC_shared
ESRRA,0.2944392253542948,-0.12,-0.28,+/~/-,anti_ccRCC
EZH2,-0.1217764188140006,0.308,0.42,~/+/+,PRCC_ccRCC_shared
FABP1,0.3008169371227057,-0.671,,+/-/?,
FBP1,-0.7104519630899446,-0.38,,-/-/?,RCC_shared
FH,0.5411686817346675,-0.451,-0.3,+/-/-,chRCC_UNIQUE(+)
FOXP3,0.7019438288156454,-0.05,0.18,+/~/~,PRCC_ccRCC_shared
G6PC,,-0.35,-0.45,?/-/-,PRCC_ccRCC_shared
GOT1,0.6513483797388602,-0.519,-0.2,+/-/~,
HAVCR2,,-0.396,,?/-/?,chRCC_ccRCC_shared
HDC,-0.1199773426658581,,-0.1,~/?/~,chRCC_ccRCC_shared
HIF1A,-0.4959498564153909,-0.019,0.58,-/~/+,
HNF1A,0.32289646756580337,-0.25,-0.38,+/-/-,chRCC_UNIQUE(+)
HNF1B,0.8470221285646462,0.1,,+/~/?,
HNF4A,0.3044028923199987,-0.3,-0.45,+/-/-,chRCC_UNIQUE(+)
HRH1,0.6585102982348423,0.63,0.05,+/+/~,RCC_shared
IDH1,-0.8454130449746018,-0.2,-0.15,-/~/~,PRCC_ccRCC_shared
KDM1A,0.3287371138839097,0.443,0.38,+/+/+,PAN_ATTRACTOR
KHK,0.8356591905251458,-0.746,-0.62,+/-/-,chRCC_UNIQUE(+)
KITLG,-0.2431722535990891,0.69,-0.1,-/+/~,
KRT19,-0.0253476743489436,0.803,-0.2,~/+/~,chRCC_ccRCC_shared
KRT7,0.0781723278967704,0.2,-0.15,~/~/~,
LAMC2,0.3857149238188253,0.76,,+/+/?,RCC_shared
LDHA,-0.204916457559818,0.21,0.59,-/+/+,chRCC_UNIQUE(-)
MET,-0.0529091464509408,,0.38,~/?/+,
MIOX,0.3590743070948255,-0.429,-0.6,+/-/-,chRCC_UNIQUE(+)
MKI67,0.4881768313553986,-0.024,0.45,+/~/+,chRCC_ccRCC_shared
MTOR,-0.05231845405785843,,0.15,~/?/~,chRCC_ccRCC_shared
OGDHL,0.5335249484384615,-0.402,-0.51,+/-/-,chRCC_UNIQUE(+)
PBRM1,,,0.18,?/?/~,RCC_shared
PCK1,-0.06788224361112632,-0.4,-0.5,~/-/-,PRCC_ccRCC_shared
PDK1,0.0139690730538899,,0.42,~/?/+,
PPARA,0.09279904979353693,-0.2,,~/~/?,RCC_shared
PPARGC1A,-0.5611556320180572,-0.18,-0.35,-/~/-,chRCC_ccRCC_shared
PTEN,0.7557960128211878,-0.1,-0.2,+/~/~,PRCC_ccRCC_shared
RB1,-0.1119180938000225,-0.08,,~/~/?,RCC_shared
RUNX1,,0.59,,?/+/?,chRCC_ccRCC_shared
SDHA,0.5212077351832481,-0.15,-0.2,+/~/~,PRCC_ccRCC_shared
SDHB,-0.2778650298276895,-0.14,-0.19,-/~/~,PRCC_ccRCC_shared
SETD2,-0.4273654540800934,0.308,0.25,-/+/+,chRCC_UNIQUE(-)
SLC22A6,0.0004175301542215,-0.801,-0.78,~/-/-,PRCC_ccRCC_shared
SLC2A1,0.7771583373642077,0.137,0.68,+/~/+,chRCC_ccRCC_shared
SLC34A1,0.6221676717642547,-0.637,,+/-/?,
SLC5A2,0.4105199238890027,-0.661,,+/-/?,
TET2,-0.719958064557511,0.292,-0.05,-/+/~,
TPSAB1,-0.2327927849960693,,-0.15,-/?/~,
UMOD,0.2946345495321744,,-0.52,+/?/-,anti_ccRCC
VHL,0.3486526185560874,0.072,-0.65,+/~/-,anti_ccRCC
