gene,r_depth,p_depth,n_mean,t_mean
BTG1,-0.7692296418912329,0.0008008482971333,0.9850486656940306,0.9595920745920746
DACT2,-0.7697275058964796,0.0007907152136638,0.5193603081036703,0.2834090909090909
TAF4,-0.7701111710965716,0.0007829776161701,0.6954018866854129,0.6078234265734266
DDX46,-0.7701705986421001,0.0007817846214714,0.7258188820537962,0.6558449883449883
FERMT3,-0.7701746140891826,0.0007817040654982,0.4274724345477724,0.2984557109557109
USP38,-0.7705691781820514,0.0007738212912297,0.8640550356389374,0.6008114801864802
RBBP7,-0.7707991959500875,0.0007692557431801,0.8704881340910332,0.9282561188811188
B4GALT5,-0.7708674932216997,0.0007679043502933,0.9240723118800382,0.8645075757575758
RGS2,-0.7715569987654147,0.0007543687566016,0.9240872974671146,0.7146212121212121
RDX,-0.7717018516413399,0.0007515499387528,0.8665180239148562,0.8437922494172495
ZNF267,-0.7717131401287354,0.000751330625911,0.2167065747122499,0.4564729020979021
UHRF2,-0.7736957983946446,0.0007136090595049,0.5339642979091894,0.7883435314685314
FARSA,-0.7737938904585067,0.0007117835041874,0.5996075916984129,0.6642948717948719
GADD45GIP1,-0.774040245728044,0.0007072153966385,0.5656261674039932,0.683513986013986
RBBP8,-0.7741398055535331,0.0007053760519594,0.891981747554941,0.9527476689976692
VPS29,-0.7741810302783805,0.0007046155732048,0.9443916975566,0.9128336247086248
MAPKAPK5,-0.7743174267079173,0.0007021041928522,0.7940263168317043,0.5460256410256411
CCDC91,-0.7747386106432863,0.0006943950528563,0.7534501638245787,0.4695104895104895
PTGDR2,-0.774988369635865,0.0006898561646021,0.0887403650703091,0.2483085664335664
TOP2B,-0.7757740040851597,0.0006757356647855,0.9007429639992676,0.7929195804195803
SRGN,-0.7763568918864434,0.0006654117212808,0.9135288809726928,0.8297902097902097
LCORL,-0.7763701705992768,0.0006651780347452,0.289381855237088,0.5736815268065267
PLXNC1,-0.77684937282185,0.0006567892783135,0.2485670032358163,0.3483537296037296
UBR1,-0.776943832978444,0.0006551458805597,0.3249533573602246,0.695013111888112
DDX55,-0.7772819774742152,0.0006492902880592,0.7735180057180717,0.3315996503496503
PAPD4,-0.7778415720486724,0.0006396933810267,0.8491540100895817,0.5779166666666666
CEP72,-0.7779311331694174,0.0006381681926342,0.3650264228012129,0.2571124708624708
