,DNAJC5B,ZNF574,NFATC1,INSM2,IL17C,NSL1,METTL6,SIX3,CCDC155,SRRM4,FEZ1,MAEL,WDR89,CYP4F2,SLAMF1,ZBTB9,LINC00599,ANKRD34A,CACNB4,AKR1E2,SEMA6A,FAM135B,AFF2,ZKSCAN3,GJA8,RAB3IL1,FOXN3-AS1,C6orf52,SOX10,FLYWCH1,OR1D2,BTNL3,LRCH4,SRD5A2,MESP1,MAP3K19,PIP5K1A,KRT83,C1orf94,NLGN2,TTTY8,C1RL-AS1,CCDC7,RASGRF1,HMGXB3,C4orf17,GRIN2A,SMYD5,SNORD8,PAK3,PLSCR1,IDH1,TMEM56,GOLGA5,GTF2B,IL13RA1,ALDH16A1,LARP7,ZNF227,GATA4,TXNL1,SPP2,PRPF38B,UPRT,CTSV,RBP4,PRDM10,CCDC90B,RTF1,CLEC4A,UNC5D,TDRD7,PTS,COQ7,CTSC,MAP3K8,ZNF326,MLLT3,AASDHPPT,ZBTB44,SAFB2,SWAP70,ATP11C,ZNF134,PHLPP1,DHX15,SIN3A,KRTAP10-12,ENAH,TEX22,PHF14,INO80C,MLN,KLHL42,SNRPD1,NKAP,TARDBP,NAMPT,L3MBTL4,KIAA0430
DNAJC5B,0.9999999999999998,-0.047290009747244136,-0.17517137745064912,0.27484971459205065,0.1173802541409974,0.22264071294543197,0.06915292940510849,0.06939291935024479,0.32784988433560797,0.2965572858925557,0.2542347472625234,0.2979268533377338,-0.007684198168549809,0.34404247768844803,0.14255072587892365,-0.1038434660594253,0.21279355119230253,0.009503710290809805,0.156965755782341,-0.13114395942233073,0.24597525014363125,0.13005998558482262,0.16392919727311317,0.2143033886861439,0.14777854341356067,0.29901874365045156,0.2727389710686931,0.1521497317639409,0.3074314573667942,-0.1287963908274916,0.0639510423538255,0.2661220845588458,0.14065979442681573,0.12488050637986153,0.18850249585248868,-0.161281470696685,0.05364363514331816,-0.042953745317496725,0.36034086285955524,-0.16443017067225035,0.25621729684886263,-0.04178761305224002,0.13942772153779578,0.091771486625154,0.08965738054790172,0.21755496310282535,0.1986686132042989,0.2062389951039385,0.09026175494086264,0.19695394802739397,-0.17065491001854696,0.038932320171572346,-0.15177651795383168,-0.19996049784235242,-0.1659236266760506,-0.1921317805065731,0.03576289385592383,-0.20522618654045363,-0.2762318808960713,0.10551256080924959,-0.29388128653027035,0.004939683195386596,-0.29064019090516924,-0.2060221490134074,0.1611178233969714,0.2468369676559537,-0.22024077081773383,-0.14635564955786268,-0.037623942475653455,-0.028762956734587695,-0.2239041245838069,-0.23336229455356539,-0.1833214776826491,-0.23745845138729885,0.013177605888167397,-0.2913687760876342,-0.2408773102758634,-0.03511745228350141,-0.05407337560834194,-0.22080418796806534,-0.15667235518449973,-0.24653509613231722,-0.20908582408079457,0.04014671597920792,-0.14803162610181822,-0.39544412169754795,-0.1292953481584163,-0.19494696612886908,-0.18693020552218054,0.07775471347598895,-0.17346061855950426,-0.014104666029413362,0.2810282043247458,-0.07453123591584088,-0.2659345324724198,-0.18441052456319654,-0.10455168856293118,-0.06255309186591233,-0.020083675019977654,-0.19027825873304527
ZNF574,-0.047290009747244136,1.0,0.06497294240414339,-0.015962663933279563,0.17685021432606723,0.144366043469491,0.022346851457029304,0.10707413577355736,0.003069770630372143,0.06575000901986713,-0.06734715379045665,0.20773705156546624,0.25149362178617385,0.06353855664382932,0.15775359372409886,0.24310586354470645,3.119662790528402e-05,0.16579105787582182,0.12468557583578964,-0.11016685295812759,0.19168757232513392,0.08265153618049864,-0.13949532789194322,0.0829208896742592,0.19402779845316614,0.0627546907973473,-0.027781417051556026,-0.058860679798599706,-0.17343218264597907,-0.02940513288186808,0.020563558504864268,-0.15251333451999577,-0.09032321628758293,0.12031281484724621,-0.028269801772024383,0.13777733651932977,0.08193713593196782,0.02577155727123115,-0.03492746128735112,-0.03990298042753691,0.17243848650052906,0.11270879616367324,-0.039925426581833415,-0.027360527839798476,0.08856727953681888,-0.0009939166601072857,-0.022297066765961618,-0.08397900741678387,-0.09453720131544963,0.14517481953293143,-0.14707495071523305,0.09543605701960993,-0.06347047553666116,0.05551270683736987,-0.14442733086181808,-0.12193270533727968,-0.07794200723140837,-0.05671114155886385,0.010312441952288476,-0.16996148306703013,0.19043649441915386,-0.2161608228072418,0.045396427456406124,-0.0233279142515656,0.07540254007954492,-0.07832309853165709,-0.05303291701342066,-0.13784033087487219,-0.0016774260877229531,0.12209855625992427,0.06605015441189538,-0.02981927463563423,-0.0728722544414086,-0.03921995585189469,0.03142278991225208,0.061631036219439446,-0.10535840982693226,-0.10328992659316831,0.04380650830537415,0.040638088435328845,-0.030491819641442642,-0.0808498926965178,0.14600774560053995,-0.14490941913892635,0.1031039940633777,0.013723024985677006,0.015890268193828737,-0.220971116813302,-0.03426433742396589,0.06090945396839681,-0.13476292206363835,-0.17451990329300704,-0.08670060809659283,-0.15141631287260351,-0.1837650266718473,0.05133334675929177,-0.05396333651075799,-0.16411561940719854,0.11297250653016631,-0.07954817780992102
NFATC1,-0.17517137745064912,0.06497294240414339,0.9999999999999999,0.3400301859296147,0.1455957848835078,0.4664552902242807,0.2768091407150689,0.16607300010417111,0.07932683681151219,-0.014217903103830178,0.3444358193921718,-0.23792579133233313,0.11809030932238951,-0.3072362230978067,0.42727650625171343,0.5484507777671924,0.001274423102538641,0.42598832069941717,0.1837511249207425,0.35851175452736006,0.038998849471630265,0.1430010227586131,0.15511941174915117,0.38393471065564083,0.02441716869107927,-0.20658141605897437,0.13246868591729366,0.3986488738363107,0.09517180998781465,0.3432011183607451,0.03410238415231569,0.07811523133564902,0.3470795914216628,0.03005809103675104,0.2427516813282128,0.2516764883767764,0.19126301581097713,0.3741575499094112,0.02904048275146593,0.5644588283760303,0.011688285814323952,0.33673750335259234,0.27356230550560123,0.044959618330886505,0.4293614132429974,0.14879485452091343,0.03920395172973925,0.0498926943194298,0.24355013584370666,0.05798427694284057,-0.07734935615233404,-0.3043269134181369,-0.09937060323324311,-0.4051199725964264,-0.21877044516574104,-0.3286672283281409,-0.3322431007583593,-0.08181864715524367,-0.4094464071347359,-0.08331737704968828,0.242120301393643,-0.14404663064281903,-0.35606948993608023,-0.2850640639425004,-0.27382858899479917,-0.4064181363311089,-0.20160238734933067,-0.2692848188264426,-0.3646892859376855,-0.1257767561742808,-0.2512573623968509,-0.19292206302518355,0.029844404517011133,-0.05308149393619978,-0.17478424141116747,0.11701767899353759,-0.17802316922043254,-0.3267564372722949,-0.5902385876165761,-0.18243273322848352,-0.4501428010213092,-0.08662617310905606,-0.10975740698477493,-0.14445080389039283,-0.3812591634288095,-0.01187555360194277,-0.3181238119585527,0.1423386894658303,-0.14914991479452508,0.13820850284884378,-0.19282236190792973,-0.637242471901326,-0.17449457141224511,-0.33108355715618637,-0.3652134261560348,-0.11360235715757175,-0.27789042587123114,-0.11648954587951255,-0.27913853204181605,-0.46426766132779906
INSM2,0.27484971459205065,-0.015962663933279563,0.3400301859296147,1.0,0.1984447056694899,0.6016473355422332,0.32878599468709446,0.19168492491513006,0.49092699319622535,0.3486841131572008,0.5623878629950171,0.18644896666328717,0.13685529224844514,0.2227584599894928,0.4112903453775324,0.40090413510046563,0.34569648408823034,0.41940316273485856,0.4111370253326195,-0.023624723877796072,0.3876439576131793,0.25412753750603134,0.2596153951993633,0.6659322922364759,0.1999144544695791,0.2647096304453262,0.3500062927479204,0.4575097430186742,0.3217857296958677,0.01946925482625339,0.2027803244152131,0.3576985471737661,0.13013926969930303,0.13582517821112378,0.34970052355212056,0.14128169445731578,0.17495902038744476,0.2847035982447365,0.22873178233364516,0.2450915242568813,0.20173565384074058,0.34695998757465746,0.34532179324047685,0.3926889086843204,0.46846603445678964,0.5396309005476023,0.3851857543449041,0.2931500391470336,0.2856210676014919,0.3444035001651308,-0.2470459715658259,-0.16201508952718377,-0.27232101886114995,-0.5981359780238177,-0.35247264811815443,-0.5594941944063966,-0.44928730522721794,-0.26879778807501786,-0.634863040035994,0.09166119700947255,-0.07890019213163879,-0.15442889055357403,-0.4994145336132527,-0.4294114657947835,0.06842277696628879,0.1838553281451068,-0.5219473261726205,-0.34760508910866095,-0.2634814526020277,-0.010963913868694667,-0.34185966940423296,-0.4649140978403821,-0.18227030889136847,-0.18501042843410304,-0.039969343447327006,-0.3182737666133888,-0.5463675148805454,-0.2795359319480054,-0.34273650756786006,-0.35003747446976624,-0.5836120113269644,-0.3696435593819112,-0.3064238998249616,-0.14695054830951948,-0.38896074237128825,-0.4469993226648945,-0.4557082182209473,-0.02161341203388613,-0.22351917563139012,-0.1318279749201341,-0.4937651495871438,-0.46907464777944036,0.028158763317716225,-0.41224033208656774,-0.6009784177991295,-0.3920427194798184,-0.40665520833035484,-0.26804019092564846,-0.3166871110707678,-0.5890920482531186
IL17C,0.1173802541409974,0.17685021432606723,0.1455957848835078,0.1984447056694899,1.0,0.1688832171077495,0.018842689748045545,0.21604580495756662,0.056089023816728874,0.1374471922925967,0.15459745583029577,0.12594663678036544,-0.09030584578782119,0.20407310184993874,0.3756890510037779,0.04752546722346396,0.3247395813675169,-0.04120961376036628,0.07959443994902804,-0.21717540147454734,0.4013573987868626,0.24141455699688702,0.04203828683920232,0.19040182833127042,-0.10543445419674591,0.28442153196072606,-0.02972362357242798,-0.10325114415634848,-0.05400532381069407,-0.14631155912343485,0.17141461173914,-0.03370186174929696,0.10745001287907885,0.10744097517722966,-0.13230359906456685,0.06940338564469924,0.1216397345914096,0.24627243387751627,0.07137620050013119,-0.06335755873061052,0.16078999780451864,-0.1266053835470253,0.044066318414232676,0.1297541719500084,-0.03065651826980678,0.16825424278153922,0.15459878824195217,0.15525613061598542,0.3994143565025161,-0.07749725298221254,-0.11052769780854824,0.13141553900536845,-0.17393788266028745,-0.14785773793570817,-0.08687152029629189,-0.08654351840784844,-0.10082593605961238,-0.21077472683856346,-0.13882260503574773,0.11080283389915793,0.18383399822543173,-0.12041620454788997,-0.1284142017781478,-0.1489407812935169,0.2323226933311655,0.11314596757560567,-0.224795601602643,-0.03785172818298648,0.07425947306625094,-0.04264772294270858,-0.06616327324527915,-0.18203738877881334,-0.11844770222418477,-0.08336308250060578,0.013370294218083905,0.03281789172868011,-0.11807304081036255,-0.052432310260178736,-0.029600872197516913,-0.003085775515116348,-0.12340722996921227,-0.146681235113527,0.0023792913685515005,-0.09416594829415245,-0.05755366443873982,-0.15877081639887936,-0.1383212726531296,-0.010464975488621207,-0.019431460310000696,0.00960995920617743,-0.14741517350587896,-0.08238372057123357,-0.015340862143548201,-0.08168982858502875,-0.16605788678017683,-0.07670022326589748,-0.10656508452659365,-0.1357914663096197,0.07606587133577164,-0.14942781483428527
NSL1,0.22264071294543197,0.144366043469491,0.4664552902242807,0.6016473355422332,0.1688832171077495,1.0,0.3332774624711478,0.4275530521525416,0.4217240221674297,0.2642678364345896,0.6296409867966678,0.23390893840232788,0.18075831675040976,0.13538659854076507,0.65463706945583,0.5509993482361146,0.2801897544516994,0.5131417756208969,0.4987027715002572,0.10647765633206867,0.48395135532452316,0.2705230024166524,0.26957659146713464,0.7627758643882159,0.27003591219340345,0.26535075321162804,0.3137441864995839,0.4884220762254754,0.3879718350346556,0.13625511141700633,0.3410311297339348,0.24560819305513176,0.25925122301902104,0.2994261852717668,0.4209521687590938,0.22235514421042707,0.18854432473108618,0.3587281802531942,0.272453800353894,0.5361305241405419,0.43336536823270155,0.3505909698059664,0.18504720802001215,0.41809713039493823,0.5075906457124518,0.6588660516717858,0.2735219413062723,0.37223667016125433,0.19970252475211914,0.366826730069032,-0.4198477538953015,-0.26195898856200495,-0.33804676745376455,-0.6957046747989654,-0.6458213305052413,-0.6317545259116906,-0.47107602118692327,-0.487122271849951,-0.7824732334311556,-0.09709690766857809,-0.2301091003721372,-0.36720505491548683,-0.6661623860438666,-0.6166686171660987,-0.03314845554078696,0.014521527342537711,-0.5442007809261882,-0.5570841166209424,-0.6418839330818535,-0.08632844405601521,-0.363246680133932,-0.56760888268116,-0.3136015224000828,-0.5240856111313196,-0.246126063587253,-0.25001796392623704,-0.6866465421670909,-0.44906946911893875,-0.523908924692608,-0.458735228633522,-0.6044617305026113,-0.5198192707140735,-0.41273503121072025,-0.30342989603733256,-0.6210698393876177,-0.4487568995775384,-0.5379689297202899,-0.057317900966249294,-0.3854104301435849,-0.1930798211717158,-0.5507961679130262,-0.6981469877242181,-0.16084715388327608,-0.5383805599893711,-0.7795682560438675,-0.6481318960667604,-0.4902204013061027,-0.32434388322539137,-0.3660913982381953,-0.792879928800037
METTL6,0.06915292940510849,0.022346851457029304,0.2768091407150689,0.32878599468709446,0.018842689748045545,0.3332774624711478,1.0,0.042827286227531125,0.20657851120686227,0.20205977493518598,0.4606850614943589,-0.2416421409731428,-0.2257891787784199,-0.3363901998752097,0.3539563736412924,0.48796456449224757,-0.32374500352666147,0.30578461121851674,-0.1331327283121426,0.15344873873708872,-0.17613620916111383,-0.28370476696652525,0.017873137434866414,0.38545329872479994,0.3340322059485623,-0.3733570926300118,0.25310646502562784,0.62016485221876,0.008107196449266978,0.5501607905491392,0.18235193019594167,-0.06319454714072487,0.007289663871957799,-0.14530345186408997,0.518557782608414,0.13546425042057147,-0.1066498834560631,-0.31222230574788745,0.0520542866198513,0.15138990789444629,-0.02071958904259108,0.43116016580131333,0.02481622745181997,0.0817024771443383,0.3033117776110601,0.293239008183383,-0.06998180046897395,-0.050477053674121475,-0.07365740019224998,0.14956453482394053,0.23664238796941003,-0.37895714757197596,0.19873303485584232,-0.31934850872588416,-0.0900548751727966,-0.2119503555370989,-0.43536671518219505,0.1961057615900877,-0.3493975235166355,-0.11286905973298883,-0.19526117377034724,-0.23563599016509693,-0.06619937926616234,-0.20335873452408254,-0.5091928337726739,-0.2014234390340964,-0.08528814300334432,-0.278705933210345,-0.24024134190340374,0.21891096335271898,-0.20829211335743458,-0.17656271330947967,-0.03692309013810759,-0.21122948228447863,-0.2038262266653984,0.03723626466198911,-0.33125361450279733,0.045051778847737804,-0.37362251205309094,-0.46431759926320487,-0.41835914048299455,-0.09077205020206605,-0.20359961385079617,-0.07586766630160033,-0.1627780345069688,0.11364242701340521,-0.0641783143181525,-0.3612689987198609,-0.28217134634065577,0.11887502251078631,-0.05250725524407239,-0.3816240930415047,-0.1725674121653591,-0.2866032391166261,-0.1833309033524375,-0.10074809441079696,-0.5471888429609135,0.22354823198582563,-0.406265973292546,-0.36206187623138775
SIX3,0.06939291935024479,0.10707413577355736,0.16607300010417111,0.19168492491513006,0.21604580495756662,0.4275530521525416,0.042827286227531125,0.9999999999999999,0.38839355346704674,0.10172378273253187,0.0586399987554988,0.25450525535961777,0.12595251443553987,0.246813634978632,0.22149266572255677,0.19709111730433326,0.24643147921925027,0.19868065784291072,0.43427658919770706,0.03396566298909984,0.28249277264344247,0.21837730899939797,0.380137442321169,0.285443126413542,0.08940061071763683,0.3390711785928222,0.1761258280993976,0.007727822387283138,0.1468536013796739,-0.018429869104521268,0.35282603908732774,0.1465213072951979,-0.0862203735716511,0.2794432764499105,0.09862886753247067,0.15128175372797023,-0.056495307346142595,0.3200915327961434,0.2384441428451805,0.24153528668292557,0.32434291549628247,0.046603950038741786,0.19533772212978784,0.23997204797848162,0.004887843773160976,0.29212054676409344,0.09614539646401297,0.09918222588464465,0.15691797419174974,0.17273837447310422,-0.35949168587867075,0.030005272551622712,-0.19354108673541204,-0.19304371785271585,-0.3283520317229532,-0.31373034613039186,-0.16368309655228533,-0.42688655783284096,-0.2378067909383189,-0.06566373804856132,0.1291519508100131,-0.22017027815418158,-0.3539270269661013,-0.2720125018987239,0.21834269475418366,-0.08474912476745036,-0.2753257755614319,-0.3170156584469592,-0.22488978257026787,-0.09146634478217176,-0.1337934906512111,-0.10411307637604142,-0.19167897036311363,-0.25237365135497347,-0.06915318900773354,-0.21166581372226606,-0.282800285817482,-0.11603010721539209,-0.1767382892497936,0.11791191817698529,-0.19276643097108184,-0.24837620384481834,0.03381756031535764,-0.16256880102637916,-0.21100962205259619,-0.24998869274718466,-0.333981524709672,0.09148896952425575,-0.07561254396435665,-0.15922406585324123,-0.28015420251493517,-0.28807524571795734,-0.2246018363202737,-0.1989311546516154,-0.4209049658546251,-0.24158863268268138,-0.21127668575509825,-0.43879283804490243,-0.06211487732931366,-0.3447696061828226
CCDC155,0.32784988433560797,0.003069770630372143,0.07932683681151219,0.49092699319622535,0.056089023816728874,0.4217240221674297,0.20657851120686227,0.38839355346704674,1.0,0.22200057044636134,0.12465401684986124,0.2908442892506815,0.2921170148173762,0.27616887783447575,0.20561424920559063,0.25853778141746747,0.17872436161394606,0.28868442326536214,0.3363853650117095,-0.00222467641472047,0.21505928768048876,0.10172209046397845,0.17000375890424485,0.3850389407314531,0.21413757162972247,0.18289576882943512,0.34085674916083275,0.21132694558854948,0.1342078682295289,-0.08918612791067962,0.4302174162060606,0.03244329662737659,-0.07584847024884919,0.2809410763747941,0.09715411537362661,0.07012982438973145,-0.027564365073933193,0.16077416032407243,0.15893887809302756,0.1663668043039559,0.32398165955492503,0.0566750700321269,0.1334042430219053,0.24341425825952845,-0.013042366620588143,0.334485740811575,0.29016331094641423,0.1461590950213238,0.06045321924849259,0.13519276230638672,-0.19387561004712522,-0.06828456486435931,-0.10764355178517067,-0.25849729417821754,-0.21866225726462002,-0.3543940559018026,-0.17157014520431674,-0.30343161337535973,-0.3901800909825167,0.1411662989041173,-0.01242410946051875,-0.09458832046218443,-0.308944405471259,-0.27866490522707305,0.14134470933073795,-0.02708592067322347,-0.27526733848122475,-0.21052559114304267,0.013430043730087556,0.03511911721060634,-0.26726250303810795,-0.22176283321281892,-0.21293815341862754,-0.257634121654965,-0.1329884601176829,-0.3168676825513799,-0.3737278089108629,-0.1595351293112197,-0.16185654732447796,-0.11842586688244379,-0.33063209989290976,-0.27211407020243217,-0.11782832655538772,-0.1413009285294652,-0.24807527591701778,-0.20785554704487638,-0.26982910250431796,-0.06007695755136727,-0.116996230098302,0.034870949449575916,-0.3486997347710748,-0.2886558163096826,-0.02613348397757971,-0.24712710245153702,-0.3965633726851444,-0.13956407036565419,-0.33691707764052214,-0.274482434421062,-0.19303349796202932,-0.38581043422932426
SRRM4,0.2965572858925557,0.06575000901986713,-0.014217903103830178,0.3486841131572008,0.1374471922925967,0.2642678364345896,0.20205977493518598,0.10172378273253187,0.22200057044636134,1.0,0.2676530155010308,0.2155563247343651,0.05147534578458736,0.24690197580024964,0.32068213737051665,0.23593565116425602,0.13794524051342807,0.16793530257756123,0.18788495604668776,-0.21900718299302305,0.2441617291260204,0.07106147505411464,0.02150882397079752,0.3643331773134491,0.09763976060178509,0.22836527256743205,0.27585984387287193,0.2503001243591663,0.04707599446189534,-0.08076968313187666,0.01809247173994586,0.05495058332563782,-0.1857178634876693,-0.10881279853320301,0.2577126031492281,-0.013830631421308151,0.10114814231044716,-0.03067450098480013,0.2520268229995197,-0.16283996466068973,0.23450922172661812,-0.03715375812496215,0.023999500540330634,0.07121905215657225,0.04560103593904623,0.21741410451263493,0.05793790513061041,0.11880451798594352,0.13154280456800738,0.3211317208469699,-0.13805388974319394,-0.13821817381916449,-0.3243207622889818,-0.2454614847387906,-0.05324844920981483,-0.3464494615290298,-0.10781625819729446,-0.1317152238372642,-0.3911613367287731,-0.281783939699202,0.08722194172205677,-0.025202531416371445,-0.10914941564075019,-0.2212078868666316,0.08137064130022656,0.07765122947662101,-0.2570391591969506,-0.15494825057701112,-0.0512188695291628,0.11844279423203091,-0.191772802235195,-0.18985219527302166,-0.22994319677546576,-0.19006960602240697,-0.08052387533157387,-0.4380863352142038,-0.40738663759867,-0.14012632487433557,-0.20301428875131788,-0.18414178308691842,-0.27843053843567156,-0.24448385317238847,-0.23039010845104962,-0.027524361073713775,-0.1620242257008498,-0.1690148772775539,-0.2993951558283805,-0.16955090270241246,-0.266873524302783,-0.2035529231104169,-0.4208093576589531,-0.10818172751811105,-0.041024794935788866,-0.2623254438544067,-0.2934813472738881,-0.08234111386519317,-0.395277072908624,-0.11559981340704344,-0.14181775723909312,-0.3046322581172454
