gene,r_PC2,p_PC2
SLC51B,0.9582065330123979,8.701459374894624e-46
RDH5,0.9554849542596549,1.0616186936062807e-44
HSD17B14,0.9536623143045848,5.202219662293711e-44
NECAB2,0.9473651258916149,8.006519145276e-42
MAPT,0.94436878166592,7.104281977138531e-41
PROZ,0.9434109961534723,1.3916452806824098e-40
APOH,0.9353195379418535,2.657334681958249e-38
SLC22A8,0.9352444349749074,2.781050843196769e-38
GGTLC2,0.9275190213849633,2.2893321713517428e-36
RAB3IL1,0.9269925302378983,3.0370025710107675e-36
USH1C,0.9236104180975924,1.7766312459856515e-35
CRYM,0.9226284175551805,2.9223516160932186e-35
ASPG,0.9224776919576962,3.1524898129322707e-35
NPHS2,0.9204307355638197,8.694785386419346e-35
SLC5A2,0.9166995523678229,5.161753025385166e-34
PLA2G12B,0.9166571019532305,5.264878402201061e-34
SULT2B1,-0.9141658108440638,1.6509116024674446e-33
HDAC6,0.9099583073553856,1.0536363035581491e-32
ABCC6,0.9090528739299906,1.5515161646501367e-32
PRODH2,0.909026368616846,1.5690966848792075e-32
FAM132A,0.9051128604532546,7.983508205549294e-32
GJB1,0.9046355614041957,9.688635427304114e-32
ENPP3,0.8997261057948115,6.700670173608561e-31
SLC7A8,0.8968325776714731,2.000002950960201e-30
SLC6A13,0.8959174922976527,2.807357591252728e-30
ACSM5,0.892085911756516,1.123019628230403e-29
OLFM1,-0.8915698818782106,1.3481578375087927e-29
ARSF,0.8904767923862188,1.9793268980688127e-29
CALML3,0.8903980387243213,2.0345341504366535e-29
FAH,0.8893961645418025,2.881810459982996e-29
ASPDH,0.8884727222125194,3.960466673839561e-29
ABCA4,-0.8882606453065396,4.258791462809446e-29
RDH12,0.8850585657930302,1.2528771544482378e-28
TM6SF2,0.8838424242340935,1.8717981285707482e-28
SLC22A13,0.883411744518546,2.1554445869104415e-28
NQO2,0.8824444408224277,2.953189003319802e-28
MLXIPL,0.8796593712114382,7.201598207929644e-28
LRRC75B,0.8794272119625318,7.74938140137289e-28
NUP93,-0.87769886330826,1.3312232809496709e-27
FCAMR,0.874075605934518,4.032124035917332e-27
SLC23A1,0.8724495474670768,6.55723994947707e-27
SLC5A11,0.8717665083681743,8.027338920368788e-27
SH3GL3,-0.8709796317474321,1.0119441264432095e-26
SLC38A3,0.870543843362859,1.1496861980258953e-26
CYP4F2,0.8697602760495714,1.444539278242272e-26
ENTPD5,0.86926918789807,1.6654959956697863e-26
FERMT1,0.8675546115085078,2.725324146086134e-26
MARC2,0.8672814951521293,2.9458528130319473e-26
TFAP2C,-0.8672265394665888,2.992276331193787e-26
ABLIM3,0.8668226271502444,3.355975656098099e-26
ALDH3B1,0.8666231123378313,3.5511271061909446e-26
RHOJ,-0.8663692688747648,3.815406815261298e-26
SLC30A2,0.863791906513959,7.843298627906788e-26
FRMD1,0.8631144530448083,9.455813244841378e-26
ERMP1,-0.8622730794513049,1.1910895517381406e-25
SLC17A1,0.8615131254907582,1.465284623683224e-25
LGI2,-0.8612431132532771,1.5767492606399745e-25
HMGCL,0.8610788577022294,1.6485395737429714e-25
ESPN,0.8603950351604754,1.9830626568580173e-25
SLC9A3R1,0.8582040672217088,3.561063508563942e-25
GSTA3,0.8566636492847614,5.343145599843872e-25
MYO7A,0.8565245353296724,5.541276908110966e-25
CIDEB,0.8563127224934883,5.856718358042233e-25
SFXN2,0.8561518635441074,6.107858745529982e-25
DLGAP2,0.8555872475791703,7.074862530010017e-25
SLC39A5,0.8553979287197401,7.431211275164845e-25
PKLR,0.8551896997304562,7.843283564438315e-25
TLE6,-0.8551637219258854,7.896223225745e-25
GCDH,0.8548512575212389,8.560814533606833e-25
STRADB,0.8543334351449965,9.783540895171395e-25
STRA6,0.8532870971219595,1.2793073696143863e-24
AGT,0.8518429862924635,1.8461157167859527e-24
RASAL1,-0.8513889771908215,2.0700788557939012e-24
KCNH6,0.8501551946642611,2.8202846193413874e-24
PFKFB4,-0.8501280972804188,2.8394168157735522e-24
FOLH1,0.8498377236158148,3.0525101639774565e-24
CSDC2,0.8481279137271491,4.659950884653371e-24
SLC10A2,0.8480834800184869,4.7111372439711914e-24
DIO2,0.8480383461175336,4.7636888454963024e-24
ABCC2,0.8474543405252772,5.497182904988057e-24
AGFG2,-0.8470153948460113,6.1195179982633445e-24
SLC4A11,-0.8459174063542125,7.990792276863527e-24
SLC22A7,0.8457364106596805,8.348414503015546e-24
FUT3,0.8452564350843239,9.373658197941167e-24
CYP17A1,0.8450164706009241,9.931053276939546e-24
GPD1,0.8446743326477133,1.0781756289740447e-23
HNF1A,0.8444105418568741,1.1485537880755745e-23
BRSK1,0.843968748394242,1.2765275141357738e-23
PDZD3,0.8409924188083793,2.5790112199993178e-23
MIOX,0.8409185845088116,2.6239169719074063e-23
SASH1,-0.8380658397365219,5.078316158554594e-23
MUC13,0.8373986517251604,5.915452377136912e-23
STC2,0.8368730135481517,6.667862910129525e-23
CLIC5,0.8367449318888014,6.864820960707509e-23
ETV5,0.8363168960058001,7.564850285741472e-23
SARDH,0.8348662015040313,1.0491291833711328e-22
SCARA3,-0.8343175858506225,1.1862684423486342e-22
TTYH3,0.8342976772457631,1.1915587771543604e-22
NIPSNAP1,0.8341241065047712,1.238662086572577e-22
FAM83D,0.8325413530991388,1.760350565311646e-22
ACY3,0.8313168423832868,2.3046641011927144e-22
SLC3A2,0.8312247531990367,2.3516317743302213e-22
SHBG,0.8306779595243845,2.6502367828682573e-22
CTXN3,0.8304136238977231,2.80747368281099e-22
APLNR,0.8298611968003673,3.16583582943435e-22
MYL3,0.829619224169916,3.336429966052732e-22
MPST,0.8294310106778238,3.4752563542261794e-22
SLC34A1,0.8288981927491192,3.89933900226281e-22
TMEM174,0.8280949332286285,4.63501450728908e-22
FUT6,0.8272076685939678,5.604169331109086e-22
LOXL4,-0.8265814525518929,6.403663820545703e-22
CDK2AP1,-0.8263935439363529,6.664423502004918e-22
GLB1L,0.8243644637705942,1.0224115810710276e-21
GDF3,-0.8228225002897894,1.4102087282396411e-21
DEGS2,-0.8223368238116593,1.5595253434806843e-21
RGN,0.8205873023743101,2.2353681713798347e-21
KLRG2,-0.8183227543725781,3.541879252753554e-21
NTM,-0.8183030210766192,3.5560129335953905e-21
CPNE6,0.8180643537667961,3.7313452989577584e-21
DAO,0.8173253881073099,4.3290199742959826e-21
CCNE1,0.8162306452560222,5.3882278608531785e-21
HAAO,0.8152050227752942,6.605854056602648e-21
