gene,hi_mean,lo_mean,delta_val,p_mwu
STXBP6,0.38875499500499494,0.854135708041958,-0.4653807130369631,0.0021756021756021756
PLA1A,0.36158528971028964,0.7837194055944056,-0.4221341158841159,0.0037296037296037296
UNC5D,0.16406093906093902,0.5541411713286712,-0.39008023226773225,0.0003108003108003108
PGM5,0.3350305944055944,0.7010544143356643,-0.3660238199300699,0.0037296037296037296
CYTIP,0.4803165584415584,0.8274857954545455,-0.3471692370129871,0.0037296037296037296
TMEM52B,0.6782155344655345,0.3328780594405594,0.3453374750249751,0.1205905205905206
AIM1,0.47722902097902103,0.8224076704545455,-0.3451786494755245,0.0037296037296037296
CSGALNACT1,0.499178946053946,0.8338177447552447,-0.3346387987012987,0.028904428904428903
PDK4,0.3687656093906094,0.6928239729020979,-0.3240583635114885,0.013986013986013986
ADCYAP1,0.20971528471528464,0.5327086975524475,-0.3229934128371629,0.013986013986013986
CPLX1,0.7260052447552446,0.4129780375874126,0.31302720716783206,0.0037296037296037296
FAM198B,0.5772977022977023,0.8872049825174825,-0.3099072802197802,0.09386169386169387
MYRIP,0.51131993006993,0.8191925262237763,-0.3078725961538462,0.24673763680788086
GLDN,0.5833479020979022,0.8892701048951048,-0.3059222027972026,0.020512820512820513
NOX4,0.5101336163836164,0.8111724213286713,-0.30103880494505486,0.013986013986013986
BEX4,0.5842594905094904,0.8852764423076923,-0.30101695179820187,0.005905205905205905
GHR,0.21666458541458536,0.5097683566433566,-0.2931037712287713,0.151981351981352
RGS1,0.35144230769230766,0.6425043706293706,-0.29106206293706294,0.04009324009324009
FAM213A,0.6087974525474525,0.8972410402097902,-0.2884435876623377,0.1892773892773893
TNFRSF11B,0.31580919080919084,0.6021607298951049,-0.2863515390859141,0.1205905205905206
DDIT4L,0.33327297702297703,0.6167832167832168,-0.28351023976023976,0.020512820512820513
RASSF6,0.345822927072927,0.6218312937062936,-0.27600836663336664,0.09386169386169387
KLF4,0.4266296203796204,0.7022863854895105,-0.2756567651098901,0.028904428904428903
BEX2,0.6499188311688312,0.9218149038461538,-0.27189607267732263,0.013986013986013986
LRRTM1,0.4523351648351648,0.7203125,-0.26797733516483524,0.020512820512820513
ARL6,0.48683503996003996,0.7526114510489511,-0.26577641108891115,0.005905205905205905
C1QB,0.4479177072927073,0.7121121066433566,-0.26419439935064926,0.009324009324009324
LPCAT2,0.444005994005994,0.7035565996503497,-0.25955060564435567,0.028904428904428903
PLCB4,0.2978521478521479,0.5565231643356643,-0.25867101648351637,0.0721056721056721
MACC1,0.4199893856143856,0.6692772071678321,-0.24928782155344653,0.09386169386169387
SPINK7,0.32927385114885105,0.5773410183566433,-0.24806716720779226,0.0721056721056721
SCG3,0.03437812187812183,0.2817963286713286,-0.24741820679320675,0.23185703185703188
MAP2,0.4102085414585414,0.6575338723776224,-0.247325330919081,0.151981351981352
PLA2G4A,0.21953983516483516,0.4662860576923077,-0.24674622252747253,0.0721056721056721
ANXA1,0.6283279220779221,0.8743444055944056,-0.24601648351648353,0.0012432012432012432
RAB3B,0.618056943056943,0.3753933566433566,0.24266358641358643,0.0012432012432012432
FXYD4,0.4930257242757242,0.7346372377622378,-0.24161151348651355,0.280963480963481
TMEM255A,0.5918893606393606,0.8313756555944056,-0.23948629495504503,0.6943278943278944
NSUN7,0.5192495004995005,0.758287805944056,-0.2390383054445555,0.028904428904428903
DSE,0.28505869130869127,0.5225852272727273,-0.237526535964036,0.028904428904428903
COLEC12,0.4037743506493507,0.6410647945804195,-0.23729044393106885,0.151981351981352
S100A8,0.30708354145854144,0.5441296984265734,-0.237046156968032,0.013986013986013986
TGFBR3,0.3661900599400599,0.6029392482517482,-0.23674918831168829,0.0037296037296037296
CD14,0.3628808691308691,0.5995383522727272,-0.23665748314185814,0.0012432012432012432
SLC35F3,0.20372752247752243,0.43905157342657347,-0.23532405094905104,0.04009324009324009
ZAK,0.6141421078921079,0.8490220716783217,-0.23487996378621379,0.013986013986013986
PABPC4L,0.5025599400599401,0.7373361013986013,-0.2347761613386612,0.04009324009324009
HMGCS2,0.5763861138861139,0.8110795454545454,-0.23469343156843148,0.009324009324009324
RGS2,0.5899662837162837,0.8236942744755245,-0.23372799075924078,0.054079254079254076
ANO5,0.44197052947052945,0.6756829108391609,-0.23371238136863143,0.0037296037296037296
