,PC1,PC2,PC3,PC4,PC5
RPL10,0.016512264839645952,0.0012026313128818355,-0.0013321820401957626,-0.0019167305198998245,-0.003912672493539347
KCNJ16,-0.015562151171447276,-0.0010383228883538527,-0.0029263118095592226,0.007365050257455701,0.001853395203927756
AKR1C1,0.016500016181837825,0.001155119704601764,-0.0011817978482950812,-6.565497022732405e-05,-0.005235186701920649
DIO1,-0.013260881311025733,0.02919535684463442,-0.017618023994334046,-0.012766980903909214,-0.0028793732166746554
UGT2B17,-0.016057033399565778,0.012772408503898004,-0.0006110299886610589,-0.0006847760000698464,0.004222381292706119
SLC13A1,-0.014509885275868299,0.02479430134975861,-0.004331961212377692,-0.004656284244380787,0.0012949240352561375
GNAO1,0.016564692385760086,0.0016592657282912399,-0.0007924211635491328,-0.0009841313995939346,-0.0017505746930323984
POMP,0.016308021108158134,-0.001242680528298805,-0.0010633101965768865,-0.0006401373219962628,-0.005310896702096749
SPCS2,0.016324703293901073,0.0007621403295754256,-0.0007561535701801983,-0.0007865178695471192,-0.0009394800533504754
PRR11,0.0163871610641217,0.0015869198193295376,0.0009166685193967,-0.0007693630544586471,-0.00010007131998425945
LARP1,0.01640408181858157,0.0021337260706524087,0.0003049214323874218,-0.0012686394803769743,-0.004320349295586107
BBOX1,-0.015951457486947915,0.011506566203326985,-0.009842950292771178,-0.005546561673558427,0.0033430980158803652
ENPP6,-0.014214148536943033,0.026013001933066573,-0.010983180548555823,-0.008690854006585803,-0.0012122428173420106
EIF1AY,-0.011489694703176468,-0.0022936925050402387,-0.0484884405304222,-0.013125409757065509,-0.03604800150405304
ACSM2B,-0.013654755775813897,0.028811127977596628,-0.014235245815935276,-0.01038810824749483,0.0010408047900984123
VDAC2,0.016141211071073688,-0.0011204841735117537,-0.0037165570247119414,-0.00022897193001846284,0.0016270769269930662
RAB3GAP2,-0.01654563786243779,-0.0017524958586266999,3.587693107804331e-05,0.0006658903633821683,0.0022433196740490606
AVPR1A,0.01593887196137845,0.0018415438828329007,0.0036688940232785425,-0.0014587686121969369,-0.012235846978799732
ACMSD,-0.01563905364372479,0.01601172574119274,-0.008576698126289172,-0.005578060821797899,-0.0009251923129146762
KRTAP5-8,0.01638661532950145,0.0034631615284164787,8.504716134375533e-05,-0.00036143950819228596,-0.005113964465630367
PNRC1,0.016026232123446178,0.005363950067031372,0.00507588367393261,0.002533879945262386,-0.013678382126191392
AKR1C3,-0.01615956570129777,0.0013257352898276295,-0.0010678883101181127,0.015285504291625852,-0.006333807366037073
SOX18,-0.016454316915563608,-0.003410197445657324,0.003600255078789293,0.002418433220363559,0.005593948933049372
POM121,0.01606841293280687,0.0013884035155741728,0.004859300230101198,0.003848059759425882,0.01273543971829205
GGH,-0.016308466163914997,0.008756914061166528,-0.0028732256902386974,0.001974465772021651,0.003863856288213909
RNF128,-0.014909010114056742,-0.0006315911510861649,0.005219079190915039,-0.004964626799376125,0.011901785427365929
ABHD17A,0.016420603222850695,0.0013542441928411004,0.0034540817861472015,-0.003576025273073637,-0.0030725604286252197
GLP1R,0.016380104058345137,0.003959283303796739,-0.0019452565245714015,-0.0012070416916807206,-0.001803247840761204
SLC5A12,-0.012067407643344723,0.036682892323539384,-0.008119050384463516,-0.009181555155341308,-0.0041692589063907345
ZNF160,0.0162860599709663,-0.0010444900611393817,0.0020104567544431354,-0.001931981729570507,-0.007385973984951115
GPC5,-0.015953867134742283,0.0016995299994725724,-0.019926489582220534,-0.009870086365079892,-0.00042684542561428234
SLC2A2,-0.011852331931427072,0.03793294391635352,0.006534267782437994,-0.0011006983252575856,-0.0027987079915542962
