,PC1,PC2,PC3,PC4,PC5,sample_class
TCGA-KI-0001-X01-01A-01-01,79.57668188384852,-1.7447575178299768,7.016538986681494,-15.159687689150262,0.6129143777042942,chRCC
TCGA-KI-0002-X02-01A-01-01,78.22812375160639,-1.3580123641228368,9.207385355099508,-15.872204259114147,-3.773886378150897,chRCC
TCGA-KI-0003-X03-01A-01-01,84.06136319831303,3.233368183719127,-5.263425328548929,0.26436778805996225,9.588969671819633,chRCC
TCGA-KI-0004-X04-01A-01-01,79.13456825049546,-2.026031630571758,8.376415261557014,-15.687420431403126,-1.0141325668601986,chRCC
TCGA-KI-0005-X05-01A-01-01,85.66013378448248,2.0521286727137205,2.6741654264251005,-12.946457982424203,11.676750748483867,chRCC
TCGA-KI-0006-X06-01A-01-01,88.61224540492468,4.046475555324484,-9.146200824226941,9.809281102078351,8.62135038970121,chRCC
TCGA-KI-0007-X07-01A-01-01,80.74513551727468,0.15171124245610015,4.196899589259335,-10.56130425730465,0.9259035089615616,chRCC
TCGA-KI-0008-X08-01A-01-01,85.97844777247245,1.5926788970543584,0.8906480635312737,-9.33329079733864,8.223439118815913,chRCC
TCGA-KI-0009-X09-01A-01-01,77.26039403930513,-2.8486616930522177,6.471795827864993,-12.424959824164922,-0.923258936919025,chRCC
TCGA-KI-0010-X10-01A-01-01,79.66921635993845,-2.0942184604556107,5.110006092244368,-8.773865815320624,1.234682538005303,chRCC
TCGA-KI-0011-X11-01A-01-01,78.97786095115767,-1.2942622194809503,4.371970923324367,-14.218069223203388,1.551857478168516,chRCC
TCGA-KI-0012-X12-01A-01-01,73.26424326007407,-2.051030836555035,10.867022079415484,-15.410831759976382,-8.539487491612059,chRCC
TCGA-KI-0013-X13-01A-01-01,71.65292961264183,-4.249281001547379,11.068093628049255,-12.233047898532307,-11.075995592444459,chRCC
TCGA-KI-0014-X14-01A-01-01,76.89533080233154,-1.1976106507822502,13.233738064681496,-14.155278176109565,-1.962475215175426,chRCC
TCGA-KI-0015-X15-01A-01-01,74.09561509214974,-3.2060510650992984,14.65401144568747,-18.41208236791975,-2.8837111580999535,chRCC
TCGA-KI-0001-X01-11G-01-01,-45.35172982029293,23.001752014489117,2.3283856777224545,0.9252214404638676,0.23259131921641124,normal
