gene,loading,n_mean,t_mean,expr_delta,pc1_shift,direction,cum_shift
FARSB,0.016232971915490446,0.15479255130690367,0.9004254079254077,-0.745632856618504,-0.01210383722075509,restore_normal,-0.46403994670566046
LUZP6,0.016166204097258646,0.2208987926968812,0.9695687645687646,-0.7486699718718834,-0.012103151566769757,restore_normal,-0.47614309827243023
HGH1,0.016361464705116634,0.11179408518878087,0.8512762237762239,-0.739482138587443,-0.012099010910562617,restore_normal,-0.4882421091829928
LIMD1,0.016507188406248662,0.09312579008831857,0.8256643356643356,-0.732538545576017,-0.012092151786662685,restore_normal,-0.5003342609696555
AOC1,-0.01601859051250856,0.9448412651688929,0.19218822843822841,0.7526530367306645,-0.012056440793384578,restore_normal,-0.51239070176304
TFPI,-0.016490399771896237,0.8845146435945714,0.15383304195804193,0.7306816016365295,-0.012049231716955804,restore_normal,-0.5244399334799958
IRX3,-0.016382883965557468,0.9318348459856288,0.20058129370629368,0.7312535522793351,-0.01198004209639406,restore_normal,-0.5364199755763899
KBTBD11,-0.01648540663849954,0.9498004240921142,0.22396998834498832,0.7258304357471259,-0.011965609883890683,restore_normal,-0.5483855854602806
RBM34,-0.016483839552392663,0.8120277533072656,0.08881847319347314,0.7232092801137925,-0.011921265736197157,restore_normal,-0.5603068511964777
SYNGR2,0.016219003297240076,0.13595941474860065,0.8706351981351982,-0.7346757833865976,-0.01191570895314966,restore_normal,-0.5722225601496274
REPIN1,0.016093657964525856,0.2112432578238144,0.9498892773892773,-0.7386460195654629,-0.011887516395745033,restore_normal,-0.5841100765453724
FITM2,0.016140544956080072,0.13378382862482613,0.8680157342657343,-0.7342319056409081,-0.011850903081185419,restore_normal,-0.5959609796265578
GOLM1,0.015891638653879762,0.22106149335656808,0.9666520979020979,-0.7455906045455298,-0.011848656471165323,restore_normal,-0.6078096360977231
ACMSD,-0.01563905364372479,0.8605639290496675,0.10400786713286708,0.7565560619168004,-0.011831820836802013,restore_normal,-0.6196414569345251
SPATA32,0.016228080844248045,0.19393972154638411,0.9229749417249418,-0.7290352201785577,-0.011830842491361808,restore_normal,-0.6314722994258869
RERGL,-0.01612431478369376,0.7618474445827638,0.02853583916083911,0.7333116054219246,-0.011824147160358945,restore_normal,-0.6432964465862459
FGFR1,0.01618028597553475,0.15638262913562057,0.8842103729603731,-0.7278277438247525,-0.01177646103601274,restore_normal,-0.6550729076222586
