gene,r_depth,p_depth,n_mean,t_mean
DNAJC5B,0.968475040233945,3.1749546385556894e-09,0.1876794925452056,0.6031759906759908
ZNF574,0.959444058445138,1.597179446630545e-08,0.1970155132938212,0.8282124125874126
NFATC1,0.9592047089946358,1.658490380194181e-08,0.4857305099060082,0.7084629953379954
INSM2,0.9576023374116313,2.12218747282798e-08,0.0919023239434357,0.513017191142191
IL17C,0.9557930756228644,2.77231632959129e-08,0.3331542198878007,0.8539393939393938
NSL1,0.953860405766588,3.6441677319676444e-08,0.8831113504047713,0.6819055944055943
METTL6,0.951427997129348,5.0589684979660304e-08,0.4251368237620031,0.7204909673659673
SIX3,0.951280251011588,5.157980926105218e-08,0.1404636540641446,0.3004851398601398
CCDC155,0.9485537336084876,7.29991306464297e-08,0.1996401318303503,0.4125174825174824
SRRM4,0.947880131062901,7.930987684888219e-08,0.1215871663432276,0.6060984848484847
FEZ1,0.94534754608421,1.0729770195996557e-07,0.6603602321053357,0.5808712121212122
MAEL,0.9448763076581022,1.1332557028273473e-07,0.3315074109080088,0.2592730186480186
WDR89,0.9445677256557172,1.1742482740424845e-07,0.4506931369222387,0.8828933566433566
CYP4F2,0.9439376431785406,1.261825345053456e-07,0.5029757094337483,0.478490675990676
SLAMF1,0.9430647806723852,1.392155536369918e-07,0.0963889016742111,0.548467365967366
ZBTB9,0.942906036555088,1.4170311910912666e-07,0.6617271317265215,0.6684877622377623
LINC00599,0.940962953669715,1.7530509748137105e-07,0.4301131090704548,0.727817599067599
ANKRD34A,0.9408995303074856,1.765055411484878e-07,0.3657644629647271,0.6290981934731934
CACNB4,0.940843017705478,1.775809848472793e-07,0.3091382109992067,0.5837237762237762
AKR1E2,0.9407704688735092,1.7896965482834272e-07,0.2063397596525913,0.8521794871794871
SEMA6A,0.9403479722577917,1.8723907326067315e-07,0.6954463082471039,0.6676048951048951
FAM135B,0.9403030370357356,1.8813712971249678e-07,0.22742715666682,0.6237674825174825
AFF2,0.9397013766729434,2.0051418775082878e-07,0.1550264335052037,0.3742060023310022
ZKSCAN3,0.9395417381140146,2.039104623235384e-07,0.5348596867370062,0.7266375291375291
GJA8,0.93897429717141,2.1637596972936657e-07,0.1349173812472503,0.6166826923076922
RAB3IL1,0.9387316796422748,2.2189747427655077e-07,0.7378110981117088,0.7578044871794872
FOXN3-AS1,0.938136751628701,2.3593914535053114e-07,0.2100090876881627,0.642830710955711
C6orf52,0.9365627436716276,2.7672929565203e-07,0.5917332008892875,0.6452840909090907
SOX10,0.9362235986077532,2.862506866572246e-07,0.1493051504392382,0.6399533799533799
FLYWCH1,0.9358217212720664,2.9788737130276597e-07,0.389240455519031,0.7888315850815851
OR1D2,0.9357072835510872,3.012726192712757e-07,0.1543676028733792,0.5955390442890443
BTNL3,0.9354152422497484,3.100581401888905e-07,0.1463305114045669,0.7487849650349649
LRCH4,0.9350931508440056,3.199957161073266e-07,0.5597416484788024,0.9147275641025642
SRD5A2,0.9346651625618358,3.336124827716001e-07,0.2813768757405823,0.6012164918414918
MESP1,0.93339493672233,3.7691897153778497e-07,0.5472367112630603,0.7678525641025643
MAP3K19,0.9329083638382536,3.9470992135060514e-07,0.2055567627278478,0.8062208624708624
PIP5K1A,0.93268046909596,4.032814390584857e-07,0.4567895948646535,0.8872552447552448
KRT83,0.9325336074462904,4.088873732872138e-07,0.3697281507464428,0.5123717948717949
C1orf94,0.9322339284812232,4.205293391447567e-07,0.1368826339524164,0.7714918414918414
NLGN2,0.9315180971786904,4.4946678727903034e-07,0.5358283979015896,0.8158566433566434
TTTY8,0.9312976579794964,4.5870688305194374e-07,0.2354765577250166,0.526768648018648
C1RL-AS1,0.9309704704701288,4.727145847568887e-07,0.4330995224949717,0.6832765151515153
CCDC7,0.9302642815333464,5.041731933302506e-07,0.2857360759812081,0.5944988344988346
RASGRF1,0.9300118521003716,5.158351867565396e-07,0.1699563598296352,0.67120337995338
HMGXB3,0.9299504729102211,5.18704734014525e-07,0.7270161234212951,0.880731351981352
C4orf17,0.9298228644035672,5.247133898242955e-07,0.0875067301341958,0.7393560606060606
GRIN2A,0.9297490012704472,5.282179154827757e-07,0.2045061660338824,0.6016346153846153
