module,n_genes,genes,r_depth,r_PC2,r_resid_PC2,mean_chRCC,mean_onco,mean_normal,p_mwu_co
1,2,NFATC1|INO80C,0.015523188294918461,-0.03902195803807597,-0.03902666043636025,0.007170251862234041,0.006665206456534611,-0.003915695750596525,0.9009714934164412
2,5,INSM2|NSL1|ZKSCAN3|ZNF227|SNRPD1,0.34635401448334624,-0.26888034773741504,-0.28662107939589193,0.0757391976429474,0.07467713941002134,-0.042570661430083735,0.9009714934164412
3,2,METTL6|C6orf52,0.7365117556179399,-0.3618257964028636,-0.5349091673445707,0.7374157666982327,0.958526629741434,-0.47998369710556615,0.5614474146848649
4,2,FEZ1|MESP1,0.35792002458335986,-0.19606151369391225,-0.20997166500628667,0.25642708884772425,0.31999347724253624,-0.1631378960632776,1.0
5,4,MAEL|CYP4F2|RAB3IL1|CTSV,-0.25688228311283967,0.8874287655952929,0.9182425046839732,-0.32358225996995815,-0.2348961650687708,0.15805993161473617,0.506914933812496
6,3,SLAMF1|SAFB2|KIAA0430,-0.7649673425178501,0.04357678353538535,0.06765855662504203,-0.2748556022236492,-0.40781814633337415,0.19320955147840185,0.5614474146848649
7,3,LINC00599|SEMA6A|KRT83,0.5368094082325034,0.6377973953925545,0.755949651773584,0.5331988107082053,0.6020800476684094,-0.3213053372764011,1.0
8,2,FLYWCH1|C1RL-AS1,0.8850833022755481,-0.3098331767953103,-0.6656885360485214,1.125873923823008,1.1251483248851417,-0.6370817685023054,0.8357050269952793
9,3,C4orf17|PRPF38B|ZNF326,-0.11777090079629278,-0.18185920223585123,-0.18313366748745932,-0.16546361089350226,0.06669181641186696,0.0279542814570669,0.4067868333984651
10,2,PLSCR1|GTF2B,0.3430843477062801,-0.3604447275799809,-0.38373572090420444,-0.00274651059781806,0.7748794032355717,-0.21852817716163128,0.04211061679180702
11,3,TMEM56|MAP3K8|SIN3A,-0.7293486668855429,-0.34096512904573545,-0.4983834342309118,-0.2997266827343021,-1.4395237002208474,0.4922406744212683,0.0003609347195741742
12,5,GOLGA5|IL13RA1|UPRT|ATP11C|PHLPP1,-0.5223333952178673,-0.09787606310696241,-0.11477813542007058,-0.09250452725974016,-0.8749414834354667,0.2738054747250586,0.018066622998912377
13,2,PRDM10|SWAP70,-0.9297926672442107,-0.16826880922385923,-0.45714824667137244,-1.3403731690999876,-1.0733359609321547,0.6831252254807966,0.22902896662469463
14,2,CCDC90B|AASDHPPT,-0.05991715693169712,0.1369172512097423,0.1371636859094782,-0.37174610788146345,0.34115044454664767,0.008659150000418343,0.020191414969204246
15,2,TDRD7|NKAP,-0.8804217753725256,-0.1043207858757088,-0.21999720517328963,-1.046252843004757,-1.1922183283424372,0.6335295767963744,0.506914933812496
16,2,PTS|ENAH,0.015576754996098202,-0.1528189216672708,-0.15283746467389242,0.04942621499756295,0.010633893103156307,-0.016998143802105577,0.7089232340537643
