gene,r_depth,r_PC2,r_PC2_resid,verdict
STXBP6,-0.4120387047272565,-0.3540122046855758,-0.3885264278596352,MIXED
PLA1A,-0.18254400476213417,0.0025151655311552376,0.0025581483474096042,DEPTH-CONFOUNDED
UNC5D,0.321936660501125,0.019396750454243786,0.020487479073363245,DEPTH-CONFOUNDED
PGM5,-0.833627463917549,-0.17426454661934235,-0.31550966662867175,MIXED
CYTIP,0.26290426952793505,0.16561976522234384,0.17165837663885353,DEPTH-CONFOUNDED
TMEM52B,-0.2442236299541862,0.5495259693535135,0.5666858177782067,PC2-GENUINE
AIM1,-0.23370905347463664,-0.16769366055835286,-0.17246994378645802,DEPTH-CONFOUNDED
CSGALNACT1,0.166442245052001,-0.21354250470454295,-0.21656330178590044,MIXED
PDK4,-0.8320630428849026,-0.030886731116974563,-0.055683766085445216,DEPTH-CONFOUNDED
ADCYAP1,0.41795206505146076,0.13337449904818188,0.14681237019791732,DEPTH-CONFOUNDED
CPLX1,0.5067917946024774,-0.07387941962993433,-0.08570017430397886,DEPTH-CONFOUNDED
FAM198B,-0.1109233645624004,-0.04994588857458031,-0.050256020348353254,DEPTH-CONFOUNDED
MYRIP,0.18529614774567285,0.03654132320316853,0.037185270770290005,DEPTH-CONFOUNDED
GLDN,0.7823726390696579,0.10030160173941002,0.16104671376090327,DEPTH-CONFOUNDED
NOX4,-0.6230360643777756,0.3966974548028366,0.5071605072422402,PC2-GENUINE
BEX4,-0.5261687208267043,-0.10816369779903295,-0.12719451646111313,DEPTH-CONFOUNDED
GHR,-0.7813179843327601,0.14890597299942246,0.23858045270796163,MIXED
RGS1,-0.5756899028309448,0.0753520868290347,0.0921548560337945,DEPTH-CONFOUNDED
FAM213A,-0.5939800481003787,-0.08914821545181945,-0.11081473845619219,DEPTH-CONFOUNDED
TNFRSF11B,-0.7717779440978202,-0.10670312227026939,-0.16780066414947176,DEPTH-CONFOUNDED
DDIT4L,-0.7143775226522715,-0.3803846707461741,-0.5435926600783303,PC2-GENUINE
RASSF6,0.5401939457620167,0.12921809066991286,0.15354945205587395,DEPTH-CONFOUNDED
KLF4,-0.36458701451507536,-0.3427559696194638,-0.3680919903662747,MIXED
BEX2,-0.6847280497059269,-0.05220232891284683,-0.07162791485648298,DEPTH-CONFOUNDED
LRRTM1,0.7347841305780239,0.024780269040343278,0.036532849136080216,DEPTH-CONFOUNDED
ARL6,0.6078942693494211,-0.16207873661836553,-0.20412476806951257,MIXED
C1QB,-0.6780864431600299,-0.1898734179683549,-0.2583374512839023,MIXED
LPCAT2,0.5772823071536908,-0.04295095344241196,-0.05260086430212132,DEPTH-CONFOUNDED
PLCB4,-0.0450062134714749,-0.021244957385051663,-0.02126650658745748,DEPTH-CONFOUNDED
MACC1,0.37893891076875147,-0.3046134586070497,-0.32916178897526216,MIXED
