gene,loading,n_mean,t_mean,expr_delta,pc1_shift,direction,abs_gap
GLP1R,0.0163801040583451,0.116120103058023,0.8929924242424241,-0.776872321184401,-0.0127252494610486,restore_normal,0.7768723211844011
C11orf16,0.0164634891551533,0.1058303567319003,0.8518851981351981,-0.7460548414032978,-0.0122826657905928,restore_normal,0.7460548414032978
UBE2NL,0.0160583384052384,0.1771028792664768,0.9054079254079254,-0.7283050461414485,-0.0116953688931822,restore_normal,0.7283050461414485
PRB1,0.0160890673774362,0.2031274920228508,0.9159965034965034,-0.7128690114736526,-0.0114693975568859,restore_normal,0.7128690114736527
ZNF169,0.0163481651867226,0.1055541937700632,0.7921357808857808,-0.6865815871157176,-0.0112243492003299,restore_normal,0.6865815871157177
NNAT,0.0165482103083722,0.084679806172135,0.7586844405594405,-0.6740046343873054,-0.0111535704386586,restore_normal,0.6740046343873055
PDXDC1,-0.0164219908999205,0.931060947453039,0.2524358974358974,0.6786250500171416,-0.0111443743958396,restore_normal,0.6786250500171416
TMEM95,0.016070868404598,0.1644395229873553,0.8550116550116551,-0.6905721320242998,-0.0110980938576451,restore_normal,0.6905721320242998
NOVA2,0.0164379711238227,0.100850860226218,0.767333916083916,-0.666483055857698,-0.0109556292267059,restore_normal,0.666483055857698
C4orf17,0.0164419915810289,0.0875067301341958,0.7393560606060606,-0.6518493304718648,-0.0107177012037177,restore_normal,0.6518493304718649
HR,0.0160258765766157,0.1568450415368361,0.8037077505827506,-0.6468627090459145,-0.0103665419371851,restore_normal,0.6468627090459145
AKR1E2,0.0159047242817257,0.2063397596525913,0.8521794871794871,-0.6458397275268958,-0.0102719027965001,restore_normal,0.6458397275268958
CA1,0.0165387018736192,0.1909832792960198,0.8094347319347318,-0.6184514526387119,-0.0102283841984984,restore_normal,0.618451452638712
C1orf94,0.0161009270504505,0.1368826339524164,0.7714918414918414,-0.634609207539425,-0.0102177965561365,restore_normal,0.634609207539425
WNT10B,0.0163053704930488,0.1084672848578135,0.7302666083916084,-0.6217993235337949,-0.0101386683425457,restore_normal,0.6217993235337949
MYL10,0.0161007459210915,0.1874070759801376,0.8161378205128205,-0.6287307445326829,-0.0101230339704994,restore_normal,0.6287307445326829
ZNF574,0.0159868126313401,0.1970155132938212,0.8282124125874126,-0.6311968992935914,-0.0100908265624895,restore_normal,0.6311968992935915
DEFB118,0.016196036390082,0.1240581826122232,0.7467176573426573,-0.622659474730434,-0.0100846155113635,restore_normal,0.622659474730434
SIRT3,0.015860254379538,0.228820816264928,0.8558158508158508,-0.6269950345509228,-0.0099443007426849,restore_normal,0.6269950345509228
PAK3,0.0160240066891066,0.1549498999712062,0.7687835081585083,-0.613833608187302,-0.0098360738435918,restore_normal,0.613833608187302
DGKK,0.0163598116086579,0.1001802552045478,0.7011582167832168,-0.6009779615786689,-0.0098318862323822,restore_normal,0.600977961578669
SPATA8,0.0163897504734236,0.0950129036608718,0.6939685314685313,-0.5989556278076595,-0.0098167332844203,restore_normal,0.5989556278076595
SPRR4,0.0157446998334254,0.206743300104578,0.8218560606060605,-0.6151127605014826,-0.0096847657778055,restore_normal,0.6151127605014826
BTNL3,0.0160632710088312,0.1463305114045669,0.7487849650349649,-0.602454453630398,-0.0096773891591424,restore_normal,0.6024544536303981
RABEP2,0.0158922658161748,0.2545703364585418,0.8570687645687645,-0.6024984281102226,-0.0095750651733551,restore_normal,0.6024984281102226
MAP3K19,0.0158456848585894,0.2055567627278478,0.8062208624708624,-0.6006640997430146,-0.0095179340303961,restore_normal,0.6006640997430146
SLC4A8,0.0158749395573341,0.1955736857372534,0.7947465034965037,-0.5991728177592502,-0.0095118322663257,restore_normal,0.5991728177592502
PPP1R1C,0.015933423181718,0.1645492388927363,0.7603758741258742,-0.5958266352331378,-0.0094935579221087,restore_normal,0.5958266352331378
KLF14,0.0161568970837162,0.1051811596917678,0.6685343822843823,-0.5633532225926146,-0.0091020400392087,restore_normal,0.5633532225926146
PRB4,0.015886791957899,0.1525757548186689,0.7206351981351983,-0.5680594433165294,-0.0090246421956896,restore_normal,0.5680594433165294
RELT,0.0157957602188013,0.2327807576498746,0.7789714452214452,-0.5461906875715706,-0.0086274971346227,restore_normal,0.5461906875715706
SPRED3,0.0157972171953477,0.2160177729062726,0.7548921911421911,-0.5388744182359184,-0.0085127162258894,restore_normal,0.5388744182359184
C1orf194,0.0162876336448877,0.1912107390998585,0.7071314102564104,-0.5159206711565518,-0.0084031268816225,restore_normal,0.5159206711565518
