gene,raw_r,raw_p,clean_r,clean_p,delta_r,depth_confounded
SLC2A2,0.6827,1.1734783195888468e-12,0.9756,3.950525570354576e-55,0.2929,True
TM6SF2,0.8838,1.871798128570884e-28,0.9701,1.4073523410003427e-51,0.0863,False
ABCC2,0.8475,5.497182904988057e-24,0.9677,2.963589815461414e-50,0.1203,False
PRAP1,0.7942,3.3372082780253045e-19,0.965,7.261880100957551e-49,0.1709,False
SLC1A1,0.4566,1.433842951613653e-05,0.9644,1.5034659119883933e-48,0.5078,True
GPD1,0.8447,1.0781756289740447e-23,0.962,1.9281800999097553e-47,0.1174,False
SLC5A12,0.6602,1.1256610311683456e-11,0.962,1.9384449307748452e-47,0.3018,True
DAO,0.8173,4.32901997429621e-21,0.9613,3.9095883525385337e-47,0.144,False
CALB1,0.721,1.5182337258857398e-14,0.9598,1.903372623574536e-46,0.2388,True
METTL7B,0.8086,2.365238629324001e-20,0.9592,3.482133091864336e-46,0.1505,False
SLC51B,0.9582,8.701459374894624e-46,0.9583,7.654441469395714e-46,0.0001,False
HSD17B14,0.9537,5.202219662293711e-44,0.9576,1.5815107707063578e-45,0.0039,False
RDH5,0.9555,1.061618693606502e-44,0.9565,4.2428686690995563e-45,0.001,False
UPP2,0.7372,1.9317220537067613e-15,0.9548,1.9324205574504615e-44,0.2177,True
APOH,0.9353,2.657334681958249e-38,0.9545,2.4268873495017647e-44,0.0192,False
PROZ,0.9434,1.3916452806824098e-40,0.9543,3.1293479147861e-44,0.0108,False
PLA2G12B,0.9167,5.264878402201604e-34,0.9527,1.1819223444495433e-43,0.036,False
PPP1R16B,0.5455,9.638194290345157e-08,0.9518,2.41625258133351e-43,0.4063,True
MAPT,0.9444,7.104281977138531e-41,0.9516,2.902156709408789e-43,0.0072,False
NECAB2,0.9474,8.006519145274681e-42,0.9514,3.563668759012929e-43,0.004,False
SLC17A3,0.6279,2.1083652378254192e-10,0.951,4.600142307238821e-43,0.3232,True
XYLB,0.6789,1.7411490206578318e-12,0.9506,6.625600891898212e-43,0.2717,True
LPA,0.7301,4.830248752497182e-15,0.9505,6.960608318882244e-43,0.2204,True
PKLR,0.8552,7.843283564438315e-25,0.9504,7.478528608516363e-43,0.0952,False
CALML4,0.4015,0.0001683609722384346,0.9497,1.3659896840259483e-42,0.5481,True
TM4SF5,0.5693,1.9511865342041688e-08,0.9495,1.613625654050124e-42,0.3801,True
FCAMR,0.8741,4.032124035917332e-27,0.9493,1.804725109395287e-42,0.0752,False
ERICH4,0.6754,2.4984071651534626e-12,0.9486,3.112476244355686e-42,0.2732,True
DPEP1,0.7319,3.819599467412492e-15,0.948,4.793098790829901e-42,0.2161,True
MYOM3,0.7038,1.1632479054021418e-13,0.9474,7.578582155015471e-42,0.2436,True
CRYAA,0.5333,2.0951184618638732e-07,0.9472,8.924404038458974e-42,0.4139,True
FAM151A,0.7152,3.048498480324935e-14,0.9466,1.441469436146509e-41,0.2313,True
FUT6,0.8272,5.604169331109086e-22,0.9448,5.107295548684232e-41,0.1176,False
SLC51A,0.6163,5.551506308386313e-10,0.9447,5.598776506445705e-41,0.3284,True
SLC17A1,0.8615,1.465284623683224e-25,0.9445,6.255137282446484e-41,0.083,False
DNAJC12,0.5257,3.3420669483311746e-07,0.9437,1.1536466807791031e-40,0.418,True
COLEC11,0.7542,1.8595404685066702e-16,0.9436,1.2276270631609133e-40,0.1894,False
KHK,0.7438,7.974565948209108e-16,0.9433,1.5048641058930335e-40,0.1995,False
ETNK2,0.7384,1.6362729953129785e-15,0.9433,1.538441650620845e-40,0.2049,True
SLC22A8,0.9352,2.781050843196769e-38,0.9432,1.6437717454660882e-40,0.0079,False
ASPDH,0.8885,3.960466673839561e-29,0.942,3.761875865611919e-40,0.0535,False
RNF186,0.693,3.905276232457734e-13,0.9415,4.990550580089068e-40,0.2486,True
PRODH2,0.909,1.5690966848792075e-32,0.9405,9.69969726303586e-40,0.0315,False
FAM132A,0.9051,7.983508205548538e-32,0.9402,1.1829188957093695e-39,0.0351,False
CRYM,0.9226,2.92235161609358e-35,0.9402,1.2374201194700423e-39,0.0176,False
CTSV,0.6897,5.563714115252701e-13,0.9394,2.0392161074866472e-39,0.2497,True
CYP2J2,0.572,1.6201231677892543e-08,0.9387,3.1457488632663565e-39,0.3668,True
HNF1A,0.8444,1.1485537880755745e-23,0.9387,3.2182668089871665e-39,0.0943,False
LRRC43,0.7019,1.4488226569366564e-13,0.9384,4.026678344485635e-39,0.2365,True
FGFR4,0.4284,5.331223892844906e-05,0.937,9.369854813898419e-39,0.5086,True
PKM,-0.6804,1.4857861392978894e-12,-0.9354,2.568734896523659e-38,-0.2549,True
CD9,-0.6311,1.599616079042753e-10,-0.9327,1.2680226125639849e-37,-0.3016,True
RNF24,-0.8053,4.433644753913121e-20,-0.9283,1.4826170816995761e-36,-0.123,False
APMAP,-0.5025,1.292669628475673e-06,-0.9277,2.0808200850290113e-36,-0.4252,True
SULT2B1,-0.9142,1.6509116024674446e-33,-0.9209,6.966126489636854e-35,-0.0067,False
OLFM1,-0.8916,1.3481578375087927e-29,-0.9186,2.134628368828631e-34,-0.027,False
NUDT3,-0.4963,1.8295543140981765e-06,-0.9172,4.0672635339793965e-34,-0.4209,True
NUP93,-0.8777,1.331223280949762e-27,-0.9098,1.1469901368805922e-32,-0.0321,False
ABCA4,-0.8883,4.258791462809446e-29,-0.9073,3.277650452635926e-32,-0.019,False
MNS1,-0.1617,0.14417702779408867,-0.9028,2.0110153898634077e-31,-0.7411,True
PRR5L,-0.4426,2.7975481512546726e-05,-0.9002,5.650156772949046e-31,-0.4576,True
SERP2,-0.2851,0.008986691813084983,-0.8997,6.6755038444381425e-31,-0.6146,True
HOXD11,-0.499,1.577366336102613e-06,-0.8955,3.265054661989737e-30,-0.3965,True
KLHL14,-0.5168,5.695083540350625e-07,-0.8904,2.028813088055768e-29,-0.3736,True
SAMSN1,-0.5628,3.055099649658776e-08,-0.8895,2.8121329541041905e-29,-0.3266,True
ELF5,-0.303,0.005369204287388084,-0.8886,3.7473987209672557e-29,-0.5857,True
PFKFB4,-0.8501,2.8394168157735522e-24,-0.8883,4.182631818569505e-29,-0.0382,False
RASAL1,-0.8514,2.0700788557939012e-24,-0.8863,8.249545644257629e-29,-0.0349,False
TFF3,-0.5862,5.804216603223029e-09,-0.8859,9.508482484722176e-29,-0.2997,True
SCRN1,-0.656,1.679502379584924e-11,-0.8853,1.1484771429015487e-28,-0.2293,True
KLRG2,-0.8183,3.541879252753554e-21,-0.8847,1.4166694682337002e-28,-0.0664,False
S100A11,-0.653,2.2380522355126743e-11,-0.8828,2.6686319378489054e-28,-0.2298,True
PPL,-0.7958,2.4948514575549577e-19,-0.8825,2.8844683660826873e-28,-0.0867,False
CCNO,-0.4814,4.079527534248817e-06,-0.8816,3.837088611749385e-28,-0.4002,True
TPD52L1,-0.6377,8.982510738164322e-11,-0.88,6.516081301257825e-28,-0.2423,True
PROSER2,-0.6959,2.8225466608369957e-13,-0.8794,7.868997200387043e-28,-0.1835,False
SCIN,-0.6809,1.4187111041746925e-12,-0.8792,8.325012943377873e-28,-0.1983,False
LIMA1,-0.4566,1.4339829906755294e-05,-0.8772,1.5528459765800391e-27,-0.4206,True
ABCA13,-0.7087,6.568953690266554e-14,-0.8765,1.9552890940366348e-27,-0.1677,False
COL26A1,-0.5785,1.0193895705459951e-08,-0.8765,1.910498321323556e-27,-0.2981,True
LAPTM4B,-0.6971,2.4802401758934906e-13,-0.8759,2.3355873424806892e-27,-0.1788,False
TFAP2C,-0.8672,2.992276331193989e-26,-0.8757,2.4908473881061342e-27,-0.0084,False
MFSD6L,-0.4289,5.216431655591054e-05,-0.8725,6.554449879524384e-27,-0.4435,True
SH3GL3,-0.871,1.0119441264432095e-26,-0.871,9.939098475961333e-27,-0.0001,False
WDR1,-0.66,1.1446426212623749e-11,-0.8709,1.0384003252351315e-26,-0.2109,True
SLC14A1,-0.3323,0.0021463767945864233,-0.8684,2.147337108457158e-26,-0.5361,True
CD82,-0.7555,1.5447130099452442e-16,-0.8676,2.6634894698529265e-26,-0.1122,False
RHOJ,-0.8664,3.815406815261298e-26,-0.8666,3.5800406001551927e-26,-0.0002,False
LGI2,-0.8612,1.5767492606399745e-25,-0.8656,4.795834524501522e-26,-0.0043,False
