gene,r_pc1,r_pc2,r_depth,clean_r,dominant
TM6SF2,0.4122,0.8838,0.4122,0.9701,PC2
ABCC2,-0.4828,0.8475,-0.4828,0.9677,PC2
PRAP1,-0.5681,0.7942,-0.5681,0.965,PC2
GPD1,-0.4786,0.8447,-0.4786,0.962,PC2
DAO,-0.5265,0.8173,-0.5265,0.9613,PC2
METTL7B,-0.5378,0.8086,-0.5378,0.9592,PC2
SLC51B,-0.0168,0.9582,-0.0168,0.9583,PC2
HSD17B14,0.0903,0.9537,0.0903,0.9576,PC2
RDH5,-0.0461,0.9555,-0.0461,0.9565,PC2
APOH,-0.1997,0.9353,-0.1997,0.9545,PC2
PROZ,-0.1503,0.9434,-0.1503,0.9543,PC2
PLA2G12B,-0.2724,0.9167,-0.2724,0.9527,PC2
MAPT,-0.1231,0.9444,-0.1231,0.9516,PC2
NECAB2,0.0915,0.9474,0.0915,0.9514,PC2
PKLR,-0.4363,0.8552,-0.4363,0.9504,PC2
FCAMR,-0.3902,0.8741,-0.3902,0.9493,PC2
FUT6,0.4832,0.8272,0.4832,0.9448,PC2
SLC17A1,-0.41,0.8615,-0.41,0.9445,PC2
COLEC11,-0.601,0.7542,-0.601,0.9436,PC2
KHK,-0.6151,0.7438,-0.6151,0.9433,PC2
SLC22A8,-0.1294,0.9352,-0.1294,0.9432,PC2
ASPDH,0.3322,0.8885,0.3322,0.942,PC2
PRODH2,-0.2567,0.909,-0.2567,0.9405,PC2
FAM132A,-0.2708,0.9051,-0.2708,0.9402,PC2
CRYM,-0.1923,0.9226,-0.1923,0.9402,PC2
HNF1A,-0.4368,0.8444,-0.4368,0.9387,PC2
GLTPD2,-0.5815,0.7621,-0.5815,0.9367,PC2
ENPP3,0.278,0.8997,0.278,0.9367,PC2
GGTLC2,-0.1294,0.9275,-0.1294,0.9354,PC2
RAB3IL1,0.1084,0.927,0.1084,0.9325,PC2
CSDC2,-0.4138,0.8481,-0.4138,0.9317,PC2
ASPG,-0.129,0.9225,-0.129,0.9303,PC2
SLC34A1,-0.4526,0.8289,-0.4526,0.9296,PC2
MIOX,-0.4258,0.8409,-0.4258,0.9294,PC2
PDZD3,-0.4254,0.841,-0.4254,0.9293,PC2
SLC10A2,-0.4076,0.8481,-0.4076,0.9287,PC2
RNF24,-0.4975,-0.8053,-0.4975,-0.9283,PC2
CYP3A7,0.4808,0.8129,0.4808,0.9271,PC2
CTXN3,-0.4436,0.8304,-0.4436,0.9266,PC2
SLC23A1,-0.3356,0.8724,-0.3356,0.9262,PC2
GSTA3,-0.3795,0.8567,-0.3795,0.9259,PC2
DNMT3L,-0.5971,0.7417,-0.5971,0.9246,PC2
NPHS2,0.092,0.9204,0.092,0.9244,PC2
USH1C,0.0194,0.9236,0.0194,0.9238,PC2
CIDEB,0.3742,0.8563,0.3742,0.9234,PC2
GSS,0.4672,0.815,0.4672,0.9218,PC2
SLC6A13,0.2347,0.8959,0.2347,0.9217,PC2
HDAC6,0.1581,0.91,0.1581,0.9216,PC2
