gene,n_types,coverage,ccRCC,PRCC,chRCC,cdRCC
MTOR,3,3/4,0.1994,0.0926,,0.0538
UMOD,3,3/4,0.6809,0.0010,,0.8078
OGDHL,3,3/4,,0.4019,0.0010,0.0010
SETD2,2,2/4,0.3018,,,0.0506
CD274,2,2/4,0.0962,0.3193,,
HNF4A,2,2/4,0.1285,,,0.4966
PAX8,2,2/4,0.4461,,,0.1283
CPT1A,2,2/4,0.3974,0.4137,,
SLC34A1,2,2/4,0.6139,0.6371,,
SLC22A6,2,2/4,0.5639,0.8006,,
FBP1,2,2/4,0.6780,0.2540,,
HIF1A,2,2/4,0.2217,0.0189,,
PTEN,2,2/4,0.3033,,,0.0433
SLC13A2,2,2/4,0.0010,0.4019,,
SUCLG1,2,2/4,0.0010,0.5192,,
CUBN,2,2/4,,0.5863,,0.6151
LRP2,2,2/4,,0.4521,,0.7016
EPAS1,2,2/4,,0.0815,,0.0010
FOXI1,2,2/4,,,0.0010,0.3689
CALB1,2,2/4,,,0.0010,0.6976
ATP6V1G3,2,2/4,,,0.0010,0.3735
PLIN2,1,1/4,0.0240,,,
VHL,1,1/4,0.0967,,,
LHX1,1,1/4,0.2982,,,
EGLN2,1,1/4,0.0779,,,
HMGCR,1,1/4,0.2654,,,
PAX2,1,1/4,0.4038,,,
BAP1,1,1/4,0.2345,,,
CDH1,1,1/4,0.2415,,,
HNF1A,1,1/4,0.2570,,,
AQP1,1,1/4,0.3363,,,
GATM,1,1/4,0.3292,,,
SLC13A3,1,1/4,0.4980,,,
PCK2,1,1/4,0.5399,,,
AGXT,1,1/4,0.4717,,,
PCK1,1,1/4,0.5347,,,
ALDOB,1,1/4,0.5442,,,
G6PC,1,1/4,0.5490,,,
PDCD1,1,1/4,0.0073,,,
SNAI1,1,1/4,0.0100,,,
SIX2,1,1/4,0.0152,,,
TWIST1,1,1/4,0.0512,,,
WNT5A,1,1/4,0.0550,,,
KDM5C,1,1/4,0.1057,,,
WT1,1,1/4,0.1457,,,
PBRM1,1,1/4,0.1928,,,
FABP1,1,1/4,,0.6710,,
SLC5A2,1,1/4,,0.6613,,
GPX3,1,1/4,,0.5251,,
GOT1,1,1/4,,0.5193,,
LDHB,1,1/4,,0.5064,,
SLC16A1,1,1/4,,0.4878,,
ACADM,1,1/4,,0.4690,,
FH,1,1/4,,0.4513,,
MIOX,1,1/4,,0.4288,,
ATP5A1,1,1/4,,0.4022,,
HAVCR2,1,1/4,,0.3961,,
ACAT1,1,1/4,,0.3939,,
LDHD,1,1/4,,0.3308,,
HMOX1,1,1/4,,0.2973,,
MYC,1,1/4,,0.2735,,
CDK4,1,1/4,,0.2229,,
B2M,1,1/4,,0.2218,,
VEGFA,1,1/4,,0.1838,,
SLC2A9,1,1/4,,0.1698,,
FN1,1,1/4,,0.1542,,
FGFR3,1,1/4,,0.1006,,
TIGIT,1,1/4,,0.0369,,
CD8A,1,1/4,,0.0334,,
MKI67,1,1/4,,0.0241,,
ACTA2,1,1/4,,0.0123,,
FOXP3,1,1/4,,0.0026,,
SLC34A2,1,1/4,,0.0010,,
PDZK1,1,1/4,,0.0010,,
SLC7A9,1,1/4,,0.0010,,
SLC51B,1,1/4,,,0.0010,
SLC2A2,1,1/4,,,0.0010,
SLC1A1,1,1/4,,,0.0010,
SLC5A12,1,1/4,,,0.0010,
HSD17B14,1,1/4,,,0.0010,
SULT2B1,1,1/4,,,0.0010,
RDH5,1,1/4,,,0.0010,
AQP2,1,1/4,,,,0.6950
ATP6V0A4,1,1/4,,,,0.5251
SCNN1G,1,1/4,,,,0.4348
TFCP2L1,1,1/4,,,,0.4029
CASR,1,1/4,,,,0.3881
SCNN1B,1,1/4,,,,0.3201
AVPR1A,1,1/4,,,,0.3053
SCNN1A,1,1/4,,,,0.2455
CYP27B1,1,1/4,,,,0.2095
AQP3,1,1/4,,,,0.2049
MYCN,1,1/4,,,,0.2025
LLGL2,1,1/4,,,,0.1909
CYP24A1,1,1/4,,,,0.1721
HNF1B,1,1/4,,,,0.1615
AQP4,1,1/4,,,,0.1291
AVPR2,1,1/4,,,,0.1251
GC,1,1/4,,,,0.1144
PARD6B,1,1/4,,,,0.1103
PARD6A,1,1/4,,,,0.0872
ESRP2,1,1/4,,,,0.0865
PRKCZ,1,1/4,,,,0.0847
KLF2,1,1/4,,,,0.0800
VDR,1,1/4,,,,0.0779
PRKAR1A,1,1/4,,,,0.0643
CDS2,1,1/4,,,,0.0561
PRKACB,1,1/4,,,,0.0547
RXRA,1,1/4,,,,0.0546
ADCY6,1,1/4,,,,0.0491
CYP2R1,1,1/4,,,,0.0417
PRKAR2A,1,1/4,,,,0.0393
ESRP1,1,1/4,,,,0.0295
DLG1,1,1/4,,,,0.0291
BMI1,1,1/4,,,,0.0255
PRKACA,1,1/4,,,,0.0108
TET2,1,1/4,,,,0.0101
CDC42,1,1/4,,,,0.0074
PARD3,1,1/4,,,,0.0063
ASXL1,1,1/4,,,,0.0036
PPARG,1,1/4,,,,0.0021
PRKAR2B,1,1/4,,,,0.0010
