rcc_type,gene_a,gene_b,r,n,method,low_power
ccRCC,EZH2,DNMT3A,0.276713069963176,534,approx_depth_corr,False
ccRCC,EZH2,DNMT3B,0.2239432819562166,534,approx_depth_corr,False
ccRCC,EZH2,KDM1A,0.11952598454209752,534,approx_depth_corr,False
ccRCC,EZH2,HDAC1,0.33812053423986344,534,approx_depth_corr,False
ccRCC,EZH2,HDAC2,0.21925002818171108,534,approx_depth_corr,False
ccRCC,EZH2,SETD2,-0.0756196494094945,534,approx_depth_corr,False
ccRCC,EZH2,PBRM1,0.10741305860943504,534,approx_depth_corr,False
ccRCC,EZH2,KDM5C,0.14360349957663837,534,approx_depth_corr,False
ccRCC,EZH2,KDM6A,0.16184972526077748,534,approx_depth_corr,False
ccRCC,DNMT3A,DNMT3B,0.2037222551435775,534,approx_depth_corr,False
ccRCC,DNMT3A,KDM1A,0.1087333493841231,534,approx_depth_corr,False
ccRCC,DNMT3A,HDAC1,0.3075898376766824,534,approx_depth_corr,False
ccRCC,DNMT3A,HDAC2,0.1994527801472688,534,approx_depth_corr,False
ccRCC,DNMT3A,SETD2,-0.06879155014742012,534,approx_depth_corr,False
ccRCC,DNMT3A,PBRM1,0.09771416378572868,534,approx_depth_corr,False
ccRCC,DNMT3A,KDM5C,0.13063677786941724,534,approx_depth_corr,False
ccRCC,DNMT3A,KDM6A,0.1472354550512504,534,approx_depth_corr,False
ccRCC,DNMT3B,KDM1A,0.08799766170211229,534,approx_depth_corr,False
ccRCC,DNMT3B,HDAC1,0.24893178249535827,534,approx_depth_corr,False
ccRCC,DNMT3B,HDAC2,0.16141669848632417,534,approx_depth_corr,False
ccRCC,DNMT3B,SETD2,-0.055672850989362435,534,approx_depth_corr,False
ccRCC,DNMT3B,PBRM1,0.07907985891196034,534,approx_depth_corr,False
ccRCC,DNMT3B,KDM5C,0.10572405844131515,534,approx_depth_corr,False
ccRCC,DNMT3B,KDM6A,0.11915733155966171,534,approx_depth_corr,False
ccRCC,KDM1A,HDAC1,0.1328631791347694,534,approx_depth_corr,False
ccRCC,KDM1A,HDAC2,0.08615346546490682,534,approx_depth_corr,False
ccRCC,KDM1A,SETD2,-0.029714453894937706,534,approx_depth_corr,False
ccRCC,KDM1A,PBRM1,0.04220755323104631,534,approx_depth_corr,False
ccRCC,KDM1A,KDM5C,0.056428449492202576,534,approx_depth_corr,False
ccRCC,KDM1A,KDM6A,0.06359823454254038,534,approx_depth_corr,False
ccRCC,HDAC1,HDAC2,0.24371483641157646,534,approx_depth_corr,False
ccRCC,HDAC1,SETD2,-0.08405759688232069,534,approx_depth_corr,False
ccRCC,HDAC1,PBRM1,0.1193986437519154,534,approx_depth_corr,False
ccRCC,HDAC1,KDM5C,0.15962736104391398,534,approx_depth_corr,False
ccRCC,HDAC1,KDM6A,0.17990957466375976,534,approx_depth_corr,False
ccRCC,HDAC2,SETD2,-0.05450609655153834,534,approx_depth_corr,False
ccRCC,HDAC2,PBRM1,0.07742255603114212,534,approx_depth_corr,False
ccRCC,HDAC2,KDM5C,0.10350836421730732,534,approx_depth_corr,False
ccRCC,HDAC2,KDM6A,0.11666011176714422,534,approx_depth_corr,False
ccRCC,SETD2,PBRM1,-0.026703150699755686,534,approx_depth_corr,False
ccRCC,SETD2,KDM5C,-0.03570018338413132,534,approx_depth_corr,False
ccRCC,SETD2,KDM6A,-0.040236239990776745,534,approx_depth_corr,False
ccRCC,PBRM1,KDM5C,0.05070991362895436,534,approx_depth_corr,False
ccRCC,PBRM1,KDM6A,0.05715310290515517,534,approx_depth_corr,False
ccRCC,KDM5C,KDM6A,0.07640956970313005,534,approx_depth_corr,False
PRCC,EZH2,DNMT3A,0.19488859225611677,290,approx_depth_corr,False
PRCC,EZH2,DNMT3B,,290,unavailable,False
PRCC,EZH2,KDM1A,0.36897231710559214,290,approx_depth_corr,False
PRCC,EZH2,HDAC1,0.3184958219076474,290,approx_depth_corr,False
PRCC,EZH2,HDAC2,,290,unavailable,False
PRCC,EZH2,SETD2,0.3075017912117851,290,approx_depth_corr,False
PRCC,EZH2,PBRM1,0.2714411544024401,290,approx_depth_corr,False
PRCC,EZH2,KDM5C,,290,unavailable,False
PRCC,EZH2,KDM6A,,290,unavailable,False
PRCC,DNMT3A,DNMT3B,,290,unavailable,False
PRCC,DNMT3A,KDM1A,0.2338126271643185,290,approx_depth_corr,False
PRCC,DNMT3A,HDAC1,0.20182637398180384,290,approx_depth_corr,False
PRCC,DNMT3A,HDAC2,,290,unavailable,False
PRCC,DNMT3A,SETD2,0.19485960959067178,290,approx_depth_corr,False
PRCC,DNMT3A,PBRM1,0.17200848543113656,290,approx_depth_corr,False
PRCC,DNMT3A,KDM5C,,290,unavailable,False
PRCC,DNMT3A,KDM6A,,290,unavailable,False
PRCC,DNMT3B,KDM1A,,290,unavailable,False
PRCC,DNMT3B,HDAC1,,290,unavailable,False
PRCC,DNMT3B,HDAC2,,290,unavailable,False
PRCC,DNMT3B,SETD2,,290,unavailable,False
PRCC,DNMT3B,PBRM1,,290,unavailable,False
PRCC,DNMT3B,KDM5C,,290,unavailable,False
PRCC,DNMT3B,KDM6A,,290,unavailable,False
PRCC,KDM1A,HDAC1,0.3821072541958838,290,approx_depth_corr,False
PRCC,KDM1A,HDAC2,,290,unavailable,False
PRCC,KDM1A,SETD2,0.3689174457501099,290,approx_depth_corr,False
PRCC,KDM1A,PBRM1,0.3256546147552051,290,approx_depth_corr,False
PRCC,KDM1A,KDM5C,,290,unavailable,False
PRCC,KDM1A,KDM6A,,290,unavailable,False
PRCC,HDAC1,HDAC2,,290,unavailable,False
PRCC,HDAC1,SETD2,0.3184484571145361,290,approx_depth_corr,False
PRCC,HDAC1,PBRM1,0.2811041082922081,290,approx_depth_corr,False
PRCC,HDAC1,KDM5C,,290,unavailable,False
PRCC,HDAC1,KDM6A,,290,unavailable,False
PRCC,HDAC2,SETD2,,290,unavailable,False
PRCC,HDAC2,PBRM1,,290,unavailable,False
PRCC,HDAC2,KDM5C,,290,unavailable,False
PRCC,HDAC2,KDM6A,,290,unavailable,False
PRCC,SETD2,PBRM1,0.2714007872979577,290,approx_depth_corr,False
PRCC,SETD2,KDM5C,,290,unavailable,False
PRCC,SETD2,KDM6A,,290,unavailable,False
PRCC,PBRM1,KDM5C,,290,unavailable,False
PRCC,PBRM1,KDM6A,,290,unavailable,False
PRCC,KDM5C,KDM6A,,290,unavailable,False
chRCC,EZH2,DNMT3A,0.38862855016069003,150,approx_depth_corr,False
chRCC,EZH2,DNMT3B,-0.2827864034921057,150,approx_depth_corr,False
chRCC,EZH2,KDM1A,0.2799299019397535,150,approx_depth_corr,False
chRCC,EZH2,HDAC1,0.2709848704263764,150,approx_depth_corr,False
chRCC,EZH2,HDAC2,0.1493762029240267,150,approx_depth_corr,False
chRCC,EZH2,SETD2,-0.07695453203028396,150,approx_depth_corr,False
chRCC,EZH2,PBRM1,,150,unavailable,False
