gene_a,gene_b,r_tumour_only,p_tumour_only,n
MYC,BHLHE40,0.0,1.0,7
MYC,MKI67,0.5357142857142858,0.21521745567801284,7
MYC,RUNX1,0.642857142857143,0.11939237342741099,7
MYC,KDM1A,-0.5,0.25316999510032256,7
MKI67,BHLHE40,0.6785714285714287,0.0937502539598313,7
RUNX1,BHLHE40,0.6071428571428572,0.14823116148116158,7
EZH2,DNMT3A,0.6071428571428572,0.14823116148116158,7
EZH2,DNMT3B,1.0,0.0,7
DNMT3A,DNMT3B,0.6071428571428572,0.14823116148116158,7
MYC,IL1RAP,0.5357142857142858,0.21521745567801284,7
IL1RAP,BHLHE40,0.6785714285714287,0.0937502539598313,7
