gene,r_ccRCC,r_PRCC,r_chRCC,r_cdRCC
EZH2,0.3041790058924125,0.3075475278401051,-0.2115,0.1428571428571428
DNMT3A,0.2517271790793091,0.1234981911846733,-0.7141,0.1071428571428571
DNMT3B,0.1648719752574236,,0.3781,-0.0357142857142857
KDM1A,0.0469672814494332,0.4426651442994188,-0.3705,0.8214285714285715
HDAC1,0.375849396112128,0.3298338610784302,-0.3472,0.6071428571428572
HDAC2,0.1580338350986773,,-0.1055,0.4642857142857144
SETD2,-0.0187992309332401,0.3074560613851429,0.028,0.2857142857142857
PBRM1,0.0379301823476757,0.2395737036834059,,0.5714285714285715
KDM5C,0.0677954911127283,,-0.2041,0.2857142857142857
KDM6A,0.0861181510214232,,-0.0812,0.4285714285714286
