gene,r_ccRCC,lp_ccRCC,r_PRCC,lp_PRCC,r_chRCC,lp_chRCC,r_cdRCC,lp_cdRCC
B2M,-0.0917590762678456,False,-0.2217964781587332,False,-0.4967,False,0.1071428571428571,True
HLA-A,-0.076482995468525,False,-0.236600604209398,False,-0.0528,False,0.2142857142857143,True
HLA-B,-0.0286776003533179,False,,False,,False,0.1428571428571428,True
HLA-C,-0.0590064037919539,False,,False,,False,0.3928571428571429,True
TAP1,0.052886198120475,False,,False,-0.4468,False,0.5357142857142858,True
TAP2,0.1299420301903111,False,,False,,False,0.3214285714285715,True
TAPBP,0.0802253880942354,False,,False,-0.4735,False,0.0,True
CD274,-0.0962368038636369,False,-0.3192672432310273,False,0.046,False,0.25,True
PDCD1LG2,0.2549318272201865,False,,False,,False,-0.4285714285714286,True
HAVCR2,-0.1095035111087474,False,-0.3960988704810479,False,,False,0.1071428571428571,True
TIGIT,0.2189098532026361,False,-0.036898908403852,False,-0.2437,False,-0.3214285714285715,True
LAG3,0.1932967794858851,False,,False,,False,0.3928571428571429,True
PDCD1,0.1293219834836163,False,,False,,False,-0.3214285714285715,True
CTLA4,0.2335617745166777,False,,False,0.0926,False,-0.3928571428571429,True
IFI16,0.5466691661604577,False,0.1654138665327873,False,-0.4304,False,0.7500000000000002,True
CGAS,,False,,False,,False,,True
STING1,,False,,False,,False,,True
TMEM173,0.4421319962614745,False,,False,,False,0.0714285714285714,True
IRF3,0.1441658555209697,False,,False,-0.3831,False,0.0,True
IRF7,0.2561564618247581,False,,False,-0.4474,False,0.6071428571428572,True
CD8A,0.1595867204970805,False,-0.0333953633052296,False,0.599,False,-0.0357142857142857,True
CD8B,0.0968372515954881,False,,False,0.3477,False,-0.0357142857142857,True
GZMB,0.1868682508500304,False,,False,-0.3299,False,0.0,True
PRF1,0.1294260977094005,False,,False,0.0064,False,0.0,True
IFNG,0.1779406029510585,False,,False,0.1642,False,-0.3928571428571429,True
ARG1,-0.0330193102178838,False,0.0759684333050068,False,-0.0808,False,0.0,True
MRC1,0.0919163092734108,False,0.0140809348385075,False,,False,0.5714285714285715,True
CD163,0.260652018142913,False,-0.1370015916645917,False,-0.1493,False,0.0,True
IL1B,0.0981514894113034,False,,False,-0.2221,False,0.4285714285714286,True
IL1RAP,0.519744766502103,False,,False,0.3111,False,0.9642857142857144,True
CSF1R,0.1970868160388415,False,-0.0850455864102381,False,-0.1352,False,0.0,True
