gene,rcc_type,r,prediction,expected,low_power,verdict
B2M,ccRCC,-0.0917590762678456,P3-5,< 0.00,False,CONFIRMED
B2M,PRCC,-0.2217964781587332,P3-5,< 0.00,False,CONFIRMED
B2M,cdRCC,0.1071428571428571,P3-5,< 0.00,True,DENIED [LOW-POWER]
B2M,chRCC,-0.4967,P3-6,< 0.15,False,CONFIRMED [P3-6]
HLA-A,ccRCC,-0.076482995468525,P3-5,< 0.00,False,CONFIRMED
HLA-A,PRCC,-0.236600604209398,P3-5,< 0.00,False,CONFIRMED
HLA-A,cdRCC,0.2142857142857143,P3-5,< 0.00,True,DENIED [LOW-POWER]
HLA-A,chRCC,-0.0528,P3-6,< 0.15,False,CONFIRMED [P3-6]
HLA-B,ccRCC,-0.0286776003533179,P3-5,< 0.00,False,CONFIRMED
HLA-B,PRCC,,P3-5,< 0.00,False,UNTESTABLE
HLA-B,cdRCC,0.1428571428571428,P3-5,< 0.00,True,DENIED [LOW-POWER]
HLA-B,chRCC,,P3-6,< 0.15,False,UNTESTABLE
TAP1,ccRCC,0.052886198120475,P3-5,< 0.00,False,DENIED
TAP1,PRCC,,P3-5,< 0.00,False,UNTESTABLE
TAP1,cdRCC,0.5357142857142858,P3-5,< 0.00,True,DENIED [LOW-POWER]
TAP1,chRCC,-0.4468,P3-6,< 0.15,False,CONFIRMED [P3-6]
