rcc_type,gene_a,gene_b,r_a_depth,r_b_depth,r_pair,method,low_power
ccRCC,MYC,RUNX1,0.3484403948622884,0.6254768447856361,0.4668419419614366,approx,False
ccRCC,MYC,BHLHE40,0.3484403948622884,0.1330859629971972,0.2153428092539226,approx,False
ccRCC,MYC,KDM1A,0.3484403948622884,0.0469672814494332,0.1279269248197921,approx,False
ccRCC,MYC,MKI67,0.3484403948622884,0.283618857860757,0.3143632720649685,approx,False
ccRCC,MYC,CCND1,0.3484403948622884,0.0791093806919868,0.16602681664606767,approx,False
ccRCC,MKI67,RUNX1,0.283618857860757,0.6254768447856361,0.42118526604862633,approx,False
ccRCC,MKI67,BHLHE40,0.283618857860757,0.1330859629971972,0.19428249746841333,approx,False
ccRCC,RUNX1,BHLHE40,0.6254768447856361,0.1330859629971972,0.28851722343864467,approx,False
ccRCC,EZH2,DNMT3A,0.3041790058924125,0.2517271790793091,0.276713069963176,approx,False
ccRCC,EZH2,DNMT3B,0.3041790058924125,0.1648719752574236,0.2239432819562166,approx,False
ccRCC,DNMT3A,DNMT3B,0.2517271790793091,0.1648719752574236,0.2037222551435775,approx,False
PRCC,MYC,RUNX1,-0.2734857262357888,0.5903641159269566,-0.401816076069429,approx,False
PRCC,MYC,BHLHE40,-0.2734857262357888,,,unavailable,False
PRCC,MYC,KDM1A,-0.2734857262357888,0.4426651442994188,-0.3479405099553612,approx,False
PRCC,MYC,MKI67,-0.2734857262357888,-0.0241007099762082,0.08118620677579055,approx,False
PRCC,MYC,CCND1,-0.2734857262357888,0.0277556782483187,-0.08712509295781742,approx,False
PRCC,MKI67,RUNX1,-0.0241007099762082,0.5903641159269566,-0.11928199502991278,approx,False
PRCC,MKI67,BHLHE40,-0.0241007099762082,,,unavailable,False
PRCC,RUNX1,BHLHE40,0.5903641159269566,,,unavailable,False
PRCC,EZH2,DNMT3A,0.3075475278401051,0.1234981911846733,0.19488859225611677,approx,False
PRCC,EZH2,DNMT3B,0.3075475278401051,,,unavailable,False
PRCC,DNMT3A,DNMT3B,0.1234981911846733,,,unavailable,False
chRCC,MYC,RUNX1,-0.3582,,,unavailable,False
chRCC,MYC,BHLHE40,-0.3582,-0.4989,0.4227363007833607,approx,False
chRCC,MYC,KDM1A,-0.3582,-0.3705,0.36429809222668186,approx,False
chRCC,MYC,MKI67,-0.3582,0.1288,-0.21479329598476765,approx,False
chRCC,MYC,CCND1,-0.3582,-0.0492,0.13275330504360333,approx,False
chRCC,MKI67,RUNX1,0.1288,,,unavailable,False
chRCC,MKI67,BHLHE40,0.1288,-0.4989,-0.2534922484021947,approx,False
chRCC,RUNX1,BHLHE40,,-0.4989,,unavailable,False
chRCC,EZH2,DNMT3A,-0.2115,-0.7141,0.38862855016069003,approx,False
chRCC,EZH2,DNMT3B,-0.2115,0.3781,-0.2827864034921057,approx,False
chRCC,DNMT3A,DNMT3B,-0.7141,0.3781,-0.5196164065924016,approx,False
cdRCC,MYC,RUNX1,-0.9642857142857144,0.7142857142857144,0.642857142857143,tumour_direct,True
cdRCC,MYC,BHLHE40,-0.9642857142857144,0.9285714285714288,0.0,tumour_direct,True
cdRCC,MYC,KDM1A,-0.9642857142857144,0.8214285714285715,-0.5,tumour_direct,True
cdRCC,MYC,MKI67,-0.9642857142857144,0.6071428571428572,0.5357142857142858,tumour_direct,True
cdRCC,MYC,CCND1,-0.9642857142857144,0.7500000000000002,0.03571428571428572,tumour_direct,True
cdRCC,MKI67,RUNX1,0.6071428571428572,0.7142857142857144,0.9285714285714288,tumour_direct,True
cdRCC,MKI67,BHLHE40,0.6071428571428572,0.9285714285714288,0.6785714285714287,tumour_direct,True
cdRCC,RUNX1,BHLHE40,0.7142857142857144,0.9285714285714288,0.6071428571428572,tumour_direct,True
cdRCC,EZH2,DNMT3A,0.1428571428571428,0.1071428571428571,0.6071428571428572,tumour_direct,True
cdRCC,EZH2,DNMT3B,0.1428571428571428,-0.0357142857142857,1.0,tumour_direct,True
cdRCC,DNMT3A,DNMT3B,0.1071428571428571,-0.0357142857142857,0.6071428571428572,tumour_direct,True
