,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,data_processing,platform_id,contact_name,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,supplementary_file,data_row_count
GSM1523727,T107,GSM1523727,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 107,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523727/suppl/GSM1523727_INT201201-10-1_107T_HG-U133_Plus_2_.CEL.gz,54675
GSM1523728,T108,GSM1523728,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 108,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523728/suppl/GSM1523728_INT201201-10-1_108T_HG-U133_Plus_2_.CEL.gz,54675
GSM1523729,T109,GSM1523729,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 109,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523729/suppl/GSM1523729_INT201201-10-1_109T_HG-U133_Plus_2_.CEL.gz,54675
GSM1523730,N132,GSM1523730,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 132,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523730/suppl/GSM1523730_INT201201-10-1_132N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523731,N133,GSM1523731,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 133,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523731/suppl/GSM1523731_INT201201-10-1_133N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523732,N134,GSM1523732,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 134,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523732/suppl/GSM1523732_INT201201-10-1_134N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523733,N135,GSM1523733,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 135,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523733/suppl/GSM1523733_INT201201-10-1_135N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523734,N136,GSM1523734,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 136,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523734/suppl/GSM1523734_INT201201-10-1_136N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523735,N138,GSM1523735,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 138,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523735/suppl/GSM1523735_INT201201-10-1_138N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523736,N140,GSM1523736,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 140,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523736/suppl/GSM1523736_INT201201-10-1_140N_HG-U133_Plus_2_.CEL.gz,54675
