,importance
mobility_other,0.1511992099798535
mobility_stm,0.13860786976815812
halfmove_clock,0.09122737137894821
fullmove_number,0.0760556023859861
wk_pawn_shield,0.045112474003678474
b_center_control,0.043715359275575134
w_center_control,0.04098782575703586
bk_pawn_shield,0.03867717581623979
b_most_advanced_pawn,0.03477063768310414
white_to_move,0.03247599989232312
total_material,0.03201926574825573
w_most_advanced_pawn,0.025981606407289172
wk_file,0.023666747729261858
wk_center_dist,0.019468483263584985
bk_file,0.016794152507982742
w_p,0.01631544125691936
b_p,0.01611350510325814
bk_center_dist,0.015268867464402229
material_balance,0.013693659611346472
b_isolated_pawns,0.012253864695543725
w_isolated_pawns,0.009866686565752243
diff_p,0.009444312123561794
b_n,0.008406718802667143
w_n,0.008265321384089704
b_doubled_pawns,0.007797027140961102
w_doubled_pawns,0.0077482394986143925
diff_b,0.007614295899814682
diff_n,0.007296409701643156
w_rooks_open_file,0.006080465374609587
b_b,0.005562267490451213
w_b,0.005158708164325988
bishop_pair_b,0.005057960208474165
bishop_pair_w,0.004602827071844331
b_rooks_open_file,0.004137466807443882
w_passed_pawns,0.0030756190553487103
bk_rank,0.002384947196863591
w_attackers_near_bk,0.0023747260291206843
b_attackers_near_wk,0.0015901701836170425
b_passed_pawns,0.0015199359097868037
king_distance,0.0013202743248542685
w_q,0.0010511211434238844
b_q,0.0009938738557357734
wk_rank,0.0008311733008441568
b_rooks_2nd,0.0007304383359529344
in_check,0.0006340797212218972
diff_r,0.0005497969866062339
w_rooks_7th,0.0005341232372842622
diff_q,0.0004308680781311207
w_r,0.0003582547534739011
b_r,0.00017677192473451603
