white_to_move,fullmove_number,halfmove_clock,w_p,b_p,diff_p,w_n,b_n,diff_n,w_b,b_b,diff_b,w_r,b_r,diff_r,w_q,b_q,diff_q,material_balance,total_material,bishop_pair_w,bishop_pair_b,king_distance,wk_file,wk_rank,bk_file,bk_rank,wk_center_dist,bk_center_dist,mobility_stm,mobility_other,in_check,w_passed_pawns,b_passed_pawns,w_isolated_pawns,b_isolated_pawns,w_doubled_pawns,b_doubled_pawns,w_most_advanced_pawn,b_most_advanced_pawn,w_rooks_open_file,b_rooks_open_file,w_rooks_7th,b_rooks_2nd,wk_pawn_shield,bk_pawn_shield,w_center_control,b_center_control,w_attackers_near_bk,b_attackers_near_wk,confirmed_optimal,fen,played_move
0,8,0,8,8,0,2,2,0,1,1,0,2,2,0,1,1,0,0,72,0,0,7,4,0,4,7,3,3,34,43,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,4,3,0,0,1,r2qkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/1PNQPN2/P4PPP/R1B1K2R b KQkq - 0 8,Bd6
1,9,1,8,8,0,2,2,0,1,1,0,2,2,0,1,1,0,0,72,0,0,7,4,0,4,7,3,3,43,44,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,4,3,0,0,1,r2qk2r/pp1n1ppp/2pbpn2/3p4/2PP4/1PNQPN2/P4PPP/R1B1K2R w KQkq - 1 9,O-O
0,9,2,8,8,0,2,2,0,1,1,0,2,2,0,1,1,0,0,72,0,0,7,6,0,4,7,5,3,44,38,0,0,0,0,0,0,0,3,4,0,0,0,0,3,1,4,3,0,0,1,r2qk2r/pp1n1ppp/2pbpn2/3p4/2PP4/1PNQPN2/P4PPP/R1B2RK1 b kq - 2 9,O-O
1,10,3,8,8,0,2,2,0,1,1,0,2,2,0,1,1,0,0,72,0,0,7,6,0,6,7,5,5,38,40,0,0,0,0,0,0,0,3,4,0,0,0,0,3,3,4,3,0,0,1,r2q1rk1/pp1n1ppp/2pbpn2/3p4/2PP4/1PNQPN2/P4PPP/R1B2RK1 w - - 3 10,Bb2
0,10,4,8,8,0,2,2,0,1,1,0,2,2,0,1,1,0,0,72,0,0,7,6,0,6,7,5,5,40,42,0,0,0,0,0,0,0,3,4,0,0,0,0,3,3,4,3,0,0,1,r2q1rk1/pp1n1ppp/2pbpn2/3p4/2PP4/1PNQPN2/PB3PPP/R4RK1 b - - 4 10,Qe7
1,11,5,8,8,0,2,2,0,1,1,0,2,2,0,1,1,0,0,72,0,0,7,6,0,6,7,5,5,42,39,0,0,0,0,0,0,0,3,4,0,0,0,0,3,3,4,3,0,0,1,r4rk1/pp1nqppp/2pbpn2/3p4/2PP4/1PNQPN2/PB3PPP/R4RK1 w - - 5 11,Rad1
0,11,6,8,8,0,2,2,0,1,1,0,2,2,0,1,1,0,0,72,0,0,7,6,0,6,7,5,5,39,39,0,0,0,0,0,0,0,3,4,0,0,0,0,3,3,4,3,0,0,1,r4rk1/pp1nqppp/2pbpn2/3p4/2PP4/1PNQPN2/PB3PPP/3R1RK1 b - - 6 11,Rad8
1,12,7,8,8,0,2,2,0,1,1,0,2,2,0,1,1,0,0,72,0,0,7,6,0,6,7,5,5,39,35,0,0,0,0,0,0,0,3,4,0,0,0,0,3,3,4,3,0,0,0,3r1rk1/pp1nqppp/2pbpn2/3p4/2PP4/1PNQPN2/PB3PPP/3R1RK1 w - - 7 12,Rfe1
0,12,8,8,8,0,2,2,0,1,1,0,2,2,0,1,1,0,0,72,0,0,7,6,0,6,7,5,5,35,40,0,0,0,0,0,0,0,3,4,0,0,0,0,3,3,4,3,0,0,1,3r1rk1/pp1nqppp/2pbpn2/3p4/2PP4/1PNQPN2/PB3PPP/3RR1K1 b - - 8 12,dxc4
1,13,0,7,8,-1,2,2,0,1,1,0,2,2,0,1,1,0,-1,71,0,0,7,6,0,6,7,5,5,41,37,0,0,0,0,0,0,1,3,3,0,0,0,0,3,3,4,3,0,0,1,3r1rk1/pp1nqppp/2pbpn2/8/2pP4/1PNQPN2/PB3PPP/3RR1K1 w - - 0 13,bxc4
0,8,0,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,4,7,5,3,35,34,0,0,0,0,0,0,0,4,5,0,0,0,0,2,1,2,2,0,0,1,rn1qk2r/ppp1bppp/1n1pp3/4P3/3P2b1/5N1P/PPP1BPP1/RNBQ1RK1 b kq - 0 8,Bh5
