feature,n_sources,mean_rank,mean_importance
mobility_stm,2,1.5,0.13285225805389816
w_center_control,2,7.5,0.053030606523806895
mobility_other,1,1.0,0.1511992099798535
halfmove_clock,1,3.0,0.09122737137894821
bk_rank,1,2.0,0.07893606449004854
bk_file,1,3.0,0.07761111822291053
wk_file,1,4.0,0.07697105021317087
fullmove_number,1,4.0,0.0760556023859861
wk_rank,1,5.0,0.07535890351848287
wk_center_dist,1,6.0,0.0738108227001897
bk_center_dist,1,7.0,0.07377206198049907
wk_pawn_shield,1,5.0,0.045112474003678474
b_center_control,1,6.0,0.043715359275575134
bk_pawn_shield,1,8.0,0.03867717581623979
