,importance
mobility_stm,0.12838488333290496
wk_file,0.08126476454543072
wk_rank,0.07898804332760731
bk_file,0.07835853327205361
bk_rank,0.07708363865978567
bk_center_dist,0.07141811413518699
wk_center_dist,0.0686266041599405
mobility_other,0.06536382007802756
king_distance,0.06468449029309017
w_center_control,0.06461843187523099
b_center_control,0.061617254441534444
w_attackers_near_bk,0.03937759473417218
b_attackers_near_wk,0.038574163919047284
white_to_move,0.028706185415203655
b_rooks_2nd,0.01843829660851254
in_check,0.01806623579338502
w_rooks_7th,0.016428945408886356
fullmove_number,0.0
diff_q,0.0
b_q,0.0
w_q,0.0
diff_r,0.0
b_r,0.0
w_r,0.0
diff_b,0.0
b_b,0.0
w_b,0.0
diff_n,0.0
b_n,0.0
w_n,0.0
diff_p,0.0
b_p,0.0
w_p,0.0
halfmove_clock,0.0
b_passed_pawns,0.0
w_passed_pawns,0.0
total_material,0.0
material_balance,0.0
bishop_pair_b,0.0
bishop_pair_w,0.0
w_isolated_pawns,0.0
b_isolated_pawns,0.0
b_rooks_open_file,0.0
w_rooks_open_file,0.0
b_most_advanced_pawn,0.0
w_most_advanced_pawn,0.0
b_doubled_pawns,0.0
w_doubled_pawns,0.0
bk_pawn_shield,0.0
wk_pawn_shield,0.0
