feature,n_sources,mean_rank,mean_importance
mobility_stm,2,1.5,0.13321940354614203
mobility_other,2,4.5,0.10664835601531603
halfmove_clock,1,3.0,0.0930838858768722
wk_file,1,2.0,0.08126476454543072
wk_rank,1,3.0,0.07898804332760731
bk_file,1,4.0,0.07835853327205361
bk_rank,1,5.0,0.07708363865978567
fullmove_number,1,4.0,0.07519077795012531
bk_center_dist,1,6.0,0.07141811413518699
wk_center_dist,1,7.0,0.0686266041599405
b_center_control,1,5.0,0.04652611903105985
wk_pawn_shield,1,6.0,0.04446355403643279
w_center_control,1,7.0,0.04109853272413711
bk_pawn_shield,1,8.0,0.03810797401344331
