,importance
mobility_stm,0.1345095592026984
bk_rank,0.07933986271675444
wk_rank,0.07874378863210175
wk_file,0.0785658980879658
bk_file,0.07736139957646869
bk_center_dist,0.0729479500936481
wk_center_dist,0.07240006741984674
king_distance,0.068173160811721
mobility_other,0.06440246801251452
w_center_control,0.06312661888958898
b_center_control,0.058699131094234074
w_attackers_near_bk,0.039617788973314416
b_attackers_near_wk,0.037379445119785804
white_to_move,0.02831425267937704
in_check,0.017205585180629025
b_rooks_2nd,0.01467167761954145
w_rooks_7th,0.01454134588980993
fullmove_number,0.0
diff_q,0.0
b_q,0.0
w_q,0.0
diff_r,0.0
b_r,0.0
w_r,0.0
diff_b,0.0
b_b,0.0
w_b,0.0
diff_n,0.0
b_n,0.0
w_n,0.0
diff_p,0.0
b_p,0.0
w_p,0.0
halfmove_clock,0.0
b_passed_pawns,0.0
w_passed_pawns,0.0
total_material,0.0
material_balance,0.0
bishop_pair_b,0.0
bishop_pair_w,0.0
w_isolated_pawns,0.0
b_isolated_pawns,0.0
b_rooks_open_file,0.0
w_rooks_open_file,0.0
b_most_advanced_pawn,0.0
w_most_advanced_pawn,0.0
b_doubled_pawns,0.0
w_doubled_pawns,0.0
bk_pawn_shield,0.0
wk_pawn_shield,0.0
