,importance
mobility_other,0.1452546181544387
mobility_stm,0.13687036636873087
halfmove_clock,0.09004387106948535
fullmove_number,0.07617829820128376
b_center_control,0.04849793040518415
wk_pawn_shield,0.045344135369954276
w_center_control,0.04090119937217073
bk_pawn_shield,0.03926388747205878
b_most_advanced_pawn,0.03487447504210019
total_material,0.0328449552943864
white_to_move,0.030265225826669333
w_most_advanced_pawn,0.027352965909829413
wk_file,0.022720902293972094
wk_center_dist,0.01852884697573303
bk_file,0.01646628189811524
w_p,0.01605196193540964
b_p,0.01548483767962442
bk_center_dist,0.014943244709607442
material_balance,0.014000388297821641
b_isolated_pawns,0.011088515041861754
w_isolated_pawns,0.010179833149636488
diff_p,0.008922803980323057
b_n,0.008825542862705748
w_n,0.008734261088884926
b_doubled_pawns,0.008681602051117244
w_doubled_pawns,0.008157118994406758
diff_b,0.008123643288869232
diff_n,0.007836217121673717
w_rooks_open_file,0.006585592084297895
b_b,0.006542709880939627
w_b,0.006150754367810552
bishop_pair_w,0.00530590525397991
bishop_pair_b,0.005292461725869071
b_rooks_open_file,0.003471074439759508
w_attackers_near_bk,0.0032808970472943044
w_passed_pawns,0.0025947831677500498
king_distance,0.001953967637055831
bk_rank,0.0019221219707573252
b_passed_pawns,0.0018690822573457784
b_attackers_near_wk,0.0018385468245134067
b_q,0.0013262304466281263
w_q,0.0012913628732682068
wk_rank,0.0010510499960335138
w_r,0.0006598385405662852
w_rooks_7th,0.0005745013651729335
in_check,0.0005503112277018829
diff_r,0.0005030554865795242
diff_q,0.00044027624993849045
b_r,0.00035754730068350636
b_rooks_2nd,0.0
