feature,n_sources,mean_rank,mean_importance
mobility_stm,2,1.5,0.13568996278571463
mobility_other,1,1.0,0.1452546181544387
halfmove_clock,1,3.0,0.09004387106948535
bk_rank,1,2.0,0.07933986271675444
wk_rank,1,3.0,0.07874378863210175
wk_file,1,4.0,0.0785658980879658
bk_file,1,5.0,0.07736139957646869
fullmove_number,1,4.0,0.07617829820128376
bk_center_dist,1,6.0,0.0729479500936481
wk_center_dist,1,7.0,0.07240006741984674
king_distance,1,8.0,0.068173160811721
b_center_control,1,5.0,0.04849793040518415
wk_pawn_shield,1,6.0,0.045344135369954276
w_center_control,1,7.0,0.04090119937217073
bk_pawn_shield,1,8.0,0.03926388747205878
