feature,n_sources,mean_rank,mean_importance
mobility_stm,2,1.5,0.13812506171327105
w_center_control,2,7.0,0.05411316349699984
mobility_other,1,1.0,0.1569071155856384
halfmove_clock,1,3.0,0.09404811228292123
bk_rank,1,2.0,0.07893606449004854
bk_file,1,3.0,0.07761111822291053
wk_file,1,4.0,0.07697105021317087
fullmove_number,1,4.0,0.07664983167567442
wk_rank,1,5.0,0.07535890351848287
wk_center_dist,1,6.0,0.0738108227001897
bk_center_dist,1,7.0,0.07377206198049907
b_center_control,1,5.0,0.04745646749044866
bk_pawn_shield,1,7.0,0.0406952142560204
wk_pawn_shield,1,8.0,0.03892336832208905
