,importance
mobility_stm,0.1308079690213614
wk_file,0.0801566701405569
bk_rank,0.07852817959071756
bk_file,0.07636376905353427
bk_center_dist,0.07594565567916954
wk_rank,0.0744447977128798
king_distance,0.07100408406621962
wk_center_dist,0.07055452146545896
b_center_control,0.06273344410057681
mobility_other,0.06108328844794092
w_center_control,0.05999547396357347
b_attackers_near_wk,0.039008636552189946
w_attackers_near_bk,0.03389074749402015
white_to_move,0.026978197857399553
in_check,0.0197332701952483
b_rooks_2nd,0.01971272682706219
w_rooks_7th,0.019058567832090673
fullmove_number,0.0
diff_q,0.0
b_q,0.0
w_q,0.0
diff_r,0.0
b_r,0.0
w_r,0.0
diff_b,0.0
b_b,0.0
w_b,0.0
diff_n,0.0
b_n,0.0
w_n,0.0
diff_p,0.0
b_p,0.0
w_p,0.0
halfmove_clock,0.0
b_passed_pawns,0.0
w_passed_pawns,0.0
total_material,0.0
material_balance,0.0
bishop_pair_b,0.0
bishop_pair_w,0.0
w_isolated_pawns,0.0
b_isolated_pawns,0.0
b_rooks_open_file,0.0
w_rooks_open_file,0.0
b_most_advanced_pawn,0.0
w_most_advanced_pawn,0.0
b_doubled_pawns,0.0
w_doubled_pawns,0.0
bk_pawn_shield,0.0
wk_pawn_shield,0.0
