white_to_move,fullmove_number,halfmove_clock,w_p,b_p,diff_p,w_n,b_n,diff_n,w_b,b_b,diff_b,w_r,b_r,diff_r,w_q,b_q,diff_q,material_balance,total_material,bishop_pair_w,bishop_pair_b,king_distance,wk_file,wk_rank,bk_file,bk_rank,wk_center_dist,bk_center_dist,mobility_stm,mobility_other,in_check,w_passed_pawns,b_passed_pawns,w_isolated_pawns,b_isolated_pawns,w_doubled_pawns,b_doubled_pawns,w_most_advanced_pawn,b_most_advanced_pawn,w_rooks_open_file,b_rooks_open_file,w_rooks_7th,b_rooks_2nd,wk_pawn_shield,bk_pawn_shield,w_center_control,b_center_control,w_attackers_near_bk,b_attackers_near_wk,confirmed_optimal,fen,played_move
0,8,0,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,26,32,0,0,0,0,0,0,0,3,4,0,0,0,0,3,2,4,3,0,0,1,r1bq1rk1/p1pnppbp/1p3np1/3p4/3PP3/2PB1N2/PP1N1PPP/R1BQ1RK1 b - - 0 8,dxe4
1,9,0,7,8,-1,2,2,0,2,2,0,2,2,0,1,1,0,-1,77,1,1,7,6,0,6,7,5,5,33,28,0,0,0,0,0,0,1,3,3,0,0,0,0,3,2,3,3,0,0,1,r1bq1rk1/p1pnppbp/1p3np1/8/3Pp3/2PB1N2/PP1N1PPP/R1BQ1RK1 w - - 0 9,Nxe4
0,9,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,26,41,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,3,3,0,0,1,r1bq1rk1/p1pnppbp/1p3np1/8/3PN3/2PB1N2/PP3PPP/R1BQ1RK1 b - - 0 9,Bb7
1,10,1,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,41,32,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,3,3,0,0,1,r2q1rk1/pbpnppbp/1p3np1/8/3PN3/2PB1N2/PP3PPP/R1BQ1RK1 w - - 1 10,Re1
0,10,2,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,32,43,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,3,3,0,0,1,r2q1rk1/pbpnppbp/1p3np1/8/3PN3/2PB1N2/PP3PPP/R1BQR1K1 b - - 2 10,Re8
1,11,3,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,43,33,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,3,3,0,0,1,r2qr1k1/pbpnppbp/1p3np1/8/3PN3/2PB1N2/PP3PPP/R1BQR1K1 w - - 3 11,Bf4
0,11,4,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,33,50,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,3,3,0,0,0,r2qr1k1/pbpnppbp/1p3np1/8/3PNB2/2PB1N2/PP3PPP/R2QR1K1 b - - 4 11,Rc8
1,12,5,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,50,31,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,3,3,0,0,1,2rqr1k1/pbpnppbp/1p3np1/8/3PNB2/2PB1N2/PP3PPP/R2QR1K1 w - - 5 12,Qa4
0,12,6,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,31,58,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,3,3,0,0,1,2rqr1k1/pbpnppbp/1p3np1/8/Q2PNB2/2PB1N2/PP3PPP/R3R1K1 b - - 6 12,a6
1,13,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,57,29,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,3,3,0,0,1,2rqr1k1/1bpnppbp/pp3np1/8/Q2PNB2/2PB1N2/PP3PPP/R3R1K1 w - - 0 13,Rad1
0,8,2,7,7,0,1,1,0,2,2,0,2,2,0,1,1,0,0,70,1,1,7,4,0,6,7,3,5,31,39,0,0,0,1,0,0,0,3,5,0,0,0,0,2,2,3,3,0,0,1,rnbq1rk1/ppp1ppbp/6p1/8/3P4/BQP2N2/P3PPPP/R3KB1R b KQ - 2 8,Nd7
1,9,3,7,7,0,1,1,0,2,2,0,2,2,0,1,1,0,0,70,1,1,7,4,0,6,7,3,5,39,25,0,0,0,1,0,0,0,3,5,0,0,0,0,2,2,3,2,0,0,0,r1bq1rk1/pppnppbp/6p1/8/3P4/BQP2N2/P3PPPP/R3KB1R w KQ - 3 9,Rd1
0,9,4,7,7,0,1,1,0,2,2,0,2,2,0,1,1,0,0,70,1,1,7,4,0,6,7,3,5,25,38,0,0,0,1,0,0,0,3,5,0,0,0,0,2,2,3,2,0,0,0,r1bq1rk1/pppnppbp/6p1/8/3P4/BQP2N2/P3PPPP/3RKB1R b K - 4 9,b6
