feature,n_sources,mean_rank,mean_importance
mobility_stm,2,1.5,0.1401408717934477
mobility_other,1,1.0,0.15333480275941744
halfmove_clock,1,3.0,0.09213203437622335
wk_file,1,2.0,0.0801566701405569
bk_rank,1,3.0,0.07852817959071756
fullmove_number,1,4.0,0.07658351363998277
bk_file,1,4.0,0.07636376905353427
bk_center_dist,1,5.0,0.07594565567916954
wk_rank,1,6.0,0.0744447977128798
king_distance,1,7.0,0.07100408406621962
wk_center_dist,1,8.0,0.07055452146545896
b_center_control,1,5.0,0.045307805458766635
w_center_control,1,6.0,0.043116862522062455
bk_pawn_shield,1,7.0,0.040440553368244675
wk_pawn_shield,1,8.0,0.04008136365459603
