,importance
mobility_stm,0.1287365511428591
wk_file,0.08163328615196268
wk_rank,0.08001384665299671
bk_file,0.07816406835601475
bk_rank,0.07692887170884083
bk_center_dist,0.07435349371585985
king_distance,0.0722501322629187
wk_center_dist,0.0711304931579298
w_center_control,0.06556579701138456
b_center_control,0.06080024734183317
mobility_other,0.05370394297275491
w_attackers_near_bk,0.038103778482150394
b_attackers_near_wk,0.03648647422432162
white_to_move,0.0293672217031767
in_check,0.018941026804393846
b_rooks_2nd,0.01766260409499327
w_rooks_7th,0.016158164215609252
fullmove_number,0.0
diff_q,0.0
b_q,0.0
w_q,0.0
diff_r,0.0
b_r,0.0
w_r,0.0
diff_b,0.0
b_b,0.0
w_b,0.0
diff_n,0.0
b_n,0.0
w_n,0.0
diff_p,0.0
b_p,0.0
w_p,0.0
halfmove_clock,0.0
b_passed_pawns,0.0
w_passed_pawns,0.0
total_material,0.0
material_balance,0.0
bishop_pair_b,0.0
bishop_pair_w,0.0
w_isolated_pawns,0.0
b_isolated_pawns,0.0
b_rooks_open_file,0.0
w_rooks_open_file,0.0
b_most_advanced_pawn,0.0
w_most_advanced_pawn,0.0
b_doubled_pawns,0.0
w_doubled_pawns,0.0
bk_pawn_shield,0.0
wk_pawn_shield,0.0
