,importance
mobility_other,0.15424412992147246
mobility_stm,0.1459578620175327
halfmove_clock,0.08978843232116868
fullmove_number,0.07650939652078616
b_center_control,0.04491389047837683
w_center_control,0.042537793930689745
bk_pawn_shield,0.0421914491230243
wk_pawn_shield,0.03909953424249513
b_most_advanced_pawn,0.034410857495518345
total_material,0.031968239394664866
w_most_advanced_pawn,0.031189227933545952
white_to_move,0.030060302155299888
wk_file,0.021501085891063136
bk_file,0.018929922580068165
wk_center_dist,0.017515488379231857
b_p,0.016712512487995754
w_p,0.01620344929007771
bk_center_dist,0.015673570673488856
b_isolated_pawns,0.012053207629969337
material_balance,0.011297176673195243
w_isolated_pawns,0.010317205840012555
w_n,0.009197991118357457
b_n,0.008414776037860778
diff_p,0.007916690655957603
b_doubled_pawns,0.00791404473293969
diff_n,0.0072936820283528905
diff_b,0.007132654027651805
w_doubled_pawns,0.006616341735192826
b_b,0.005405540028240778
w_b,0.005182402090964317
bishop_pair_b,0.004981372568336578
bishop_pair_w,0.004510144937608498
w_rooks_open_file,0.004407704237034427
b_rooks_open_file,0.0028303327724384917
b_passed_pawns,0.002417601474584027
bk_rank,0.0016520642167843001
king_distance,0.0016501308807309073
w_passed_pawns,0.0016268408134093183
b_attackers_near_wk,0.001541986535280967
w_q,0.001438177776167105
b_q,0.0013835449807119138
w_attackers_near_bk,0.001345536267550184
wk_rank,0.000928844520882505
in_check,0.0006499727705094377
diff_r,0.00025463470638521
b_r,0.00018309719771839286
diff_q,4.915590867199279e-05
w_r,0.0
w_rooks_7th,0.0
b_rooks_2nd,0.0
