feature,n_sources,mean_rank,mean_importance
mobility_stm,2,1.5,0.1373472065801959
mobility_other,1,1.0,0.15424412992147246
halfmove_clock,1,3.0,0.08978843232116868
wk_file,1,2.0,0.08163328615196268
wk_rank,1,3.0,0.08001384665299671
bk_file,1,4.0,0.07816406835601475
bk_rank,1,5.0,0.07692887170884083
fullmove_number,1,4.0,0.07650939652078616
bk_center_dist,1,6.0,0.07435349371585985
king_distance,1,7.0,0.0722501322629187
wk_center_dist,1,8.0,0.0711304931579298
b_center_control,1,5.0,0.04491389047837683
w_center_control,1,6.0,0.042537793930689745
bk_pawn_shield,1,7.0,0.0421914491230243
wk_pawn_shield,1,8.0,0.03909953424249513
