,importance
mobility_stm,0.12709664633963824
bk_rank,0.07893606449004854
bk_file,0.07761111822291053
wk_file,0.07697105021317087
wk_rank,0.07535890351848287
wk_center_dist,0.0738108227001897
bk_center_dist,0.07377206198049907
w_center_control,0.06507338729057792
king_distance,0.06434493043641988
b_center_control,0.06355052169944203
mobility_other,0.05843169883695032
b_attackers_near_wk,0.039995364818372445
w_attackers_near_bk,0.03912121294360866
white_to_move,0.02880373764216823
in_check,0.020572302315716034
b_rooks_2nd,0.02025386815514773
w_rooks_7th,0.01629630839665691
fullmove_number,0.0
diff_q,0.0
b_q,0.0
w_q,0.0
diff_r,0.0
b_r,0.0
w_r,0.0
diff_b,0.0
b_b,0.0
w_b,0.0
diff_n,0.0
b_n,0.0
w_n,0.0
diff_p,0.0
b_p,0.0
w_p,0.0
halfmove_clock,0.0
b_passed_pawns,0.0
w_passed_pawns,0.0
total_material,0.0
material_balance,0.0
bishop_pair_b,0.0
bishop_pair_w,0.0
w_isolated_pawns,0.0
b_isolated_pawns,0.0
b_rooks_open_file,0.0
w_rooks_open_file,0.0
b_most_advanced_pawn,0.0
w_most_advanced_pawn,0.0
b_doubled_pawns,0.0
w_doubled_pawns,0.0
bk_pawn_shield,0.0
wk_pawn_shield,0.0
