white_to_move,fullmove_number,halfmove_clock,w_p,b_p,diff_p,w_n,b_n,diff_n,w_b,b_b,diff_b,w_r,b_r,diff_r,w_q,b_q,diff_q,material_balance,total_material,bishop_pair_w,bishop_pair_b,king_distance,wk_file,wk_rank,bk_file,bk_rank,wk_center_dist,bk_center_dist,mobility_stm,mobility_other,in_check,w_passed_pawns,b_passed_pawns,w_isolated_pawns,b_isolated_pawns,w_doubled_pawns,b_doubled_pawns,w_most_advanced_pawn,b_most_advanced_pawn,w_rooks_open_file,b_rooks_open_file,w_rooks_7th,b_rooks_2nd,wk_pawn_shield,bk_pawn_shield,w_center_control,b_center_control,w_attackers_near_bk,b_attackers_near_wk,confirmed_optimal,fen,played_move
0,8,7,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,37,40,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,4,4,0,0,1,r2q1rk1/ppp1ppbp/2np1np1/8/2PPP1b1/2NBBN2/PP3PPP/R2Q1RK1 b - - 7 8,Nd7
1,9,8,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,40,39,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,4,2,0,0,1,r2q1rk1/pppnppbp/2np2p1/8/2PPP1b1/2NBBN2/PP3PPP/R2Q1RK1 w - - 8 9,Be2
0,9,9,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,39,37,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,4,2,0,0,1,r2q1rk1/pppnppbp/2np2p1/8/2PPP1b1/2N1BN2/PP2BPPP/R2Q1RK1 b - - 9 9,Bxf3
1,10,0,8,8,0,1,2,-1,2,2,0,2,2,0,1,1,0,-3,75,1,1,7,6,0,6,7,5,5,35,39,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,4,3,0,1,1,r2q1rk1/pppnppbp/2np2p1/8/2PPP3/2N1Bb2/PP2BPPP/R2Q1RK1 w - - 0 10,Bxf3
0,10,0,8,8,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,72,1,0,7,6,0,6,7,5,5,34,37,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,4,2,0,0,1,r2q1rk1/pppnppbp/2np2p1/8/2PPP3/2N1BB2/PP3PPP/R2Q1RK1 b - - 0 10,e5
1,11,0,8,8,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,72,1,0,7,6,0,6,7,5,5,37,34,0,0,0,0,0,0,0,3,4,0,0,0,0,3,2,4,2,0,0,1,r2q1rk1/pppn1pbp/2np2p1/4p3/2PPP3/2N1BB2/PP3PPP/R2Q1RK1 w - - 0 11,d5
0,11,0,8,8,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,72,1,0,7,6,0,6,7,5,5,32,40,0,0,0,0,0,0,0,4,4,0,0,0,0,3,2,3,2,0,0,0,r2q1rk1/pppn1pbp/2np2p1/3Pp3/2P1P3/2N1BB2/PP3PPP/R2Q1RK1 b - - 0 11,Ne7
1,12,1,8,8,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,72,1,0,7,6,0,6,7,5,5,39,29,0,0,0,0,0,0,0,4,4,0,0,0,0,3,2,3,3,0,0,1,r2q1rk1/pppnnpbp/3p2p1/3Pp3/2P1P3/2N1BB2/PP3PPP/R2Q1RK1 w - - 1 12,Be2
0,12,2,8,8,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,72,1,0,7,6,0,6,7,5,5,29,40,0,0,0,0,0,0,0,4,4,0,0,0,0,3,2,3,3,0,0,1,r2q1rk1/pppnnpbp/3p2p1/3Pp3/2P1P3/2N1B3/PP2BPPP/R2Q1RK1 b - - 2 12,f5
1,13,0,8,8,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,72,1,0,7,6,0,6,7,5,5,41,31,0,0,0,0,0,0,0,4,4,0,0,0,0,3,1,3,4,0,0,0,r2q1rk1/pppnn1bp/3p2p1/3Ppp2/2P1P3/2N1B3/PP2BPPP/R2Q1RK1 w - - 0 13,f4
0,8,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,38,43,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2,3,4,0,0,1,r1bqk2r/pp2ppbp/2np1np1/8/3NP3/2N1BP2/PPP1B1PP/R2QK2R b KQkq - 0 8,O-O
1,9,1,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,6,7,3,5,43,36,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2,3,4,0,0,1,r1bq1rk1/pp2ppbp/2np1np1/8/3NP3/2N1BP2/PPP1B1PP/R2QK2R w KQ - 1 9,Qd2
0,9,2,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,6,7,3,5,36,44,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2,3,4,0,0,0,r1bq1rk1/pp2ppbp/2np1np1/8/3NP3/2N1BP2/PPPQB1PP/R3K2R b KQ - 2 9,a6
1,10,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,6,7,3,5,44,37,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2,3,4,0,0,1,r1bq1rk1/1p2ppbp/p1np1np1/8/3NP3/2N1BP2/PPPQB1PP/R3K2R w KQ - 0 10,O-O-O
0,10,1,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,2,0,6,7,4,5,37,38,0,0,0,0,0,0,0,3,5,0,0,0,0,2,2,3,4,0,0,0,r1bq1rk1/1p2ppbp/p1np1np1/8/3NP3/2N1BP2/PPPQB1PP/2KR3R b - - 1 10,Qa5
1,11,2,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,2,0,6,7,4,5,38,47,0,0,0,0,0,0,0,3,5,0,0,0,0,2,2,3,4,0,0,1,r1b2rk1/1p2ppbp/p1np1np1/q7/3NP3/2N1BP2/PPPQB1PP/2KR3R w - - 2 11,Kb1
0,11,3,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,1,0,6,7,5,5,47,40,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,3,4,0,0,1,r1b2rk1/1p2ppbp/p1np1np1/q7/3NP3/2N1BP2/PPPQB1PP/1K1R3R b - - 3 11,Rd8
1,12,4,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,1,0,6,7,5,5,40,48,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,3,4,0,0,0,r1br2k1/1p2ppbp/p1np1np1/q7/3NP3/2N1BP2/PPPQB1PP/1K1R3R w - - 4 12,g4
0,12,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,1,0,6,7,5,5,47,39,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,3,4,0,0,1,r1br2k1/1p2ppbp/p1np1np1/q7/3NP1P1/2N1BP2/PPPQB2P/1K1R3R b - - 0 12,Nxd4
1,13,0,7,7,0,1,2,-1,2,2,0,2,2,0,1,1,0,-3,73,1,1,7,1,0,6,7,5,5,36,50,0,0,0,0,0,0,0,3,5,0,0,0,0,3,2,3,3,0,0,1,r1br2k1/1p2ppbp/p2p1np1/q7/3nP1P1/2N1BP2/PPPQB2P/1K1R3R w - - 0 13,Bxd4
0,8,5,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,35,45,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,4,3,0,0,1,rnb1kb1r/ppp3pp/3p1nq1/8/2BPp3/2N1N3/PPP2PPP/R1BQK2R b KQkq - 5 8,c6
1,9,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,45,33,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,4,3,0,0,1,rnb1kb1r/pp4pp/2pp1nq1/8/2BPp3/2N1N3/PPP2PPP/R1BQK2R w KQkq - 0 9,d5
0,9,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,34,40,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,3,3,0,0,0,rnb1kb1r/pp4pp/2pp1nq1/3P4/2B1p3/2N1N3/PPP2PPP/R1BQK2R b KQkq - 0 9,Be7
1,10,1,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,40,37,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,3,3,0,0,0,rnb1k2r/pp2b1pp/2pp1nq1/3P4/2B1p3/2N1N3/PPP2PPP/R1BQK2R w KQkq - 1 10,a4
0,10,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,37,42,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,3,3,0,0,1,rnb1k2r/pp2b1pp/2pp1nq1/3P4/P1B1p3/2N1N3/1PP2PPP/R1BQK2R b KQkq - 0 10,Nbd7
1,11,1,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,42,34,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,3,3,0,0,1,r1b1k2r/pp1nb1pp/2pp1nq1/3P4/P1B1p3/2N1N3/1PP2PPP/R1BQK2R w KQkq - 1 11,a5
0,11,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,33,44,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,3,3,0,0,1,r1b1k2r/pp1nb1pp/2pp1nq1/P2P4/2B1p3/2N1N3/1PP2PPP/R1BQK2R b KQkq - 0 11,Ne5
1,12,1,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,44,41,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,3,3,0,0,1,r1b1k2r/pp2b1pp/2pp1nq1/P2Pn3/2B1p3/2N1N3/1PP2PPP/R1BQK2R w KQkq - 1 12,Be2
0,12,2,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,41,40,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,3,3,0,0,1,r1b1k2r/pp2b1pp/2pp1nq1/P2Pn3/4p3/2N1N3/1PP1BPPP/R1BQK2R b KQkq - 2 12,O-O
1,13,3,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,6,7,3,5,40,39,0,0,0,0,0,0,0,4,3,0,0,0,0,1,2,3,3,0,0,0,r1b2rk1/pp2b1pp/2pp1nq1/P2Pn3/4p3/2N1N3/1PP1BPPP/R1BQK2R w KQ - 3 13,O-O
0,8,0,7,7,0,2,1,1,1,2,-1,2,2,0,1,1,0,0,70,0,1,7,4,0,6,7,3,5,31,33,0,0,0,0,0,0,0,3,4,0,0,0,0,1,2,3,4,0,0,1,r1bq1bkr/ppp3pp/2n5/3pp1N1/3P4/5N2/PPP2PPP/R1BQK2R b KQ - 0 8,h6
1,9,0,7,7,0,2,1,1,1,2,-1,2,2,0,1,1,0,0,70,0,1,7,4,0,6,7,3,5,33,32,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,4,0,0,1,r1bq1bkr/ppp3p1/2n4p/3pp1N1/3P4/5N2/PPP2PPP/R1BQK2R w KQ - 0 9,Nh3
0,9,1,7,7,0,2,1,1,1,2,-1,2,2,0,1,1,0,0,70,0,1,7,4,0,6,7,3,5,35,32,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,2,4,0,0,1,r1bq1bkr/ppp3p1/2n4p/3pp3/3P4/5N1N/PPP2PPP/R1BQK2R b KQ - 1 9,Bg4
