feature,n_sources,mean_rank,mean_importance
mobility_stm,2,1.5,0.13750308367458347
w_center_control,2,8.0,0.05265619634217702
mobility_other,1,1.0,0.15500999443261335
halfmove_clock,1,3.0,0.08212065136564906
fullmove_number,1,4.0,0.07943640500137869
bk_rank,1,2.0,0.07893606449004854
bk_file,1,3.0,0.07761111822291053
wk_file,1,4.0,0.07697105021317087
wk_rank,1,5.0,0.07535890351848287
wk_center_dist,1,6.0,0.0738108227001897
bk_center_dist,1,7.0,0.07377206198049907
b_center_control,1,5.0,0.04603075493916114
wk_pawn_shield,1,6.0,0.04354484347663765
bk_pawn_shield,1,7.0,0.04239454656585122
