,importance
mobility_stm,0.1364292596968227
bk_rank,0.08230527548507538
wk_rank,0.07939213869263728
wk_file,0.07911439627790748
bk_file,0.07701246756115608
wk_center_dist,0.07174234426168875
bk_center_dist,0.0705733023516439
king_distance,0.06435156949928146
w_center_control,0.0637416039441825
b_center_control,0.06117123852526282
mobility_other,0.05900898766436138
w_attackers_near_bk,0.03598767253931733
b_attackers_near_wk,0.0341835250822625
white_to_move,0.027644167887684135
in_check,0.019602711152264203
w_rooks_7th,0.01887909220843299
b_rooks_2nd,0.01886024717001918
fullmove_number,0.0
diff_q,0.0
b_q,0.0
w_q,0.0
diff_r,0.0
b_r,0.0
w_r,0.0
diff_b,0.0
b_b,0.0
w_b,0.0
diff_n,0.0
b_n,0.0
w_n,0.0
diff_p,0.0
b_p,0.0
w_p,0.0
halfmove_clock,0.0
b_passed_pawns,0.0
w_passed_pawns,0.0
total_material,0.0
material_balance,0.0
bishop_pair_b,0.0
bishop_pair_w,0.0
w_isolated_pawns,0.0
b_isolated_pawns,0.0
b_rooks_open_file,0.0
w_rooks_open_file,0.0
b_most_advanced_pawn,0.0
w_most_advanced_pawn,0.0
b_doubled_pawns,0.0
w_doubled_pawns,0.0
bk_pawn_shield,0.0
wk_pawn_shield,0.0
