,importance
mobility_other,0.15347045696505093
mobility_stm,0.14968626237256993
halfmove_clock,0.08248396680129036
fullmove_number,0.0777027323630623
b_center_control,0.046882234857628775
wk_pawn_shield,0.04433144712702093
bk_pawn_shield,0.04152992882942438
w_center_control,0.04100797707768676
b_most_advanced_pawn,0.035481448161564746
total_material,0.031132147716553323
w_most_advanced_pawn,0.030689757123675793
white_to_move,0.02631275779001053
wk_file,0.025843300481910574
wk_center_dist,0.01847443142020949
bk_file,0.016570716012744804
b_p,0.01535312996606078
w_p,0.015193954157428925
bk_center_dist,0.014223646327097751
material_balance,0.012504692783933626
w_isolated_pawns,0.011340048500491775
diff_p,0.009815335786815114
b_isolated_pawns,0.008976275132122243
b_n,0.008482534259101258
w_n,0.008468307018650853
diff_n,0.00784601631394302
diff_b,0.007394581649353707
b_doubled_pawns,0.006815736859404646
w_doubled_pawns,0.006523226036193343
b_b,0.0055161414277848445
w_b,0.004947904426579134
w_rooks_open_file,0.004792360101844265
bishop_pair_w,0.004751479273309799
bishop_pair_b,0.00471078506514597
b_rooks_open_file,0.003339363372994402
w_attackers_near_bk,0.002899288893752383
king_distance,0.0022403907359838937
bk_rank,0.0018619377807156108
b_attackers_near_wk,0.0017153662941906261
b_passed_pawns,0.0016952984985121916
b_q,0.001545191399354824
w_q,0.0013725939544139052
b_r,0.0009458481255741022
wk_rank,0.0008576061054324227
in_check,0.0008275535841109745
w_r,0.0007659934293155307
w_passed_pawns,0.000599917080543228
diff_q,5.642772209659871e-05
diff_r,1.7349448162262027e-05
b_rooks_2nd,3.4550149168696774e-06
w_rooks_7th,6.983742654860501e-07
