feature,n_sources,mean_rank,mean_importance
mobility_stm,2,1.5,0.1430577610346963
mobility_other,1,1.0,0.15347045696505093
halfmove_clock,1,3.0,0.08248396680129036
bk_rank,1,2.0,0.08230527548507538
wk_rank,1,3.0,0.07939213869263728
wk_file,1,4.0,0.07911439627790748
fullmove_number,1,4.0,0.0777027323630623
bk_file,1,5.0,0.07701246756115608
wk_center_dist,1,6.0,0.07174234426168875
bk_center_dist,1,7.0,0.0705733023516439
king_distance,1,8.0,0.06435156949928146
b_center_control,1,5.0,0.046882234857628775
wk_pawn_shield,1,6.0,0.04433144712702093
bk_pawn_shield,1,7.0,0.04152992882942438
w_center_control,1,8.0,0.04100797707768676
