,importance
mobility_stm,0.12624982192505754
wk_file,0.07890679944518618
bk_rank,0.07766780874186639
bk_file,0.07720793669369755
wk_rank,0.07553715031956855
bk_center_dist,0.07550442004809957
king_distance,0.06890490330605531
wk_center_dist,0.06856810191081174
mobility_other,0.06590982634947039
w_center_control,0.06213002868944342
b_center_control,0.06160524420459613
w_attackers_near_bk,0.04118330032509632
b_attackers_near_wk,0.035702850594691325
white_to_move,0.029725964952411
in_check,0.020100069064321182
w_rooks_7th,0.01974982388187417
b_rooks_2nd,0.015345949547753292
fullmove_number,0.0
diff_q,0.0
b_q,0.0
w_q,0.0
diff_r,0.0
b_r,0.0
w_r,0.0
diff_b,0.0
b_b,0.0
w_b,0.0
diff_n,0.0
b_n,0.0
w_n,0.0
diff_p,0.0
b_p,0.0
w_p,0.0
halfmove_clock,0.0
b_passed_pawns,0.0
w_passed_pawns,0.0
total_material,0.0
material_balance,0.0
bishop_pair_b,0.0
bishop_pair_w,0.0
w_isolated_pawns,0.0
b_isolated_pawns,0.0
b_rooks_open_file,0.0
w_rooks_open_file,0.0
b_most_advanced_pawn,0.0
w_most_advanced_pawn,0.0
b_doubled_pawns,0.0
w_doubled_pawns,0.0
bk_pawn_shield,0.0
wk_pawn_shield,0.0
