,importance
mobility_other,0.15365462950286318
mobility_stm,0.14896285863647102
halfmove_clock,0.08313281347915415
fullmove_number,0.08179182228136316
b_center_control,0.04517340594287538
wk_pawn_shield,0.04415005799380289
bk_pawn_shield,0.04145682403611278
w_center_control,0.040691261755449216
b_most_advanced_pawn,0.03570975230675765
total_material,0.03072766399766986
w_most_advanced_pawn,0.029603780758013756
white_to_move,0.026223810000708295
wk_file,0.0260060299683671
wk_center_dist,0.01919669609120545
bk_file,0.017724420763252695
b_p,0.015263540193903271
w_p,0.015216509287348563
bk_center_dist,0.014928672248535122
material_balance,0.013210132497252705
w_isolated_pawns,0.011265622113756014
diff_p,0.010467150955715092
b_isolated_pawns,0.009036405981969788
b_n,0.008174910611748186
w_n,0.007978928511396926
diff_n,0.007653388236592453
diff_b,0.007033519341236293
b_doubled_pawns,0.006619127281640819
w_doubled_pawns,0.0062803772207753635
w_rooks_open_file,0.004730587081033773
w_b,0.0047028778397624985
b_b,0.00462774695673336
bishop_pair_w,0.0045629344583627725
bishop_pair_b,0.004196025524174993
b_rooks_open_file,0.0033087731031088948
w_attackers_near_bk,0.0025509023298749657
king_distance,0.0020286938662031164
b_passed_pawns,0.0019942520783702237
b_attackers_near_wk,0.0017443769193033539
b_q,0.0015316433216870631
w_q,0.0014422299381737819
bk_rank,0.0013004151297304498
wk_rank,0.0012479645857226636
w_r,0.0007201636262546925
in_check,0.0007177848998830616
b_r,0.0006893887822295552
w_passed_pawns,0.00048803099272354267
diff_q,5.592490417438016e-05
diff_r,2.2598266920123966e-05
b_rooks_2nd,2.5733996355240625e-06
w_rooks_7th,0.0
