feature,n_sources,mean_rank,mean_importance
mobility_stm,2,1.5,0.1376063402807643
mobility_other,1,1.0,0.15365462950286318
halfmove_clock,1,3.0,0.08313281347915415
fullmove_number,1,4.0,0.08179182228136316
wk_file,1,2.0,0.07890679944518618
bk_rank,1,3.0,0.07766780874186639
bk_file,1,4.0,0.07720793669369755
wk_rank,1,5.0,0.07553715031956855
bk_center_dist,1,6.0,0.07550442004809957
king_distance,1,7.0,0.06890490330605531
wk_center_dist,1,8.0,0.06856810191081174
b_center_control,1,5.0,0.04517340594287538
wk_pawn_shield,1,6.0,0.04415005799380289
bk_pawn_shield,1,7.0,0.04145682403611278
w_center_control,1,8.0,0.040691261755449216
