,importance
mobility_other,0.15150695002956707
mobility_stm,0.14986098840971546
halfmove_clock,0.08442143742215384
fullmove_number,0.08318272728914738
b_center_control,0.05141906722140844
wk_pawn_shield,0.0425677799862111
w_center_control,0.04018680975872995
bk_pawn_shield,0.03884561626390702
b_most_advanced_pawn,0.035845270855475224
total_material,0.033045121679698634
w_most_advanced_pawn,0.03061416329826077
white_to_move,0.029187960140279797
wk_file,0.019757228108890027
b_p,0.018635984431903722
w_p,0.017984472483845257
wk_center_dist,0.015681766295003848
w_isolated_pawns,0.015018875585651842
bk_file,0.014670471916049534
bk_center_dist,0.013458246101296988
material_balance,0.013042647324300834
diff_p,0.010334506715705533
b_isolated_pawns,0.009698068239774057
w_n,0.00832471391242761
b_n,0.008022684726898356
w_doubled_pawns,0.0070635140195174475
diff_n,0.006450975381012813
b_doubled_pawns,0.005798039028813684
w_rooks_open_file,0.005074108501811099
diff_b,0.004529324896207436
b_rooks_open_file,0.0043570361440079435
b_b,0.004001205570541449
bishop_pair_b,0.003966066320694424
w_passed_pawns,0.0033533862638405036
w_b,0.0029772849926204114
w_attackers_near_bk,0.0027677355908273774
b_passed_pawns,0.0027487683774766627
bishop_pair_w,0.0025502532658475126
w_q,0.0021114310374541426
b_q,0.0019836091343027706
b_attackers_near_wk,0.0009922440163697174
in_check,0.0008267741064147221
b_r,0.0006877582701891902
diff_q,0.0006245298605801443
king_distance,0.000479284695505388
bk_rank,0.0004076999273435571
diff_r,0.00037867183259618874
wk_rank,0.0002833727650026118
w_r,0.0002733678047206197
w_rooks_7th,0.0
b_rooks_2nd,0.0
