white_to_move,fullmove_number,halfmove_clock,w_p,b_p,diff_p,w_n,b_n,diff_n,w_b,b_b,diff_b,w_r,b_r,diff_r,w_q,b_q,diff_q,material_balance,total_material,bishop_pair_w,bishop_pair_b,king_distance,wk_file,wk_rank,bk_file,bk_rank,wk_center_dist,bk_center_dist,mobility_stm,mobility_other,in_check,w_passed_pawns,b_passed_pawns,w_isolated_pawns,b_isolated_pawns,w_doubled_pawns,b_doubled_pawns,w_most_advanced_pawn,b_most_advanced_pawn,w_rooks_open_file,b_rooks_open_file,w_rooks_7th,b_rooks_2nd,wk_pawn_shield,bk_pawn_shield,w_center_control,b_center_control,w_attackers_near_bk,b_attackers_near_wk,confirmed_optimal,fen,played_move
0,8,1,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,39,41,0,0,0,0,0,0,0,4,5,0,0,0,0,1,1,3,3,0,0,0,r1bqkb1r/pp3ppp/2npp3/3nP3/3P4/P2B1N2/1P3PPP/RNBQK2R b KQkq - 1 8,Qa5+
1,9,2,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,8,0,1,0,0,0,0,0,0,4,5,0,0,0,0,1,1,3,3,0,0,1,r1b1kb1r/pp3ppp/2npp3/q2nP3/3P4/P2B1N2/1P3PPP/RNBQK2R w KQkq - 2 9,Bd2
0,9,3,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,42,36,0,0,0,0,0,0,0,4,5,0,0,0,0,1,1,3,3,0,0,1,r1b1kb1r/pp3ppp/2npp3/q2nP3/3P4/P2B1N2/1P1B1PPP/RN1QK2R b KQkq - 3 9,Qb6
1,10,4,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,41,40,0,0,0,0,0,0,0,4,5,0,0,0,0,1,1,3,3,0,0,1,r1b1kb1r/pp3ppp/1qnpp3/3nP3/3P4/P2B1N2/1P1B1PPP/RN1QK2R w KQkq - 4 10,Nc3
0,10,5,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,40,48,0,0,0,0,0,0,0,4,5,0,0,0,0,1,1,4,3,0,0,0,r1b1kb1r/pp3ppp/1qnpp3/3nP3/3P4/P1NB1N2/1P1B1PPP/R2QK2R b KQkq - 5 10,Nxc3
1,11,0,7,7,0,1,2,-1,2,2,0,2,2,0,1,1,0,-3,73,1,1,7,4,0,4,7,3,3,43,42,0,0,0,0,0,0,0,4,5,0,0,0,0,1,1,3,4,0,1,1,r1b1kb1r/pp3ppp/1qnpp3/4P3/3P4/P1nB1N2/1P1B1PPP/R2QK2R w KQkq - 0 11,Bxc3
0,11,0,7,7,0,1,1,0,2,2,0,2,2,0,1,1,0,0,70,1,1,7,4,0,4,7,3,3,34,43,0,0,0,0,0,0,0,4,5,0,0,0,0,1,1,3,3,0,0,1,r1b1kb1r/pp3ppp/1qnpp3/4P3/3P4/P1BB1N2/1P3PPP/R2QK2R b KQkq - 0 11,dxe5
1,12,0,6,7,-1,1,1,0,2,2,0,2,2,0,1,1,0,-1,69,1,1,7,4,0,4,7,3,3,44,37,0,0,0,1,0,0,1,3,4,0,0,0,0,1,1,3,3,0,0,1,r1b1kb1r/pp3ppp/1qn1p3/4p3/3P4/P1BB1N2/1P3PPP/R2QK2R w KQkq - 0 12,dxe5
0,12,0,6,6,0,1,1,0,2,2,0,2,2,0,1,1,0,0,68,1,1,7,4,0,4,7,3,3,38,43,0,0,0,0,0,0,0,4,5,0,0,0,0,1,1,3,3,0,0,0,r1b1kb1r/pp3ppp/1qn1p3/4P3/8/P1BB1N2/1P3PPP/R2QK2R b KQkq - 0 12,Be7
1,13,1,6,6,0,1,1,0,2,2,0,2,2,0,1,1,0,0,68,1,1,7,4,0,4,7,3,3,43,43,0,0,0,0,0,0,0,4,5,0,0,0,0,1,1,3,3,0,0,1,r1b1k2r/pp2bppp/1qn1p3/4P3/8/P1BB1N2/1P3PPP/R2QK2R w KQkq - 1 13,O-O
0,8,3,8,8,0,1,1,0,2,2,0,2,2,0,1,1,0,0,72,1,1,7,4,0,4,7,3,3,35,38,0,0,0,0,0,0,1,4,3,0,0,0,0,1,1,3,3,0,0,1,rn1qkb1r/pbp2ppp/1p2p3/4P3/3Pp3/4B1N1/PPP2PPP/R2QKB1R b KQkq - 3 8,c5
1,9,0,8,8,0,1,1,0,2,2,0,2,2,0,1,1,0,0,72,1,1,7,4,0,4,7,3,3,39,33,0,0,0,0,0,0,1,4,3,0,0,0,0,1,1,3,3,0,0,0,rn1qkb1r/pb3ppp/1p2p3/2p1P3/3Pp3/4B1N1/PPP2PPP/R2QKB1R w KQkq - 0 9,dxc5
0,9,0,8,7,1,1,1,0,2,2,0,2,2,0,1,1,0,1,71,1,1,7,4,0,4,7,3,3,35,44,0,0,0,0,0,1,1,4,3,0,0,0,0,1,1,3,3,0,0,1,rn1qkb1r/pb3ppp/1p2p3/2P1P3/4p3/4B1N1/PPP2PPP/R2QKB1R b KQkq - 0 9,Qxd1+
1,10,0,8,7,1,1,1,0,2,2,0,2,2,0,0,1,-1,-8,62,1,1,7,4,0,4,7,3,3,2,0,1,0,0,0,0,1,1,4,3,0,0,0,0,1,1,2,3,0,1,1,rn2kb1r/pb3ppp/1p2p3/2P1P3/4p3/4B1N1/PPP2PPP/R2qKB1R w KQkq - 0 10,Rxd1
0,10,0,8,7,1,1,1,0,2,2,0,2,2,0,0,0,0,1,53,1,1,7,4,0,4,7,3,3,22,40,0,0,0,0,0,1,1,4,3,1,0,0,0,1,1,3,2,0,0,1,rn2kb1r/pb3ppp/1p2p3/2P1P3/4p3/4B1N1/PPP2PPP/3RKB1R b Kkq - 0 10,Bxc5
1,11,0,7,7,0,1,1,0,2,2,0,2,2,0,0,0,0,0,52,1,1,7,4,0,4,7,3,3,39,28,0,0,0,0,0,0,1,4,3,1,0,0,0,1,1,3,3,0,0,1,rn2k2r/pb3ppp/1p2p3/2b1P3/4p3/4B1N1/PPP2PPP/3RKB1R w Kkq - 0 11,Bxc5
0,11,0,7,7,0,1,1,0,2,1,1,2,2,0,0,0,0,3,49,1,0,7,4,0,4,7,3,3,20,40,0,0,0,0,0,0,1,4,3,1,0,0,0,1,1,3,2,0,0,1,rn2k2r/pb3ppp/1p2p3/2B1P3/4p3/6N1/PPP2PPP/3RKB1R b Kkq - 0 11,bxc5
1,12,0,7,7,0,1,1,0,1,1,0,2,2,0,0,0,0,0,46,0,0,7,4,0,4,7,3,3,32,22,0,0,0,0,2,0,1,4,3,1,0,0,0,1,1,3,3,0,0,1,rn2k2r/pb3ppp/4p3/2p1P3/4p3/6N1/PPP2PPP/3RKB1R w Kkq - 0 12,Bb5+
0,12,1,7,7,0,1,1,0,1,1,0,2,2,0,0,0,0,0,46,0,0,7,4,0,4,7,3,3,5,0,1,0,0,0,2,0,1,4,3,1,0,0,0,1,1,3,3,0,0,1,rn2k2r/pb3ppp/4p3/1Bp1P3/4p3/6N1/PPP2PPP/3RK2R b Kkq - 1 12,Ke7
1,13,2,7,7,0,1,1,0,1,1,0,2,2,0,0,0,0,0,46,0,0,6,4,0,4,6,3,2,40,23,0,0,0,0,2,0,1,4,3,1,0,0,0,1,1,3,3,1,0,1,rn5r/pb2kppp/4p3/1Bp1P3/4p3/6N1/PPP2PPP/3RK2R w K - 2 13,O-O
0,8,0,7,7,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,70,1,0,7,4,0,4,7,3,3,32,41,0,0,0,0,0,0,0,3,5,0,0,0,0,1,2,3,4,0,0,1,r1bqk2r/pp1p1ppp/2n1pn2/8/4P3/P1N5/1PP2PPP/R1BQKB1R b KQkq - 0 8,d5
1,9,0,7,7,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,70,1,0,7,4,0,4,7,3,3,40,36,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,4,0,0,1,r1bqk2r/pp3ppp/2n1pn2/3p4/4P3/P1N5/1PP2PPP/R1BQKB1R w KQkq - 0 9,exd5
0,9,0,7,6,1,1,2,-1,2,1,1,2,2,0,1,1,0,1,69,1,0,7,4,0,4,7,3,3,37,40,0,0,0,0,0,0,0,4,5,0,0,0,0,1,1,3,4,0,0,1,r1bqk2r/pp3ppp/2n1pn2/3P4/8/P1N5/1PP2PPP/R1BQKB1R b KQkq - 0 9,exd5
1,10,0,6,6,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,68,1,0,7,4,0,4,7,3,3,39,38,0,0,0,0,1,0,0,2,4,0,0,0,0,1,1,3,4,0,0,1,r1bqk2r/pp3ppp/2n2n2/3p4/8/P1N5/1PP2PPP/R1BQKB1R w KQkq - 0 10,Bd3
0,10,1,6,6,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,68,1,0,7,4,0,4,7,3,3,38,43,0,0,0,0,1,0,0,2,4,0,0,0,0,1,1,2,4,0,0,1,r1bqk2r/pp3ppp/2n2n2/3p4/8/P1NB4/1PP2PPP/R1BQK2R b KQkq - 1 10,O-O
1,11,2,6,6,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,68,1,0,7,4,0,6,7,3,5,43,35,0,0,0,0,1,0,0,2,4,0,0,0,0,1,3,2,4,0,0,1,r1bq1rk1/pp3ppp/2n2n2/3p4/8/P1NB4/1PP2PPP/R1BQK2R w KQ - 2 11,O-O
0,11,3,6,6,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,68,1,0,7,6,0,6,7,5,5,35,39,0,0,0,0,1,0,0,2,4,0,0,0,0,3,3,2,4,0,0,1,r1bq1rk1/pp3ppp/2n2n2/3p4/8/P1NB4/1PP2PPP/R1BQ1RK1 b - - 3 11,d4
1,12,0,6,6,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,68,1,0,7,6,0,6,7,5,5,39,36,0,0,0,0,1,0,0,2,3,0,0,0,0,3,3,2,4,0,0,1,r1bq1rk1/pp3ppp/2n2n2/8/3p4/P1NB4/1PP2PPP/R1BQ1RK1 w - - 0 12,Ne4
0,12,1,6,6,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,68,1,0,7,6,0,6,7,5,5,35,37,0,0,0,0,1,0,0,2,3,0,0,0,0,3,3,1,4,0,0,1,r1bq1rk1/pp3ppp/2n2n2/8/3pN3/P2B4/1PP2PPP/R1BQ1RK1 b - - 1 12,Bf5
1,13,2,6,6,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,68,1,0,7,6,0,6,7,5,5,37,40,0,0,0,0,1,0,0,2,3,0,0,0,0,3,3,1,4,0,0,1,r2q1rk1/pp3ppp/2n2n2/5b2/3pN3/P2B4/1PP2PPP/R1BQ1RK1 w - - 2 13,Bg5
0,8,0,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,31,33,0,0,0,0,0,0,0,3,4,0,0,0,0,1,3,4,4,0,0,1,r1bq1rk1/pp2bppp/2nppn2/2p5/4P3/2NP1NPP/PPP2PB1/R1BQ1RK1 b - - 0 8,Rb8
1,9,1,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,33,30,0,0,0,0,0,0,0,3,4,0,0,0,0,1,3,4,4,0,0,1,1rbq1rk1/pp2bppp/2nppn2/2p5/4P3/2NP1NPP/PPP2PB1/R1BQ1RK1 w - - 1 9,a4
0,9,0,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,30,34,0,0,0,0,0,0,0,3,4,0,0,0,0,1,3,4,4,0,0,1,1rbq1rk1/pp2bppp/2nppn2/2p5/P3P3/2NP1NPP/1PP2PB1/R1BQ1RK1 b - - 0 9,b6
1,10,0,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,34,30,0,0,0,0,0,0,0,3,4,0,0,0,0,1,3,4,4,0,0,1,1rbq1rk1/p3bppp/1pnppn2/2p5/P3P3/2NP1NPP/1PP2PB1/R1BQ1RK1 w - - 0 10,Re1
0,10,1,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,30,36,0,0,0,0,0,0,0,3,4,0,0,0,0,1,3,4,4,0,0,1,1rbq1rk1/p3bppp/1pnppn2/2p5/P3P3/2NP1NPP/1PP2PB1/R1BQR1K1 b - - 1 10,Bb7
1,11,2,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,36,31,0,0,0,0,0,0,0,3,4,0,0,0,0,1,3,4,4,0,0,1,1r1q1rk1/pb2bppp/1pnppn2/2p5/P3P3/2NP1NPP/1PP2PB1/R1BQR1K1 w - - 2 11,Bg5
0,11,3,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,30,40,0,0,0,0,0,0,0,3,4,0,0,0,0,1,3,4,4,0,0,1,1r1q1rk1/pb2bppp/1pnppn2/2p3B1/P3P3/2NP1NPP/1PP2PB1/R2QR1K1 b - - 3 11,h6
1,12,0,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,40,32,0,0,0,0,0,0,0,3,4,0,0,0,0,1,2,4,4,0,0,1,1r1q1rk1/pb2bpp1/1pnppn1p/2p3B1/P3P3/2NP1NPP/1PP2PB1/R2QR1K1 w - - 0 12,Be3
0,12,1,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,32,40,0,0,0,0,0,0,0,3,4,0,0,0,0,1,2,4,4,0,0,0,1r1q1rk1/pb2bpp1/1pnppn1p/2p5/P3P3/2NPBNPP/1PP2PB1/R2QR1K1 b - - 1 12,e5
1,13,0,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,39,30,0,0,0,0,0,0,0,3,4,0,0,0,0,1,2,4,4,0,0,0,1r1q1rk1/pb2bpp1/1pnp1n1p/2p1p3/P3P3/2NPBNPP/1PP2PB1/R2QR1K1 w - - 0 13,g4
0,8,1,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,36,43,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2,3,3,0,0,1,rnb1kb1r/1pq1pp1p/p2p1np1/8/P2NPP2/2NB4/1PP3PP/R1BQK2R b KQkq - 1 8,Bg7
1,9,2,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,43,39,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2,3,3,0,0,1,rnb1k2r/1pq1ppbp/p2p1np1/8/P2NPP2/2NB4/1PP3PP/R1BQK2R w KQkq - 2 9,Nf3
0,9,3,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,39,39,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2,4,3,0,0,1,rnb1k2r/1pq1ppbp/p2p1np1/8/P3PP2/2NB1N2/1PP3PP/R1BQK2R b KQkq - 3 9,Bg4
1,10,4,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,38,41,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2,4,3,0,0,1,rn2k2r/1pq1ppbp/p2p1np1/8/P3PPb1/2NB1N2/1PP3PP/R1BQK2R w KQkq - 4 10,Be3
0,10,5,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,41,47,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2,4,3,0,0,1,rn2k2r/1pq1ppbp/p2p1np1/8/P3PPb1/2NBBN2/1PP3PP/R2QK2R b KQkq - 5 10,Nc6
1,11,6,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,47,47,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2,4,4,0,0,1,r3k2r/1pq1ppbp/p1np1np1/8/P3PPb1/2NBBN2/1PP3PP/R2QK2R w KQkq - 6 11,O-O
0,11,7,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,4,7,5,3,47,43,0,0,0,0,0,0,0,3,5,0,0,0,0,2,2,4,4,0,0,1,r3k2r/1pq1ppbp/p1np1np1/8/P3PPb1/2NBBN2/1PP3PP/R2Q1RK1 b kq - 7 11,O-O
1,12,8,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,43,46,0,0,0,0,0,0,0,3,5,0,0,0,0,2,2,4,4,0,0,1,r4rk1/1pq1ppbp/p1np1np1/8/P3PPb1/2NBBN2/1PP3PP/R2Q1RK1 w - - 8 12,Qe1
0,12,9,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,46,46,0,0,0,0,0,0,0,3,5,0,0,0,0,2,2,4,4,0,0,1,r4rk1/1pq1ppbp/p1np1np1/8/P3PPb1/2NBBN2/1PP3PP/R3QRK1 b - - 9 12,Bxf3
1,13,0,7,7,0,1,2,-1,2,2,0,2,2,0,1,1,0,-3,73,1,1,7,6,0,6,7,5,5,44,46,0,0,0,0,0,0,0,3,5,0,0,0,0,2,2,4,4,0,1,1,r4rk1/1pq1ppbp/p1np1np1/8/P3PP2/2NBBb2/1PP3PP/R3QRK1 w - - 0 13,Rxf3
0,8,1,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,22,52,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,4,4,0,0,1,r1bqkb1r/pp1n1pp1/3p1n1p/1B2p3/4P3/2NQBN2/PPP2PPP/R3K2R b KQkq - 1 8,Be7
1,9,2,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,52,23,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,4,4,0,0,0,r1bqk2r/pp1nbpp1/3p1n1p/1B2p3/4P3/2NQBN2/PPP2PPP/R3K2R w KQkq - 2 9,O-O
0,9,3,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,4,7,5,3,23,49,0,0,0,0,0,0,0,3,4,0,0,0,0,3,1,4,4,0,0,0,r1bqk2r/pp1nbpp1/3p1n1p/1B2p3/4P3/2NQBN2/PPP2PPP/R4RK1 b kq - 3 9,O-O
1,10,4,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,49,24,0,0,0,0,0,0,0,3,4,0,0,0,0,3,2,4,4,0,0,0,r1bq1rk1/pp1nbpp1/3p1n1p/1B2p3/4P3/2NQBN2/PPP2PPP/R4RK1 w - - 4 10,Rad1
0,10,5,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,24,45,0,0,0,0,0,0,0,3,4,0,0,0,0,3,2,4,4,0,0,1,r1bq1rk1/pp1nbpp1/3p1n1p/1B2p3/4P3/2NQBN2/PPP2PPP/3R1RK1 b - - 5 10,a6
1,11,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,45,25,0,0,0,0,0,0,0,3,4,0,0,0,0,3,2,4,4,0,0,1,r1bq1rk1/1p1nbpp1/p2p1n1p/1B2p3/4P3/2NQBN2/PPP2PPP/3R1RK1 w - - 0 11,Bc4
0,11,1,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,25,46,0,0,0,0,0,0,0,3,4,0,0,0,0,3,2,4,4,0,0,0,r1bq1rk1/1p1nbpp1/p2p1n1p/4p3/2B1P3/2NQBN2/PPP2PPP/3R1RK1 b - - 1 11,Qc7
1,12,2,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,46,30,0,0,0,0,0,0,0,3,4,0,0,0,0,3,2,4,4,0,0,1,r1b2rk1/1pqnbpp1/p2p1n1p/4p3/2B1P3/2NQBN2/PPP2PPP/3R1RK1 w - - 2 12,a4
0,12,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,30,46,0,0,0,0,0,0,0,3,4,0,0,0,0,3,2,4,4,0,0,1,r1b2rk1/1pqnbpp1/p2p1n1p/4p3/P1B1P3/2NQBN2/1PP2PPP/3R1RK1 b - - 0 12,Nc5
1,13,1,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,44,38,0,0,0,0,0,0,0,3,4,0,0,0,0,3,2,4,4,0,0,1,r1b2rk1/1pq1bpp1/p2p1n1p/2n1p3/P1B1P3/2NQBN2/1PP2PPP/3R1RK1 w - - 1 13,Bxc5
0,8,1,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,35,44,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,4,0,0,1,r1bqkb1r/1p3ppp/p1np1n2/4p1B1/4P3/N1N5/PPP2PPP/R2QKB1R b KQkq - 1 8,Be6
1,9,2,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,44,42,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,4,0,0,1,r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N5/PPP2PPP/R2QKB1R w KQkq - 2 9,Nc4
0,9,3,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,40,47,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,4,4,0,0,0,r2qkb1r/1p3ppp/p1npbn2/4p1B1/2N1P3/2N5/PPP2PPP/R2QKB1R b KQkq - 3 9,Rc8
1,10,4,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,47,37,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,4,4,0,0,0,2rqkb1r/1p3ppp/p1npbn2/4p1B1/2N1P3/2N5/PPP2PPP/R2QKB1R w KQk - 4 10,Ne3
0,10,5,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,39,44,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,4,0,0,1,2rqkb1r/1p3ppp/p1npbn2/4p1B1/4P3/2N1N3/PPP2PPP/R2QKB1R b KQk - 5 10,Be7
1,11,6,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,44,39,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,4,0,0,0,2rqk2r/1p2bppp/p1npbn2/4p1B1/4P3/2N1N3/PPP2PPP/R2QKB1R w KQk - 6 11,Bxf6
0,11,0,7,7,0,2,1,1,2,2,0,2,2,0,1,1,0,3,73,1,1,7,4,0,4,7,3,3,36,45,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,4,3,1,0,1,2rqk2r/1p2bppp/p1npbB2/4p3/4P3/2N1N3/PPP2PPP/R2QKB1R b KQk - 0 11,Bxf6
1,12,0,7,7,0,2,1,1,1,2,-1,2,2,0,1,1,0,0,70,0,1,7,4,0,4,7,3,3,40,39,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,3,0,0,1,2rqk2r/1p3ppp/p1npbb2/4p3/4P3/2N1N3/PPP2PPP/R2QKB1R w KQk - 0 12,Bc4
0,12,1,7,7,0,2,1,1,1,2,-1,2,2,0,1,1,0,0,70,0,1,7,4,0,4,7,3,3,37,46,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,3,0,0,1,2rqk2r/1p3ppp/p1npbb2/4p3/2B1P3/2N1N3/PPP2PPP/R2QK2R b KQk - 1 12,O-O
