feature,n_sources,mean_rank,mean_importance
mobility_stm,2,1.5,0.13847881737467685
w_center_control,2,7.5,0.05263009852465393
mobility_other,1,1.0,0.15150695002956707
halfmove_clock,1,3.0,0.08442143742215384
fullmove_number,1,4.0,0.08318272728914738
bk_rank,1,2.0,0.07893606449004854
bk_file,1,3.0,0.07761111822291053
wk_file,1,4.0,0.07697105021317087
wk_rank,1,5.0,0.07535890351848287
wk_center_dist,1,6.0,0.0738108227001897
bk_center_dist,1,7.0,0.07377206198049907
b_center_control,1,5.0,0.05141906722140844
wk_pawn_shield,1,6.0,0.0425677799862111
bk_pawn_shield,1,8.0,0.03884561626390702
